(-0.2681427, 0.1685872, -0.8844048)
(-0.2685273, 0.1687131, -0.8841491)
(-0.2685273, 0.1687131, -0.8841491)
(-0.2685969, 0.1687512, -0.8841332)
(-0.2686033, 0.1687603, -0.8840406)
(-0.2685275, 0.1686251, -0.8841238)
(-0.2685044, 0.1686823, -0.8841569)
(-0.2684376, 0.1686971, -0.8840849)
(-0.2683487, 0.1686206, -0.8841443)
(-0.2682974, 0.1685283, -0.884001)
(-0.2683215, 0.1685193, -0.8841547)
(-0.2683327, 0.1686001, -0.8840663)
(-0.2681892, 0.168721, -0.8841501)
(-0.2680242, 0.1687391, -0.8839591)
(-0.2678554, 0.1686182, -0.8839846)
(-0.2678421, 0.1686447, -0.8840017)
(-0.2679079, 0.1686687, -0.8841956)
(-0.2680645, 0.1686649, -0.8842673)
(-0.2680657, 0.1685867, -0.884266)
(-0.2680979, 0.1685941, -0.8843641)
(-0.2681408, 0.168582, -0.8843948)
(-0.2680633, 0.1686981, -0.8845154)
(-0.2680485, 0.1686933, -0.8844835)
(-0.2680502, 0.1686943, -0.8845166)
(-0.2680495, 0.1687107, -0.8845699)
(-0.2680259, 0.1687212, -0.8844882)
(-0.2680593, 0.1688271, -0.8844194)
(-0.2681699, 0.1686139, -0.8843374)
(-0.2681754, 0.1685727, -0.8844136)
(-0.2681792, 0.1684752, -0.8844994)
(-0.267946, 0.1685808, -0.8845961)
(-0.2677772, 0.1685295, -0.8843768)
(-0.2677078, 0.1685913, -0.8842342)
(-0.2675962, 0.1685939, -0.8842601)
(-0.2675939, 0.1686025, -0.8843224)
(-0.2674189, 0.1685758, -0.8844004)
(-0.2674828, 0.1684763, -0.8843918)
(-0.2674463, 0.1685081, -0.8842686)
(-0.267328, 0.1685474, -0.8841927)
(-0.2672384, 0.1685493, -0.8840936)
(-0.2671173, 0.1685455, -0.8839878)
(-0.2671206, 0.1685421, -0.88394)
(-0.2671177, 0.1685374, -0.8839347)
(-0.2671795, 0.1685917, -0.8840356)
(-0.2671082, 0.1683285, -0.8843256)
(-0.2670498, 0.1683598, -0.884333)
(-0.2672431, 0.1685493, -0.8842978)
(-0.2671769, 0.1685622, -0.8842627)
(-0.2671866, 0.1683846, -0.8842034)
(-0.2671607, 0.1683493, -0.8840758)
(-0.2671039, 0.1683631, -0.8840175)
(-0.2671165, 0.1683626, -0.8840129)
(-0.2671282, 0.1683547, -0.8839506)
(-0.2672603, 0.1684165, -0.8839195)
(-0.2672377, 0.168488, -0.8839511)
(-0.2672663, 0.1685131, -0.8840212)
(-0.2670825, 0.1684043, -0.8841093)
(-0.2670231, 0.1684675, -0.8841665)
(-0.2670259, 0.1684699, -0.8841989)
(-0.266957, 0.1683943, -0.8842384)
(-0.266948, 0.1684003, -0.8842716)
