posX,posY,posZ,RotX,RotY,RotZ,RotW,vPosX,vPosY,vPosZ,initH
-0.8497494,0.06907511,0.5852225,-0.8497494,19.08098,0.5852225,0.1106577,0.04627061,-0.3973888,0.9097781,-0.00689514
-0.849799,0.06907701,0.5851743,-0.849799,19.08098,0.5851743,0.1107461,0.0457622,-0.3974518,0.9097655,-0.00689514
-0.849799,0.06907701,0.5851743,-0.849799,19.08098,0.5851743,0.1107461,0.0457622,-0.3974518,0.9097655,-0.00689514
-0.8498634,0.06906939,0.5851184,-0.8498634,19.08097,0.5851184,0.1107027,0.04553845,-0.3975368,0.9097449,-0.00689514
-0.8498634,0.06906939,0.5851184,-0.8498634,19.08097,0.5851184,0.1107027,0.04553845,-0.3975368,0.9097449,-0.00689514
-0.8499907,0.06940174,0.5853491,-0.8499907,19.08131,0.5853491,0.110675,0.04462334,-0.3977273,0.9097103,-0.00689514
-0.8499715,0.06941438,0.585441,-0.8499715,19.08132,0.585441,0.1105864,0.04431169,-0.397786,0.9097106,-0.00689514
-0.8498327,0.06909847,0.5852554,-0.8498327,19.081,0.5852554,0.1105091,0.04404236,-0.3979463,0.909663,-0.00689514
-0.849943,0.06900835,0.5853555,-0.849943,19.08091,0.5853555,0.1105096,0.04342445,-0.3981876,0.9095871,-0.00689514
-0.8500578,0.06916785,0.5854759,-0.8500578,19.08107,0.5854759,0.1103777,0.04310672,-0.39835,0.909547,-0.00689514
-0.8501422,0.06920719,0.5853217,-0.8501422,19.08111,0.5853217,0.1101316,0.04266423,-0.3989653,0.909328,-0.00689514
-0.8501823,0.06919122,0.5852815,-0.8501823,19.08109,0.5852815,0.1100322,0.0421316,-0.3994284,0.9091616,-0.00689514
-0.8502362,0.06918287,0.5853139,-0.8502362,19.08109,0.5853139,0.1101647,0.04162383,-0.3998329,0.9089911,-0.00689514
-0.8498046,0.0694828,0.5852154,-0.8498046,19.08139,0.5852154,0.1101666,0.04120357,-0.400461,0.9087335,-0.00689514
-0.8498144,0.06950116,0.5851518,-0.8498144,19.08141,0.5851518,0.1098602,0.04050969,-0.401309,0.9084277,-0.00689514
-0.84964,0.069314,0.5850276,-0.84964,19.08122,0.5850276,0.1098352,0.03967905,-0.4019084,0.9082023,-0.00689514
-0.8495375,0.06934595,0.5849938,-0.8495375,19.08125,0.5849938,0.1097533,0.03896491,-0.4029232,0.9077934,-0.00689514
-0.8495064,0.06934905,0.5849496,-0.8495064,19.08125,0.5849496,0.1092886,0.03864755,-0.4036688,0.9075317,-0.00689514
-0.8496581,0.0695014,0.585024,-0.8496581,19.08141,0.585024,0.109175,0.0377221,-0.4040955,0.9073945,-0.00689514
-0.8497443,0.06951857,0.5848838,-0.8497443,19.08142,0.5848838,0.109333,0.03700503,-0.4044665,0.9072397,-0.00689514
-0.8496995,0.06956172,0.585088,-0.8496995,19.08146,0.585088,0.1091701,0.0366579,-0.4047226,0.9071591,-0.00689514
-0.8495926,0.06936789,0.5849867,-0.8495926,19.08127,0.5849867,0.1087597,0.03634417,-0.4051102,0.9070481,-0.00689514
-0.8491353,0.06967735,0.5847797,-0.8491353,19.08158,0.5847797,0.1085237,0.0359227,-0.4055584,0.9068928,-0.00689514
-0.8491441,0.06967306,0.5847526,-0.8491441,19.08158,0.5847526,0.1085612,0.03538945,-0.405637,0.9068742,-0.00689514
-0.849228,0.06980324,0.5847821,-0.849228,19.08171,0.5847821,0.1084562,0.03505013,-0.4057536,0.9068477,-0.00689514
-0.8493352,0.06982112,0.5847255,-0.8493352,19.08172,0.5847255,0.1082294,0.03466646,-0.4058643,0.90684,-0.00689514
-0.84952,0.06975794,0.5844625,-0.84952,19.08166,0.5844625,0.1080078,0.03427155,-0.4057862,0.9069164,-0.00689514
-0.84964,0.06986165,0.5844737,-0.84964,19.08177,0.5844737,0.1080382,0.03395596,-0.4057792,0.9069278,-0.00689514
-0.8493853,0.0700686,0.5843686,-0.8493853,19.08197,0.5843686,0.1077791,0.03381083,-0.4059044,0.906908,-0.00689514
-0.8494849,0.07005167,0.5842102,-0.8494849,19.08195,0.5842102,0.1074321,0.03369693,-0.405807,0.906997,-0.00689514
