posX,posY,posZ,RotX,RotY,RotZ,RotW,vPosX,vPosY,vPosZ,initH
-0.8574299,0.2167714,0.4570242,-0.8574299,26.84114,0.4570242,-0.04958129,0.2068169,-0.347636,0.913191,0.1306514
-0.8577176,0.2166185,0.456971,-0.8577176,26.84098,0.456971,-0.04953393,0.2063679,-0.3469541,0.9135543,0.1306514
-0.857676,0.2168119,0.457091,-0.857676,26.84118,0.457091,-0.04942205,0.2065827,-0.3465345,0.9136711,0.1306514
-0.8577228,0.2165012,0.45713,-0.8577228,26.84087,0.45713,-0.04962274,0.2068471,-0.3457675,0.913891,0.1306514
-0.857877,0.2163742,0.4571526,-0.857877,26.84074,0.4571526,-0.04958264,0.2069622,-0.3455364,0.9139545,0.1306514
-0.8577299,0.2158961,0.4568896,-0.8577299,26.84026,0.4568896,-0.0494216,0.2074211,-0.345102,0.9140233,0.1306514
-0.8575513,0.2158463,0.4571314,-0.8575513,26.84021,0.4571314,-0.04969401,0.208301,-0.344609,0.9139944,0.1306514
-0.8574189,0.2159777,0.4570777,-0.8574189,26.84034,0.4570777,-0.04981022,0.2090566,-0.3441896,0.9139736,0.1306514
-0.8575736,0.2161069,0.457316,-0.8575736,26.84047,0.457316,-0.05037705,0.2099284,-0.3436209,0.9139568,0.1306514
-0.8576813,0.2160797,0.4572786,-0.8576813,26.84044,0.4572786,-0.05022018,0.2096772,-0.343068,0.9142308,0.1306514
-0.8578835,0.2158329,0.4574215,-0.8578835,26.8402,0.4574215,-0.0501189,0.210238,-0.3429422,0.9141546,0.1306514
-0.8578835,0.2158329,0.4574215,-0.8578835,26.8402,0.4574215,-0.0501189,0.210238,-0.3429422,0.9141546,0.1306514
-0.8577746,0.2157521,0.4573624,-0.8577746,26.84012,0.4573624,-0.05024435,0.2110581,-0.3429676,0.9139493,0.1306514
-0.8577746,0.2157521,0.4573624,-0.8577746,26.84012,0.4573624,-0.05024435,0.2110581,-0.3429676,0.9139493,0.1306514
-0.8577746,0.2157521,0.4573624,-0.8577746,26.84012,0.4573624,-0.05024435,0.2110581,-0.3429676,0.9139493,0.1306514
-0.8577696,0.2155938,0.4573834,-0.8577696,26.83996,0.4573834,-0.05000787,0.2115443,-0.3433585,0.913703,0.1306514
-0.8574358,0.2155149,0.4574382,-0.8574358,26.83988,0.4574382,-0.04926366,0.2118498,-0.3441283,0.913383,0.1306514
-0.8575357,0.2157469,0.457701,-0.8575357,26.84011,0.457701,-0.04935174,0.2125078,-0.3442546,0.9131778,0.1306514
-0.8574181,0.2157617,0.4578536,-0.8574181,26.84013,0.4578536,-0.0489817,0.2124453,-0.3444249,0.913148,0.1306514
-0.8573177,0.2159646,0.4578669,-0.8573177,26.84033,0.4578669,-0.0489301,0.2130749,-0.3445406,0.9129604,0.1306514
-0.8573039,0.2160132,0.4578956,-0.8573039,26.84038,0.4578956,-0.04882095,0.2130695,-0.3445787,0.9129531,0.1306514
-0.8574991,0.2160699,0.4577607,-0.8574991,26.84044,0.4577607,-0.04868647,0.2132937,-0.3447592,0.9128398,0.1306514
-0.8575286,0.2161002,0.4575537,-0.8575286,26.84047,0.4575537,-0.04880966,0.2133661,-0.344694,0.9128409,0.1306514
-0.8572726,0.2155838,0.4572661,-0.8572726,26.83995,0.4572661,-0.04854471,0.2132174,-0.3449502,0.912793,0.1306514
-0.8570817,0.2155097,0.4572823,-0.8570817,26.83987,0.4572823,-0.04826735,0.2132702,-0.3449782,0.9127849,0.1306514
-0.8571994,0.2153251,0.4573293,-0.8571994,26.83969,0.4573293,-0.04830469,0.2139688,-0.3450009,0.9126108,0.1306514
-0.8573101,0.215631,0.4576951,-0.8573101,26.84,0.4576951,-0.04833646,0.2141471,-0.34487,0.9126168,0.1306514
-0.8573101,0.215631,0.4576951,-0.8573101,26.84,0.4576951,-0.04833646,0.2141471,-0.34487,0.9126168,0.1306514
-0.857353,0.2156725,0.4576812,-0.857353,26.84004,0.4576812,-0.04809338,0.2142024,-0.3448072,0.9126403,0.1306514
-0.8575861,0.2155027,0.4577775,-0.8575861,26.83987,0.4577775,-0.04803835,0.2140701,-0.3447385,0.9127002,0.1306514
-0.8575019,0.2152481,0.4576262,-0.8575019,26.83961,0.4576262,-0.04786604,0.2140104,-0.3447911,0.9127034,0.1306514
-0.8575019,0.2152481,0.4576262,-0.8575019,26.83961,0.4576262,-0.04786604,0.2140104,-0.3447911,0.9127034,0.1306514
-0.8568101,0.215205,0.45767,-0.8568101,26.83957,0.45767,-0.04714459,0.214427,-0.3454702,0.9123863,0.1306514
-0.8568373,0.2151802,0.4576516,-0.8568373,26.83954,0.4576516,-0.04697931,0.2145615,-0.3456434,0.9122977,0.1306514
-0.8568373,0.2151802,0.4576516,-0.8568373,26.83954,0.4576516,-0.04697931,0.2145615,-0.3456434,0.9122977,0.1306514
-0.8571094,0.2147691,0.4579355,-0.8571094,26.83913,0.4579355,-0.04662814,0.2145966,-0.3458068,0.9122455,0.1306514
-0.8571862,0.2146928,0.4579555,-0.8571862,26.83906,0.4579555,-0.04628155,0.2147569,-0.3461707,0.9120874,0.1306514
-0.857075,0.2145338,0.4579647,-0.857075,26.8389,0.4579647,-0.04573354,0.2147499,-0.3465323,0.9119793,0.1306514
-0.8569063,0.2145994,0.4577563,-0.8569063,26.83896,0.4577563,-0.04552568,0.2153332,-0.3468229,0.9117417,0.1306514
-0.8568799,0.2149363,0.458271,-0.8568799,26.8393,0.458271,-0.04503468,0.2153997,-0.3472208,0.9115989,0.1306514
-0.8568726,0.2149487,0.4581975,-0.8568726,26.83931,0.4581975,-0.04454178,0.2154014,-0.3477709,0.911413,0.1306514
-0.8568726,0.2149487,0.4581975,-0.8568726,26.83931,0.4581975,-0.04454178,0.2154014,-0.3477709,0.911413,0.1306514
-0.8567846,0.2148623,0.4581419,-0.8567846,26.83923,0.4581419,-0.04423715,0.2152673,-0.3482978,0.9112583,0.1306514
-0.8567655,0.2147763,0.4579618,-0.8567655,26.83914,0.4579618,-0.04393802,0.2154029,-0.3492877,0.9108618,0.1306514
-0.8565731,0.2147276,0.4577787,-0.8565731,26.83909,0.4577787,-0.043375,0.2154536,-0.3502262,0.9105163,0.1306514
-0.856423,0.2145691,0.4579186,-0.856423,26.83893,0.4579186,-0.04152383,0.2151866,-0.3529375,0.9096184,0.1306514
-0.8562905,0.214411,0.4581527,-0.8562905,26.83878,0.4581527,-0.04028487,0.2154192,-0.3545328,0.9089985,0.1306514
-0.8559421,0.2140999,0.4581338,-0.8559421,26.83846,0.4581338,-0.03897639,0.2153194,-0.3560186,0.9084983,0.1306514
-0.8556958,0.2141011,0.4582485,-0.8556958,26.83847,0.4582485,-0.03750957,0.2151471,-0.3580237,0.9078127,0.1306514
-0.8552513,0.2141881,0.4580753,-0.8552513,26.83855,0.4580753,-0.0356368,0.2150951,-0.3601131,0.9070737,0.1306514
-0.8552513,0.2141881,0.4580753,-0.8552513,26.83855,0.4580753,-0.0356368,0.2150951,-0.3601131,0.9070737,0.1306514
-0.8552513,0.2141881,0.4580753,-0.8552513,26.83855,0.4580753,-0.0356368,0.2150951,-0.3601131,0.9070737,0.1306514
-0.8543906,0.2140241,0.4581332,-0.8543906,26.83839,0.4581332,-0.03177605,0.2148715,-0.3645534,0.9054951,0.1306514
-0.8533548,0.2134585,0.4584433,-0.8533548,26.83782,0.4584433,-0.02810111,0.2145243,-0.3698227,0.9035601,0.1306514
-0.8526078,0.2131658,0.4586293,-0.8526078,26.83753,0.4586293,-0.02522635,0.2151236,-0.3728778,0.9022459,0.1306514
-0.8520399,0.2127934,0.4589642,-0.8520399,26.83716,0.4589642,-0.02277225,0.2163693,-0.3761759,0.9006428,0.1306514
-0.8520399,0.2127934,0.4589642,-0.8520399,26.83716,0.4589642,-0.02277225,0.2163693,-0.3761759,0.9006428,0.1306514
-0.8513519,0.2123895,0.4589761,-0.8513519,26.83675,0.4589761,-0.02043502,0.2183219,-0.3790984,0.8990008,0.1306514
-0.8498769,0.2119114,0.459348,-0.8498769,26.83628,0.459348,-0.01600891,0.2211765,-0.3848394,0.8959483,0.1306514
-0.8491766,0.2116954,0.459785,-0.8491766,26.83606,0.459785,-0.01332637,0.222883,-0.3882349,0.8941025,0.1306514
-0.8484159,0.2113762,0.4601668,-0.8484159,26.83574,0.4601668,-0.01018391,0.2235686,-0.3924276,0.8921401,0.1306514
-0.8475838,0.21102,0.4606521,-0.8475838,26.83538,0.4606521,-0.007512037,0.225501,-0.3959135,0.8901379,0.1306514
-0.8468837,0.2110317,0.4612567,-0.8468837,26.8354,0.4612567,-0.005504004,0.227802,-0.3990804,0.8881502,0.1306514
-0.8460637,0.2107782,0.4614643,-0.8460637,26.83514,0.4614643,-0.004256737,0.2297656,-0.4016626,0.8864856,0.1306514
-0.8452485,0.210392,0.4617592,-0.8452485,26.83476,0.4617592,-0.002972606,0.2325258,-0.4037994,0.8847988,0.1306514
-0.8445817,0.2101626,0.4619076,-0.8445817,26.83453,0.4619076,-0.002176825,0.2355241,-0.4059032,0.8830438,0.1306514
-0.8441691,0.2098293,0.46228,-0.8441691,26.83419,0.46228,-0.00187528,0.2388732,-0.4065701,0.8818372,0.1306514
-0.8440003,0.2093379,0.4626006,-0.8440003,26.8337,0.4626006,-0.0008004686,0.2400856,-0.4073101,0.8811679,0.1306514
-0.8440003,0.2093379,0.4626006,-0.8440003,26.8337,0.4626006,-0.0008004686,0.2400856,-0.4073101,0.8811679,0.1306514
-0.8440571,0.2082472,0.4630852,-0.8440571,26.83261,0.4630852,0.001428796,0.2420316,-0.4075241,0.8805355,0.1306514
-0.8440571,0.2082472,0.4630852,-0.8440571,26.83261,0.4630852,0.001428796,0.2420316,-0.4075241,0.8805355,0.1306514
-0.8442687,0.2073395,0.4640812,-0.8442687,26.83171,0.4640812,0.002643605,0.2460784,-0.405241,0.8804648,0.1306514
-0.8442687,0.2073395,0.4640812,-0.8442687,26.83171,0.4640812,0.002643605,0.2460784,-0.405241,0.8804648,0.1306514
-0.8440915,0.2067111,0.4649576,-0.8440915,26.83108,0.4649576,0.003097797,0.248652,-0.403503,0.8805385,0.1306514
-0.8440455,0.2062662,0.4651654,-0.8440455,26.83063,0.4651654,0.00532652,0.2490557,-0.4027367,0.8807645,0.1306514
-0.844407,0.2054913,0.4660017,-0.844407,26.82986,0.4660017,0.007909177,0.2516275,-0.4002815,0.8811333,0.1306514
-0.8439507,0.2053001,0.4656657,-0.8439507,26.82966,0.4656657,0.01005951,0.2515642,-0.3997126,0.8813877,0.1306514
-0.8433565,0.2041984,0.4654882,-0.8433565,26.82856,0.4654882,0.01081683,0.2535762,-0.3981923,0.8814902,0.1306514
-0.8427813,0.2038205,0.4659253,-0.8427813,26.82819,0.4659253,0.01290139,0.2547368,-0.3974738,0.8814518,0.1306514
-0.8419954,0.2038765,0.4660949,-0.8419954,26.82824,0.4660949,0.0142744,0.2559165,-0.3975104,0.8810723,0.1306514
-0.8417072,0.2038145,0.4672143,-0.8417072,26.82818,0.4672143,0.01430308,0.261704,-0.3970791,0.879565,0.1306514
-0.8420987,0.2032614,0.4675776,-0.8420987,26.82763,0.4675776,0.01525146,0.265308,-0.3958948,0.8790031,0.1306514
-0.8425622,0.2024868,0.4681158,-0.8425622,26.82685,0.4681158,0.01741161,0.26513,-0.3940553,0.8798428,0.1306514
-0.8427305,0.201865,0.4682348,-0.8427305,26.82623,0.4682348,0.0188874,0.2646161,-0.3928668,0.8804983,0.1306514
-0.8427305,0.201865,0.4682348,-0.8427305,26.82623,0.4682348,0.0188874,0.2646161,-0.3928668,0.8804983,0.1306514
-0.8429956,0.2018056,0.4683032,-0.8429956,26.82617,0.4683032,0.02045361,0.2617259,-0.3919377,0.8817403,0.1306514
-0.8433493,0.2014446,0.4687049,-0.8433493,26.82581,0.4687049,0.02126512,0.2601489,-0.3921428,0.8820966,0.1306514
-0.8434292,0.2019053,0.4687499,-0.8434292,26.82627,0.4687499,0.02117102,0.2583939,-0.3931447,0.8821687,0.1306514
-0.8434292,0.2019053,0.4687499,-0.8434292,26.82627,0.4687499,0.02117102,0.2583939,-0.3931447,0.8821687,0.1306514
