posX,posY,posZ,RotX,RotY,RotZ,RotW,vPosX,vPosY,vPosZ,initH
-0.9313987,0.1590743,0.3137997,-0.9313987,6.589524,0.3137997,0.9359556,0.3353514,0.03840329,0.1002579,0.07455008
-0.9315071,0.1592312,0.3138003,-0.9315071,6.589681,0.3138003,0.9368316,0.3330829,0.03750023,0.09998065,0.07455008
-0.930998,0.1593773,0.3139199,-0.930998,6.589827,0.3139199,0.9375028,0.3316903,0.03625591,0.09877005,0.07455008
-0.9303941,0.1592412,0.3140126,-0.9303941,6.589691,0.3140126,0.9377634,0.3300516,0.03957414,0.1004973,0.07455008
-0.9300733,0.1592014,0.3141619,-0.9300733,6.589651,0.3141619,0.9381308,0.3284156,0.0419128,0.1014749,0.07455008
-0.9298371,0.1592131,0.3143554,-0.9298371,6.589663,0.3143554,0.9386593,0.326682,0.04324564,0.1016243,0.07455008
-0.9295458,0.1592457,0.314463,-0.9295458,6.589695,0.314463,0.939264,0.3248482,0.04341346,0.1018434,0.07455008
-0.9291049,0.1593137,0.3145617,-0.9291049,6.589763,0.3145617,0.9398744,0.3234586,0.04224797,0.1011229,0.07455008
-0.9286704,0.1592634,0.3145566,-0.9286704,6.589713,0.3145566,0.9403716,0.3221463,0.04198899,0.1007965,0.07455008
-0.9279807,0.1592522,0.3146355,-0.9279807,6.589702,0.3146355,0.9407607,0.3209254,0.04223898,0.100956,0.07455008
-0.927258,0.1592035,0.3145653,-0.927258,6.589653,0.3145653,0.9411412,0.3198113,0.04206894,0.1010153,0.07455008
-0.9264871,0.1590636,0.3145878,-0.9264871,6.589513,0.3145878,0.9414203,0.319219,0.04158801,0.1004863,0.07455008
-0.9259146,0.1588132,0.3145601,-0.9259146,6.589263,0.3145601,0.9416118,0.3181567,0.04285711,0.1015225,0.07455008
-0.9255651,0.158792,0.314621,-0.9255651,6.589242,0.314621,0.9419947,0.3167025,0.04377323,0.1021241,0.07455008
-0.9258142,0.1590281,0.314674,-0.9258142,6.589478,0.314674,0.942757,0.3143882,0.04397633,0.1021539,0.07455008
-0.9257264,0.1591456,0.3146536,-0.9257264,6.589595,0.3146536,0.9433087,0.3130962,0.04264484,0.1015922,0.07455008
-0.9255567,0.1591098,0.3149507,-0.9255567,6.58956,0.3149507,0.9438345,0.3121067,0.0411261,0.1003717,0.07455008
-0.9249904,0.1590874,0.3151677,-0.9249904,6.589537,0.3151677,0.9441422,0.3111869,0.04061769,0.1005409,0.07455008
-0.9241986,0.1588743,0.3152829,-0.9241986,6.589324,0.3152829,0.9444582,0.310412,0.04020063,0.1001347,0.07455008
-0.923095,0.1586614,0.3153427,-0.923095,6.589111,0.3153427,0.9445012,0.3103449,0.04001989,0.1000097,0.07455008
-0.9225715,0.1583939,0.3150429,-0.9225715,6.588843,0.3150429,0.9444755,0.3094117,0.04370543,0.1015882,0.07455008
-0.9224781,0.1583195,0.314932,-0.9224781,6.588769,0.314932,0.9449284,0.3069136,0.04651488,0.1036856,0.07455008
-0.9222363,0.1585455,0.314887,-0.9222363,6.588995,0.314887,0.9454821,0.305566,0.04539637,0.1031129,0.07455008
-0.9222363,0.1585455,0.314887,-0.9222363,6.588995,0.314887,0.9454821,0.305566,0.04539637,0.1031129,0.07455008
-0.9221773,0.1585755,0.314799,-0.9221773,6.589025,0.314799,0.9460578,0.304876,0.04182294,0.1013712,0.07455008
-0.9218096,0.158571,0.3147553,-0.9218096,6.589021,0.3147553,0.9464613,0.303617,0.04115925,0.1016546,0.07455008
-0.9214861,0.158567,0.3147528,-0.9214861,6.589016,0.3147528,0.9467932,0.3027637,0.04044656,0.1013947,0.07455008
-0.9196496,0.1579018,0.3146133,-0.9196496,6.588351,0.3146133,0.9471774,0.301358,0.04096964,0.1017842,0.07455008
-0.9188823,0.157758,0.3144844,-0.9188823,6.588207,0.3144844,0.9472984,0.3005471,0.04216695,0.1025633,0.07455008
-0.918643,0.1576631,0.3142598,-0.918643,6.588113,0.3142598,0.947784,0.2979354,0.04522273,0.1043789,0.07455008
-0.9185092,0.1579449,0.3142314,-0.9185092,6.588394,0.3142314,0.9485213,0.2958238,0.04374446,0.1043172,0.07455008
-0.9182845,0.1577482,0.3141946,-0.9182845,6.588198,0.3141946,0.9491369,0.2949647,0.04073456,0.102351,0.07455008
-0.9176028,0.1576078,0.3143287,-0.9176028,6.588058,0.3143287,0.9495218,0.2938459,0.0393309,0.1025478,0.07455008
-0.9170732,0.1575799,0.3142767,-0.9170732,6.588029,0.3142767,0.9498838,0.2926193,0.03900734,0.1028255,0.07455008
-0.9160571,0.1576195,0.3140557,-0.9160571,6.588069,0.3140557,0.9502031,0.2914645,0.03924784,0.1030634,0.07455008
-0.915141,0.1574531,0.3140038,-0.915141,6.587903,0.3140038,0.9505286,0.2900814,0.04007719,0.103644,0.07455008
-0.9142445,0.157315,0.3138956,-0.9142445,6.587765,0.3138956,0.9508123,0.2889116,0.04027137,0.1042325,0.07455008
-0.9133472,0.1571748,0.3138072,-0.9133472,6.587625,0.3138072,0.9511027,0.2874453,0.0416884,0.105076,0.07455008
-0.9126532,0.157094,0.313853,-0.9126532,6.587543,0.313853,0.9515228,0.2857934,0.04201844,0.1056458,0.07455008
-0.9122176,0.1571033,0.3139073,-0.9122176,6.587553,0.3139073,0.9520503,0.2843582,0.04059825,0.1053213,0.07455008
-0.9116912,0.1570251,0.31381,-0.9116912,6.587475,0.31381,0.9524825,0.2837662,0.0377602,0.1040576,0.07455008
-0.9107622,0.1568179,0.3137276,-0.9107622,6.587267,0.3137276,0.9526947,0.2836738,0.03546999,0.1031696,0.07455008
-0.9092795,0.1562817,0.3135751,-0.9092795,6.586731,0.3135751,0.9528108,0.283766,0.03339867,0.102533,0.07455008
-0.9070994,0.1558683,0.3135256,-0.9070994,6.586318,0.3135256,0.9524247,0.2857642,0.03144655,0.1011789,0.07455008
-0.9048178,0.155324,0.3132672,-0.9048178,6.585773,0.3132672,0.9518414,0.2870116,0.03426133,0.1022175,0.07455008
-0.9035772,0.1550138,0.3126177,-0.9035772,6.585464,0.3126177,0.9514724,0.2868183,0.0390747,0.1044448,0.07455008
-0.9026849,0.1550372,0.3120195,-0.9026849,6.585486,0.3120195,0.9515439,0.2853359,0.04322823,0.1062019,0.07455008
-0.902396,0.1551559,0.3113161,-0.902396,6.585606,0.3113161,0.9519998,0.2844039,0.04272932,0.1048098,0.07455008
-0.9017597,0.1550436,0.3105621,-0.9017597,6.585493,0.3105621,0.9524332,0.2840244,0.03950347,0.103153,0.07455008
-0.9011745,0.1550856,0.3100479,-0.9011745,6.585535,0.3100479,0.9528357,0.2846959,0.03242823,0.1000037,0.07455008
-0.9002459,0.1546438,0.3108127,-0.9002459,6.585093,0.3108127,0.9526159,0.2861606,0.02701921,0.09952468,0.07455008
-0.8980724,0.1542773,0.311424,-0.8980724,6.584727,0.311424,0.951967,0.2880175,0.0232322,0.1013162,0.07455008
-0.8961596,0.1540556,0.311517,-0.8961596,6.584505,0.311517,0.9512422,0.2910239,0.02286042,0.09960317,0.07455008
-0.8945767,0.1534593,0.3120838,-0.8945767,6.583909,0.3120838,0.9503062,0.2931643,0.0258253,0.1015182,0.07455008
-0.895725,0.1535401,0.3119024,-0.895725,6.58399,0.3119024,0.9517274,0.2874675,0.03078399,0.1031005,0.07455008
-0.8972827,0.154325,0.3114817,-0.8972827,6.584774,0.3114817,0.9532694,0.2851888,0.02536391,0.09644505,0.07455008
-0.8991332,0.1550207,0.3114097,-0.8991332,6.58547,0.3114097,0.9532269,0.2885745,0.01064114,0.08927514,0.07455008
-0.899807,0.1547794,0.3109611,-0.899807,6.585229,0.3109611,0.9534094,0.2894002,0,0.08519442,0.07455008
-0.8995737,0.1548843,0.3111218,-0.8995737,6.585334,0.3111218,0.9534341,0.289802,-0.004665897,0.08340601,0.07455008
-0.8992599,0.1546891,0.3115735,-0.8992599,6.585138,0.3115735,0.9529023,0.2910499,-0.002501697,0.08521137,0.07455008
-0.8990015,0.1547129,0.3114706,-0.8990015,6.585162,0.3114706,0.9525904,0.2915128,0.003159712,0.08707353,0.07455008
-0.8991263,0.1546705,0.3112879,-0.8991263,6.58512,0.3112879,0.9522663,0.2923328,0.006621119,0.08767283,0.07455008
-0.8989664,0.154732,0.3114321,-0.8989664,6.585181,0.3114321,0.9518101,0.2934516,0.01092308,0.08845533,0.07455008
-0.8992962,0.1549807,0.3116359,-0.8992962,6.58543,0.3116359,0.9515793,0.2943965,0.01134269,0.08774351,0.07455008
-0.8998704,0.154892,0.3117008,-0.8998704,6.585341,0.3117008,0.9513783,0.295468,0.009977708,0.08647741,0.07455008
-0.9001845,0.154824,0.3121459,-0.9001845,6.585274,0.3121459,0.9512455,0.2967642,0.005485021,0.08386319,0.07455008
-0.9003844,0.1549284,0.3124874,-0.9003844,6.585378,0.3124874,0.9511687,0.2973622,0.003974321,0.08269271,0.07455008
-0.900387,0.1550059,0.3125875,-0.900387,6.585455,0.3125875,0.9510401,0.2978068,0.003561024,0.08259074,0.07455008
-0.9003184,0.1552165,0.3128673,-0.9003184,6.585666,0.3128673,0.9509605,0.2981663,0.005006371,0.08213382,0.07455008
-0.9005406,0.1554878,0.313017,-0.9005406,6.585938,0.313017,0.9510215,0.2982466,0.00548502,0.08109926,0.07455008
-0.9008552,0.15537,0.3133172,-0.9008552,6.585819,0.3133172,0.9508985,0.2986738,0.005227689,0.08098572,0.07455008
-0.9009912,0.1554811,0.3134984,-0.9009912,6.585931,0.3134984,0.9508847,0.2989137,0.004926864,0.08027875,0.07455008
-0.9008723,0.1552663,0.3135028,-0.9008723,6.585716,0.3135028,0.9510054,0.2988586,0.004327905,0.07907923,0.07455008
-0.9006237,0.1554823,0.3136255,-0.9006237,6.585932,0.3136255,0.950968,0.2991962,0.003944213,0.07826906,0.07455008
-0.9005539,0.155539,0.3138664,-0.9005539,6.585989,0.3138664,0.9508598,0.2996974,0.003478468,0.07768507,0.07455008
-0.9006139,0.1557178,0.3141757,-0.9006139,6.586167,0.3141757,0.9506337,0.3005691,0.003227369,0.07709347,0.07455008
-0.9008335,0.155792,0.3142967,-0.9008335,6.586242,0.3142967,0.9503818,0.3014516,0.003302673,0.07675069,0.07455008
-0.9012263,0.1558645,0.3143481,-0.9012263,6.586314,0.3143481,0.9499862,0.3028615,0.003124142,0.07610211,0.07455008
-0.9016166,0.1557937,0.3144432,-0.9016166,6.586243,0.3144432,0.9495543,0.3045328,0.002100177,0.07484692,0.07455008
-0.901947,0.1558037,0.3145858,-0.901947,6.586253,0.3145858,0.9490666,0.3062848,0.001214584,0.07389691,0.07455008
-0.9021471,0.1558506,0.314813,-0.9021471,6.5863,0.314813,0.9486424,0.307667,0.001459749,0.07359625,0.07455008
-0.9023364,0.1559424,0.3149551,-0.9023364,6.586392,0.3149551,0.9481425,0.3092094,0.002929688,0.07353093,0.07455008
-0.902616,0.15607,0.3150628,-0.902616,6.586519,0.3150628,0.9476351,0.3109251,0.003694518,0.07279895,0.07455008
-0.9030346,0.1561081,0.3153051,-0.9030346,6.586557,0.3153051,0.9471257,0.3127117,0.00300005,0.07179997,0.07455008
-0.9034959,0.1562057,0.3155624,-0.9034959,6.586655,0.3155624,0.9466269,0.3144576,0.001428796,0.07079478,0.07455008
-0.9038017,0.1562686,0.3157998,-0.9038017,6.586718,0.3157998,0.9461012,0.3162355,0.0008004686,0.06990794,0.07455008
-0.9040864,0.1563251,0.3161472,-0.9040864,6.586775,0.3161472,0.9456226,0.3178301,0.001013992,0.06914429,0.07455008
-0.9044285,0.1564794,0.3164194,-0.9044285,6.586929,0.3164194,0.9451205,0.3194049,0.00162404,0.06874011,0.07455008
-0.9046154,0.1565328,0.3166507,-0.9046154,6.586982,0.3166507,0.944667,0.3208486,0.002290242,0.0682289,0.07455008
-0.9047788,0.1566186,0.3170025,-0.9047788,6.587068,0.3170025,0.9442595,0.3220942,0.002962564,0.06797497,0.07455008
-0.9051919,0.1565425,0.3169791,-0.9051919,6.586992,0.3169791,0.9438824,0.3232029,0.004070638,0.06789239,0.07455008
-0.9053581,0.1566248,0.3171936,-0.9053581,6.587074,0.3171936,0.9436336,0.3240323,0.005206266,0.06731788,0.07455008
-0.9055248,0.1566734,0.3174019,-0.9055248,6.587123,0.3174019,0.9434559,0.3247004,0.005408417,0.06656818,0.07455008
-0.9056152,0.1566653,0.3175511,-0.9056152,6.587115,0.3175511,0.9433539,0.3251399,0.005281569,0.06587546,0.07455008
-0.9059476,0.1565824,0.3178036,-0.9059476,6.587032,0.3178036,0.943226,0.3256086,0.005305497,0.06538766,0.07455008
-0.9059887,0.1566942,0.3178763,-0.9059887,6.587144,0.3178763,0.9433623,0.325307,0.005746388,0.06488448,0.07455008
-0.9058745,0.1567633,0.3180401,-0.9058745,6.587213,0.3180401,0.9435974,0.3247919,0.005883485,0.06402736,0.07455008
-0.9058182,0.1567717,0.3182739,-0.9058182,6.587221,0.3182739,0.9437582,0.324539,0.005167483,0.06299349,0.07455008
-0.9055073,0.1568596,0.318599,-0.9055073,6.587309,0.318599,0.944049,0.3237779,0.004788829,0.06258161,0.07455008
-0.9054215,0.157083,0.3188111,-0.9054215,6.587533,0.3188111,0.944256,0.3232503,0.00549452,0.06212623,0.07455008
-0.9053223,0.1572349,0.3189787,-0.9053223,6.587685,0.3189787,0.9444774,0.3226925,0.006415373,0.06157016,0.07455008
-0.9052943,0.1573651,0.3192359,-0.9052943,6.587814,0.3192359,0.9447411,0.3221169,0.006387439,0.06053186,0.07455008
-0.9050944,0.1572278,0.3193278,-0.9050944,6.587677,0.3193278,0.9451271,0.3212062,0.00505377,0.05946215,0.07455008
-0.904947,0.1573529,0.3194766,-0.904947,6.587802,0.3194766,0.9453771,0.320582,0.004033865,0.0589338,0.07455008
-0.9047731,0.1575322,0.3197019,-0.9047731,6.587982,0.3197019,0.9457727,0.319535,0.003730641,0.05828829,0.07455008
-0.904461,0.157614,0.3198829,-0.904461,6.588063,0.3198829,0.9461848,0.3184393,0.004134203,0.05756506,0.07455008
-0.9041849,0.1579132,0.3199884,-0.9041849,6.588363,0.3199884,0.9466216,0.3172629,0.004277689,0.05686381,0.07455008
-0.904122,0.158036,0.3199486,-0.904122,6.588486,0.3199486,0.9470568,0.3161623,0.003600557,0.0557852,0.07455008
-0.9037851,0.1580739,0.3201578,-0.9037851,6.588523,0.3201578,0.947489,0.3150188,0.003059073,0.05493924,0.07455008
-0.9034421,0.1583531,0.3201921,-0.9034421,6.588802,0.3201921,0.9479468,0.3137496,0.002756736,0.05431759,0.07455008
-0.9032317,0.1585884,0.3202903,-0.9032317,6.589038,0.3202903,0.9484473,0.312317,0.002745904,0.05383454,0.07455008
-0.9028866,0.1586967,0.3202899,-0.9028866,6.589146,0.3202899,0.9490236,0.3106309,0.003345261,0.05339917,0.07455008
-0.9025548,0.159029,0.3204949,-0.9025548,6.589478,0.3204949,0.9495118,0.3092448,0.003732638,0.05273622,0.07455008
-0.9024882,0.1593349,0.3206346,-0.9024882,6.589785,0.3206346,0.9499597,0.3080562,0.003813599,0.05160904,0.07455008
-0.9023641,0.1594369,0.320807,-0.9023641,6.589887,0.320807,0.9503478,0.3070635,0.002796982,0.050431,0.07455008
-0.9023585,0.1596091,0.3210181,-0.9023585,6.590058,0.3210181,0.9506962,0.3061915,0.001524658,0.0492057,0.07455008
-0.9025025,0.1596918,0.321196,-0.9025025,6.590141,0.321196,0.9509944,0.3055087,-0.001286091,0.04766951,0.07455008
-0.9023089,0.1596789,0.3212857,-0.9023089,6.590128,0.3212857,0.9513144,0.3046666,-0.003300417,0.04656579,0.07455008
-0.9021978,0.1597564,0.3213546,-0.9021978,6.590206,0.3213546,0.9515336,0.3041022,-0.005287209,0.04558145,0.07455008
-0.9021978,0.1597564,0.3213546,-0.9021978,6.590206,0.3213546,0.9515336,0.3041022,-0.005287209,0.04558145,0.07455008
-0.9020908,0.1600103,0.3212159,-0.9020908,6.59046,0.3212159,0.9516735,0.3035305,-0.00448515,0.04654738,0.07455008
-0.9019918,0.1601491,0.3213239,-0.9019918,6.590599,0.3213239,0.9517413,0.3032857,-0.00399489,0.04680199,0.07455008
-0.9020388,0.1603465,0.3212345,-0.9020388,6.590796,0.3212345,0.9516068,0.3036053,-0.002896438,0.04753804,0.07455008
-0.9021224,0.1605747,0.3212256,-0.9021224,6.591024,0.3212256,0.9514402,0.3039743,-0.001669286,0.04856328,0.07455008
-0.9021088,0.1608295,0.3214799,-0.9021088,6.591279,0.3214799,0.9513543,0.3041201,0.0002441407,0.04935627,0.07455008
-0.902261,0.1610615,0.3213048,-0.902261,6.591511,0.3213048,0.9516966,0.3028567,0.003740614,0.05037335,0.07455008
-0.9023403,0.1614413,0.321339,-0.9023403,6.591891,0.321339,0.952748,0.2993726,0.008631675,0.05072282,0.07455008
-0.9022937,0.1617739,0.3213845,-0.9022937,6.592223,0.3213845,0.9533163,0.2971818,0.01301066,0.05197759,0.07455008
-0.9020106,0.1621141,0.3214607,-0.9020106,6.592564,0.3214607,0.9539235,0.2944018,0.01836215,0.05495835,0.07455008
-0.9016871,0.1624639,0.3214144,-0.9016871,6.592914,0.3214144,0.9545985,0.2914632,0.02196757,0.0575187,0.07455008
-0.9015924,0.1628864,0.3212949,-0.9015924,6.593336,0.3212949,0.9550827,0.2894507,0.02235254,0.05946291,0.07455008
-0.9016376,0.163255,0.3211112,-0.9016376,6.593704,0.3211112,0.9557151,0.2874954,0.02106765,0.05925555,0.07455008
-0.9017481,0.1634929,0.3210856,-0.9017481,6.593943,0.3210856,0.9565417,0.2851943,0.01719156,0.05828087,0.07455008
-0.9021049,0.1631691,0.3210474,-0.9021049,6.593618,0.3210474,0.9567913,0.283981,0.01745563,0.06000498,0.07455008
-0.9024271,0.1627164,0.3208514,-0.9024271,6.593166,0.3208514,0.9570577,0.2819473,0.01862042,0.06480451,0.07455008
-0.9025084,0.162293,0.320654,-0.9025084,6.592742,0.320654,0.9575751,0.2794996,0.01850201,0.06773209,0.07455008
-0.9025546,0.1622822,0.320429,-0.9025546,6.592731,0.320429,0.9579605,0.2780661,0.0178807,0.06834586,0.07455008
-0.9025515,0.1619935,0.3203616,-0.9025515,6.592443,0.3203616,0.9582662,0.2772141,0.01477152,0.06826438,0.07455008
-0.9022278,0.161747,0.3199657,-0.9022278,6.592196,0.3199657,0.9583786,0.2775327,0.009487777,0.06630374,0.07455008
-0.9015759,0.1612422,0.3194052,-0.9015759,6.591692,0.3194052,0.958259,0.278682,0.002632307,0.06378883,0.07455008
-0.9009283,0.160708,0.3188766,-0.9009283,6.591157,0.3188766,0.9582223,0.2786573,-0.0008368719,0.06449438,0.07455008
-0.9001963,0.1604409,0.3184044,-0.9001963,6.59089,0.3184044,0.9585495,0.2767872,-0.002103722,0.06758144,0.07455008
-0.9001963,0.1604409,0.3184044,-0.9001963,6.59089,0.3184044,0.9585495,0.2767872,-0.002103722,0.06758144,0.07455008
-0.8992996,0.1601551,0.318381,-0.8992996,6.590605,0.318381,0.9586413,0.2765301,-0.003085749,0.06729442,0.07455008
-0.8977175,0.1598516,0.3180771,-0.8977175,6.590301,0.3180771,0.9593229,0.2731346,-0.002328953,0.07135613,0.07455008
-0.8970568,0.1599424,0.3182077,-0.8970568,6.590392,0.3182077,0.9599131,0.2706709,0.0003860203,0.07282863,0.07455008
-0.8970568,0.1599424,0.3182077,-0.8970568,6.590392,0.3182077,0.9599131,0.2706709,0.0003860203,0.07282863,0.07455008
-0.8964194,0.1599147,0.3175658,-0.8964194,6.590364,0.3175658,0.9604386,0.2690827,-0.003229677,0.07170673,0.07455008
-0.8963044,0.159795,0.3175431,-0.8963044,6.590244,0.3175431,0.9606336,0.2684762,-0.005394624,0.07123522,0.07455008
-0.8964785,0.1596115,0.3178667,-0.8964785,6.590061,0.3178667,0.9606641,0.268602,-0.007786708,0.07012055,0.07455008
-0.8961965,0.1592166,0.3177398,-0.8961965,6.589666,0.3177398,0.9606745,0.2684329,-0.008849045,0.07049801,0.07455008
-0.8961616,0.1589396,0.3176072,-0.8961616,6.589389,0.3176072,0.9605308,0.2687223,-0.008071424,0.07144107,0.07455008
-0.8959619,0.1586492,0.3172915,-0.8959619,6.589099,0.3172915,0.9603381,0.269058,-0.004788829,0.0730459,0.07455008
-0.8955798,0.1581132,0.3169495,-0.8955798,6.588563,0.3169495,0.9599322,0.2697334,0.0001220703,0.07598727,0.07455008
-0.8955371,0.1578131,0.3164992,-0.8955371,6.588263,0.3164992,0.9593135,0.2709125,0.005217703,0.07935293,0.07455008
-0.8957481,0.1574519,0.316256,-0.8957481,6.587901,0.316256,0.9588479,0.2719579,0.007188688,0.08122842,0.07455008
-0.8957481,0.1574519,0.316256,-0.8957481,6.587901,0.316256,0.9588479,0.2719579,0.007188688,0.08122842,0.07455008
-0.8963622,0.1572971,0.316046,-0.8963622,6.587747,0.316046,0.9582939,0.2739031,0.006123016,0.08131716,0.07455008
-0.8975296,0.1567283,0.3157284,-0.8975296,6.587178,0.3157284,0.9571458,0.2778113,0.002674427,0.08176616,0.07455008
-0.8978992,0.1564515,0.3156823,-0.8978992,6.586901,0.3156823,0.9566242,0.2796046,0.001151609,0.08179285,0.07455008
