posX,posY,posZ,RotX,RotY,RotZ,RotW,vPosX,vPosY,vPosZ,initH
-0.779945,1.559929,0.3844309,-0.779945,21.51374,0.3844309,0.1177854,-0.8326263,-0.1301069,-0.5252927,0.18
-0.7798238,1.560012,0.384487,-0.7798238,21.51382,0.384487,0.117961,-0.832543,-0.1303042,-0.5253363,0.18
-0.7797085,1.560045,0.384521,-0.7797085,21.51386,0.384521,0.118133,-0.832428,-0.1305247,-0.5254251,0.18
-0.7794982,1.560072,0.3845644,-0.7794982,21.51388,0.3845644,0.1181034,-0.8322662,-0.1308817,-0.5255993,0.18
-0.7794403,1.560093,0.384714,-0.7794403,21.5139,0.384714,0.1180482,-0.8321861,-0.1310184,-0.5257045,0.18
-0.7794403,1.560093,0.384714,-0.7794403,21.5139,0.384714,0.1180482,-0.8321861,-0.1310184,-0.5257045,0.18
-0.7790586,1.560065,0.3848193,-0.7790586,21.51388,0.3848193,0.1179402,-0.8320398,-0.1313838,-0.525869,0.18
-0.7789961,1.56003,0.3849523,-0.7789961,21.51384,0.3849523,0.1178376,-0.8320094,-0.1314898,-0.5259137,0.18
-0.7788901,1.560037,0.3849982,-0.7788901,21.51385,0.3849982,0.1176554,-0.8319778,-0.1314107,-0.5260243,0.18
-0.7788129,1.560118,0.3851005,-0.7788129,21.51393,0.3851005,0.1176013,-0.8319053,-0.1315924,-0.5261054,0.18
-0.7786738,1.560189,0.3852378,-0.7786738,21.514,0.3852378,0.1172164,-0.8319328,-0.1316597,-0.5261309,0.18
-0.7785599,1.560278,0.3854145,-0.7785599,21.51409,0.3854145,0.1172364,-0.8319449,-0.1317712,-0.5260796,0.18
-0.7782124,1.560202,0.3853154,-0.7782124,21.51401,0.3853154,0.1169615,-0.8319132,-0.1319367,-0.5261495,0.18
-0.7780854,1.560242,0.3853359,-0.7780854,21.51405,0.3853359,0.1169011,-0.8318868,-0.1321385,-0.526154,0.18
-0.7780204,1.560267,0.3853645,-0.7780204,21.51408,0.3853645,0.1166461,-0.8319519,-0.1321172,-0.526113,0.18
-0.7779232,1.560194,0.3853014,-0.7779232,21.51401,0.3853014,0.1167047,-0.8319324,-0.1321071,-0.5261333,0.18
-0.7778518,1.560229,0.3853041,-0.7778518,21.51404,0.3853041,0.116618,-0.8320363,-0.1319959,-0.5260162,0.18
-0.7778002,1.560244,0.3853688,-0.7778002,21.51406,0.3853688,0.1165836,-0.8320287,-0.1320316,-0.5260267,0.18
-0.7776825,1.560326,0.3854648,-0.7776825,21.51414,0.3854648,0.1166899,-0.8321168,-0.1318944,-0.5258981,0.18
-0.7776825,1.560326,0.3854648,-0.7776825,21.51414,0.3854648,0.1166899,-0.8321168,-0.1318944,-0.5258981,0.18
-0.7775302,1.560302,0.3854929,-0.7775302,21.51411,0.3854929,0.1169092,-0.8323056,-0.1320232,-0.5255184,0.18
-0.7773014,1.56022,0.3853434,-0.7773014,21.51403,0.3853434,0.1169152,-0.8324112,-0.132012,-0.5253526,0.18
-0.7771785,1.560231,0.3852654,-0.7771785,21.51404,0.3852654,0.1169079,-0.8325474,-0.1319447,-0.5251554,0.18
-0.7770424,1.560185,0.3852583,-0.7770424,21.514,0.3852583,0.1170956,-0.8327293,-0.1319093,-0.5248339,0.18
-0.7768625,1.560112,0.3851352,-0.7768625,21.51392,0.3851352,0.1171244,-0.8327801,-0.1319042,-0.5247482,0.18
-0.7768625,1.560112,0.3851352,-0.7768625,21.51392,0.3851352,0.1171244,-0.8327801,-0.1319042,-0.5247482,0.18
-0.7765903,1.559977,0.3850423,-0.7765903,21.51379,0.3850423,0.1168326,-0.8332536,-0.1314042,-0.5241866,0.18
-0.7761966,1.559755,0.384793,-0.7761966,21.51357,0.384793,0.1164041,-0.8334497,-0.130955,-0.5240825,0.18
-0.7758964,1.559639,0.38476,-0.7758964,21.51345,0.38476,0.1158982,-0.8335965,-0.1305819,-0.5240543,0.18
-0.775613,1.559492,0.3846364,-0.775613,21.5133,0.3846364,0.1152138,-0.8336846,-0.1300852,-0.5241887,0.18
-0.7752041,1.559261,0.3845433,-0.7752041,21.51307,0.3845433,0.1138009,-0.8336105,-0.1293277,-0.5248021,0.18
-0.7749364,1.559049,0.3845576,-0.7749364,21.51286,0.3845576,0.1123099,-0.8332607,-0.1285619,-0.525866,0.18
-0.7744677,1.558872,0.3845702,-0.7744677,21.51268,0.3845702,0.110893,-0.8328241,-0.1274849,-0.527119,0.18
-0.7739962,1.558641,0.3847784,-0.7739962,21.51245,0.3847784,0.1092389,-0.8319284,-0.1261803,-0.5291886,0.18
-0.7732179,1.558362,0.3850479,-0.7732179,21.51217,0.3850479,0.1077543,-0.8311123,-0.124373,-0.5311994,0.18
-0.7725515,1.557897,0.3854551,-0.7725515,21.51171,0.3854551,0.1061047,-0.830021,-0.1219367,-0.5337962,0.18
-0.7716494,1.557231,0.3855742,-0.7716494,21.51104,0.3855742,0.1040914,-0.8290116,-0.1193441,-0.5363412,0.18
-0.7709026,1.556614,0.3859499,-0.7709026,21.51043,0.3859499,0.1019903,-0.8277903,-0.116134,-0.5393276,0.18
-0.7701628,1.555982,0.3863251,-0.7701628,21.50979,0.3863251,0.0994855,-0.8265505,-0.1127817,-0.5423996,0.18
-0.7692386,1.555338,0.3868071,-0.7692386,21.50915,0.3868071,0.09628789,-0.8250151,-0.1088176,-0.5461112,0.18
-0.7682362,1.554627,0.3872467,-0.7682362,21.50844,0.3872467,0.09326133,-0.8233322,-0.1051709,-0.5498776,0.18
-0.7672453,1.553916,0.3877114,-0.7672453,21.50773,0.3877114,0.0901702,-0.8216279,-0.1018782,-0.5535501,0.18
-0.7661721,1.553154,0.388123,-0.7661721,21.50697,0.388123,0.0867331,-0.8197548,-0.09812538,-0.55754,0.18
-0.765012,1.552386,0.388553,-0.765012,21.5062,0.388553,0.08334772,-0.8179256,-0.09424024,-0.5613997,0.18
-0.7638656,1.5515,0.3891159,-0.7638656,21.50531,0.3891159,0.07971527,-0.815954,-0.09015927,-0.5654519,0.18
-0.7624726,1.550442,0.3893323,-0.7624726,21.50425,0.3893323,0.07616342,-0.8140527,-0.08605157,-0.5693088,0.18
-0.7612458,1.54941,0.3897482,-0.7612458,21.50322,0.3897482,0.0723655,-0.8120019,-0.08156648,-0.5733787,0.18
-0.7601434,1.548385,0.3902143,-0.7601434,21.5022,0.3902143,0.06845201,-0.8100724,-0.07693151,-0.5772163,0.18
-0.7586807,1.547088,0.3907691,-0.7586807,21.5009,0.3907691,0.06345245,-0.8074458,-0.0711633,-0.5821863,0.18
-0.7576853,1.546152,0.3911467,-0.7576853,21.49996,0.3911467,0.05993589,-0.8057671,-0.06709431,-0.5853593,0.18
-0.7565362,1.545092,0.3916577,-0.7565362,21.4989,0.3916577,0.05559725,-0.8036909,-0.06214536,-0.5891756,0.18
-0.7551662,1.543591,0.391811,-0.7551662,21.4974,0.391811,0.05083582,-0.8015244,-0.05672158,-0.5930911,0.18
-0.7539859,1.542272,0.3923211,-0.7539859,21.49608,0.3923211,0.04625184,-0.7994905,-0.05091672,-0.5967271,0.18
-0.7531842,1.540792,0.3928427,-0.7531842,21.4946,0.3928427,0.04087773,-0.797492,-0.04374798,-0.6003513,0.18
-0.7522777,1.539192,0.3932676,-0.7522777,21.493,0.3932676,0.03554723,-0.7953446,-0.0365404,-0.6040102,0.18
-0.7522777,1.539192,0.3932676,-0.7522777,21.493,0.3932676,0.03554723,-0.7953446,-0.0365404,-0.6040102,0.18
-0.7509942,1.53593,0.3944833,-0.7509942,21.48974,0.3944833,0.02362914,-0.7910132,-0.02084517,-0.6109872,0.18
-0.7505451,1.534206,0.3950363,-0.7505451,21.48802,0.3950363,0.0169785,-0.7887046,-0.01224068,-0.6144159,0.18
-0.7499974,1.53229,0.3957436,-0.7499974,21.4861,0.3957436,0.009676149,-0.7861413,-0.002109586,-0.6179675,0.18
-0.7498862,1.530446,0.3964479,-0.7498862,21.48426,0.3964479,0.0024751,-0.7837749,0.007781161,-0.6209913,0.18
-0.7498055,1.528342,0.3969367,-0.7498055,21.48215,0.3969367,-0.005249427,-0.7813985,0.01907749,-0.6237186,0.18
-0.7497832,1.52621,0.3975246,-0.7497832,21.48002,0.3975246,-0.01333904,-0.7788789,0.03027414,-0.6263012,0.18
-0.7498754,1.523874,0.3982222,-0.7498754,21.47769,0.3982222,-0.02118135,-0.7764312,0.04199922,-0.6284442,0.18
-0.7496901,1.521497,0.3985751,-0.7496901,21.47531,0.3985751,-0.02875886,-0.773526,0.05281127,-0.6309054,0.18
-0.7497319,1.519144,0.3989788,-0.7497319,21.47296,0.3989788,-0.03552568,-0.7703006,0.06334066,-0.6335321,0.18
-0.7495978,1.517046,0.3996699,-0.7495978,21.47086,0.3996699,-0.04204015,-0.7670059,0.072922,-0.6360952,0.18
-0.7493827,1.515046,0.4000763,-0.7493827,21.46886,0.4000763,-0.04766226,-0.7634516,0.08039315,-0.6390672,0.18
-0.7487795,1.513307,0.4004407,-0.7487795,21.46712,0.4004407,-0.05305886,-0.7595093,0.08667326,-0.6425093,0.18
