posX,posY,posZ,RotX,RotY,RotZ,RotW,vPosX,vPosY,vPosZ,initH
-0.8540328,0.1713676,0.2960441,-0.8540328,30.33696,0.2960441,0.9304724,0.3641849,0.003817504,0.03969857,0.08927529
-0.8536139,0.1715198,0.2957995,-0.8536139,30.33712,0.2957995,0.9303139,0.3645839,0.004756045,0.03964937,0.08927529
-0.853696,0.1715128,0.2958199,-0.853696,30.33711,0.2958199,0.9304721,0.364174,0.00448681,0.03973365,0.08927529
-0.853696,0.1715128,0.2958199,-0.853696,30.33711,0.2958199,0.9304721,0.364174,0.00448681,0.03973365,0.08927529
-0.8528502,0.1716988,0.2956278,-0.8528502,30.3373,0.2956278,0.9300522,0.3652952,0.004277689,0.03929451,0.08927529
-0.8529351,0.1717098,0.2956939,-0.8529351,30.33731,0.2956939,0.929922,0.3656154,0.004475172,0.03937633,0.08927529
-0.8529351,0.1717098,0.2956939,-0.8529351,30.33731,0.2956939,0.929922,0.3656154,0.004475172,0.03937633,0.08927529
-0.8528674,0.1718574,0.2955638,-0.8528674,30.33745,0.2955638,0.9298127,0.3659312,0.004673874,0.03899798,0.08927529
-0.8528674,0.1718574,0.2955638,-0.8528674,30.33745,0.2955638,0.9298127,0.3659312,0.004673874,0.03899798,0.08927529
-0.8523935,0.1719511,0.2953228,-0.8523935,30.33755,0.2953228,0.9296204,0.3664499,0.004436714,0.03873747,0.08927529
-0.8526,0.171895,0.2955525,-0.8526,30.33749,0.2955525,0.9294022,0.367066,0.004030169,0.03818246,0.08927529
-0.8526727,0.1718733,0.2955935,-0.8526727,30.33747,0.2955935,0.9292509,0.3674765,0.003889046,0.03793128,0.08927529
-0.852777,0.1718102,0.2957603,-0.852777,30.33741,0.2957603,0.9291893,0.3676392,0.003641708,0.03788587,0.08927529
-0.8525364,0.1720464,0.2956418,-0.8525364,30.33764,0.2956418,0.9290994,0.3679014,0.003537934,0.03755483,0.08927529
