posX,posY,posZ,RotX,RotY,RotZ,RotW,vPosX,vPosY,vPosZ,initH
-0.9515281,0.1827128,0.3907957,-0.9515281,1.350507,0.3907957,0.9476194,0.308771,-0.02885485,0.07645452,0.08656041
-0.9515285,0.1827216,0.3908076,-0.9515285,1.350516,0.3908076,0.9476351,0.3087094,-0.02876071,0.0765447,0.08656041
-0.9515561,0.1827579,0.3907588,-0.9515561,1.350552,0.3907588,0.9476528,0.3086689,-0.02870107,0.07651141,0.08656041
-0.9515898,0.1828377,0.3908037,-0.9515898,1.350632,0.3908037,0.947675,0.3086395,-0.0286413,0.07637672,0.08656041
-0.9517465,0.1827302,0.3909147,-0.9517465,1.350524,0.3909147,0.9476669,0.3086376,-0.02887292,0.076397,0.08656041
-0.9517465,0.1827302,0.3909147,-0.9517465,1.350524,0.3909147,0.9476669,0.3086376,-0.02887292,0.076397,0.08656041
-0.9517138,0.1827574,0.3909725,-0.9517138,1.350552,0.3909725,0.9476836,0.3086176,-0.02889227,0.07626455,0.08656041
-0.95171,0.1829,0.3912067,-0.95171,1.350694,0.3912067,0.9475955,0.30884,-0.0285973,0.07656855,0.08656041
-0.9518855,0.1829476,0.3910292,-0.9518855,1.350742,0.3910292,0.9475412,0.3090287,-0.02952386,0.07612608,0.08656041
-0.9519879,0.1829417,0.3910578,-0.9519879,1.350736,0.3910578,0.9474117,0.3094305,-0.03052954,0.07570869,0.08656041
-0.9521058,0.1830041,0.3911202,-0.9521058,1.350798,0.3911202,0.9473351,0.3096727,-0.03113248,0.07543116,0.08656041
-0.9521741,0.1830881,0.3912317,-0.9521741,1.350882,0.3912317,0.9472138,0.3100418,-0.0315511,0.07526375,0.08656041
-0.9521199,0.1829174,0.3911619,-0.9521199,1.350712,0.3911619,0.9471129,0.3103516,-0.03155488,0.07525504,0.08656041
-0.9521723,0.1829686,0.3911294,-0.9521723,1.350763,0.3911294,0.947022,0.3106197,-0.03175025,0.07521167,0.08656041
-0.9522883,0.1829555,0.3911757,-0.9522883,1.35075,0.3911757,0.9469128,0.3109755,-0.03202643,0.07499838,0.08656041
-0.9523696,0.1829736,0.3911945,-0.9523696,1.350768,0.3911945,0.9467579,0.311397,-0.03247965,0.0750093,0.08656041
-0.9524399,0.1830094,0.3912164,-0.9524399,1.350804,0.3912164,0.9466323,0.3117978,-0.03288974,0.07475071,0.08656041
-0.9526361,0.1830316,0.3913301,-0.9526361,1.350826,0.3913301,0.9464205,0.3124345,-0.03318158,0.07464557,0.08656041
-0.9527652,0.1829801,0.3913256,-0.9527652,1.350774,0.3913256,0.9462712,0.312915,-0.03400771,0.07415278,0.08656041
-0.9529401,0.18308,0.3912848,-0.9529401,1.350874,0.3912848,0.9460946,0.3134381,-0.03510026,0.073686,0.08656041
-0.9531751,0.1830339,0.3911734,-0.9531751,1.350828,0.3911734,0.9460268,0.3136787,-0.03596229,0.07311441,0.08656041
-0.9533135,0.1829529,0.3912054,-0.9533135,1.350747,0.3912054,0.9458671,0.3141238,-0.03667923,0.07291267,0.08656041
-0.9534613,0.1828926,0.3912406,-0.9534613,1.350687,0.3912406,0.9458143,0.3142849,-0.03704226,0.0727201,0.08656041
-0.953548,0.1827929,0.3911618,-0.953548,1.350587,0.3911618,0.9457809,0.3144079,-0.03680699,0.07274326,0.08656041
-0.9535602,0.1826339,0.3911134,-0.9535602,1.350428,0.3911134,0.9457078,0.3146423,-0.03656735,0.07280019,0.08656041
-0.9535094,0.1825597,0.3911921,-0.9535094,1.350354,0.3911921,0.9457141,0.3146887,-0.03611611,0.07274254,0.08656041
-0.9536935,0.1823912,0.3911474,-0.9536935,1.350185,0.3911474,0.9456496,0.3148974,-0.03594344,0.07276332,0.08656041
-0.953853,0.1823273,0.3912253,-0.953853,1.350121,0.3912253,0.9455639,0.3151486,-0.03644284,0.07254079,0.08656041
-0.9539852,0.1821768,0.3913755,-0.9539852,1.349971,0.3913755,0.9454557,0.3154499,-0.03670685,0.07250874,0.08656041
-0.9539807,0.1821649,0.3913628,-0.9539807,1.349959,0.3913628,0.9453822,0.3156613,-0.03664489,0.07257827,0.08656041
-0.9539789,0.1822248,0.3913814,-0.9539789,1.350019,0.3913814,0.9452179,0.3162314,-0.03586936,0.07262404,0.08656041
-0.9541591,0.1822937,0.3914199,-0.9541591,1.350088,0.3914199,0.9451038,0.3166036,-0.03644571,0.07219838,0.08656041
-0.9543085,0.1824217,0.3916316,-0.9543085,1.350216,0.3916316,0.9450211,0.3169007,-0.03742545,0.07147349,0.08656041
-0.9544063,0.1825044,0.3916998,-0.9544063,1.350299,0.3916998,0.9449415,0.3171225,-0.03812114,0.0711738,0.08656041
-0.9544903,0.1825564,0.3917044,-0.9544903,1.350351,0.3917044,0.9448856,0.3172905,-0.03849398,0.07096633,0.08656041
-0.9545032,0.1825714,0.3916199,-0.9545032,1.350366,0.3916199,0.9449506,0.3171223,-0.03838369,0.07091225,0.08656041
-0.9544498,0.182487,0.3916177,-0.9544498,1.350281,0.3916177,0.9449173,0.3172448,-0.03855393,0.07071623,0.08656041
-0.9543332,0.1825402,0.3916243,-0.9543332,1.350334,0.3916243,0.9449894,0.3170419,-0.03812504,0.07089438,0.08656041
-0.9542874,0.182601,0.3914001,-0.9542874,1.350395,0.3914001,0.9450248,0.3169596,-0.0376038,0.07106915,0.08656041
-0.9543304,0.1826568,0.3913683,-0.9543304,1.350451,0.3913683,0.9450764,0.3168336,-0.03783589,0.07082035,0.08656041
-0.954223,0.1827896,0.3914744,-0.954223,1.350584,0.3914744,0.9451293,0.3166913,-0.03849882,0.07039277,0.08656041
-0.9541672,0.182874,0.3915009,-0.9541672,1.350668,0.3915009,0.9452093,0.3164497,-0.03841202,0.07045244,0.08656041
-0.9539644,0.1826949,0.3916334,-0.9539644,1.350489,0.3916334,0.9452871,0.3162593,-0.03811762,0.07042325,0.08656041
-0.9538071,0.1827774,0.3916243,-0.9538071,1.350572,0.3916243,0.9454151,0.315919,-0.0378156,0.07039478,0.08656041
-0.9538053,0.1827497,0.3914245,-0.9538053,1.350544,0.3914245,0.9454823,0.3157227,-0.03752228,0.0705313,0.08656041
-0.9537977,0.1828225,0.3914824,-0.9537977,1.350617,0.3914824,0.9455291,0.3156017,-0.03779984,0.07029608,0.08656041
-0.9538223,0.182858,0.391489,-0.9538223,1.350652,0.391489,0.9456069,0.315397,-0.03773454,0.07020264,0.08656041
-0.953873,0.1828485,0.3915795,-0.953873,1.350643,0.3915795,0.9456598,0.3152691,-0.03778367,0.0700389,0.08656041
-0.9537084,0.1826501,0.3914996,-0.9537084,1.350444,0.3914996,0.9457076,0.3151366,-0.0376628,0.07005379,0.08656041
-0.9536251,0.1826959,0.3915249,-0.9536251,1.35049,0.3915249,0.9457541,0.3150485,-0.03762519,0.06984396,0.08656041
-0.9534624,0.1828794,0.3914307,-0.9534624,1.350674,0.3914307,0.9458074,0.3149104,-0.03746723,0.06982881,0.08656041
-0.9535006,0.1830909,0.3914632,-0.9535006,1.350885,0.3914632,0.9457954,0.3149712,-0.03757268,0.06966034,0.08656041
-0.9536235,0.1830318,0.3914897,-0.9536235,1.350826,0.3914897,0.9457964,0.3149691,-0.03729143,0.06980661,0.08656041
-0.9536797,0.1830337,0.3914485,-0.9536797,1.350828,0.3914485,0.9457979,0.3149815,-0.03713306,0.06981505,0.08656041
-0.9538475,0.1832156,0.3914725,-0.9538475,1.35101,0.3914725,0.9457304,0.3152059,-0.03718579,0.0696874,0.08656041
-0.9538941,0.1832104,0.3916124,-0.9538941,1.351005,0.3916124,0.9456294,0.3155142,-0.03694135,0.06979359,0.08656041
-0.9539504,0.1833105,0.3920581,-0.9539504,1.351105,0.3920581,0.9456031,0.3156816,-0.03691936,0.06940468,0.08656041
-0.9541165,0.1832674,0.3920822,-0.9541165,1.351062,0.3920822,0.9455101,0.315949,-0.03727045,0.06926606,0.08656041
-0.9541223,0.1833768,0.3921247,-0.9541223,1.351171,0.3921247,0.9454669,0.3160987,-0.03737386,0.06911703,0.08656041
-0.954209,0.1833661,0.3920383,-0.954209,1.35116,0.3920383,0.9454095,0.3162766,-0.03751255,0.06901249,0.08656041
-0.9541858,0.1832926,0.3920418,-0.9541858,1.351087,0.3920418,0.9454136,0.3162844,-0.03765765,0.0688417,0.08656041
-0.9542371,0.1833143,0.3920395,-0.9542371,1.351109,0.3920395,0.9454024,0.3163155,-0.03753836,0.06891721,0.08656041
