posX,posY,posZ,RotX,RotY,RotZ,RotW,vPosX,vPosY,vPosZ,initH
-0.953848,0.1778743,0.5526378,-0.953848,6.329175,0.5526378,0.1076095,0.1208536,-0.3838191,0.9091191,0.1037006
-0.9542488,0.1776862,0.5531979,-0.9542488,6.328987,0.5531979,0.1085021,0.1217113,-0.3830674,0.9092156,0.1037006
-0.9544625,0.1774943,0.5534692,-0.9544625,6.328795,0.5534692,0.1108593,0.1208712,-0.3824707,0.9092945,0.1037006
-0.9547035,0.1772316,0.5537378,-0.9547035,6.328532,0.5537378,0.1116778,0.1221183,-0.3821615,0.9091578,0.1037006
-0.9546363,0.1772223,0.5540546,-0.9546363,6.328523,0.5540546,0.1120549,0.124009,-0.3820619,0.9088973,0.1037006
-0.9545414,0.1771207,0.5541904,-0.9545414,6.328422,0.5541904,0.1123662,0.1249985,-0.3820303,0.9087365,0.1037006
-0.9543364,0.1771965,0.5542024,-0.9543364,6.328497,0.5542024,0.1126038,0.1244797,-0.3823431,0.9086468,0.1037006
-0.9542123,0.1771898,0.5544039,-0.9542123,6.328491,0.5544039,0.1133387,0.1250381,-0.382506,0.9084102,0.1037006
-0.9541785,0.1772034,0.5545151,-0.9541785,6.328505,0.5545151,0.1136157,0.12488,-0.3827408,0.9082984,0.1037006
-0.9539678,0.1772535,0.5545701,-0.9539678,6.328554,0.5545701,0.1139554,0.1243218,-0.3829402,0.9082484,0.1037006
-0.9535122,0.1773028,0.5546455,-0.9535122,6.328604,0.5546455,0.1139645,0.124933,-0.3835691,0.9078979,0.1037006
-0.9528948,0.1771238,0.554721,-0.9528948,6.328424,0.554721,0.1142073,0.1262938,-0.3843882,0.9073325,0.1037006
-0.9525939,0.1772573,0.5546213,-0.9525939,6.328558,0.5546213,0.1141998,0.1268743,-0.3853347,0.9068509,0.1037006
-0.952302,0.1773038,0.554641,-0.952302,6.328605,0.554641,0.1143896,0.1264977,-0.3861642,0.9065267,0.1037006
-0.9519811,0.1773629,0.5545882,-0.9519811,6.328664,0.5545882,0.1146511,0.1261573,-0.3869777,0.9061941,0.1037006
-0.9517244,0.1773438,0.5543085,-0.9517244,6.328645,0.5543085,0.1147457,0.1250964,-0.3880817,0.905857,0.1037006
-0.9511365,0.177273,0.5542066,-0.9511365,6.328574,0.5542066,0.1149475,0.1239711,-0.3885309,0.9057936,0.1037006
-0.9504932,0.1772268,0.5540971,-0.9504932,6.328527,0.5540971,0.1152791,0.124927,-0.3893053,0.9052874,0.1037006
