posX,posY,posZ,RotX,RotY,RotZ,RotW,vPosX,vPosY,vPosZ,initH
-0.8770312,0.1851652,0.293335,-0.8770312,17.82719,0.293335,0.9379629,0.3393594,-0.02612191,0.06617022,0.1129703
-0.8768054,0.1849523,0.2932497,-0.8768054,17.82698,0.2932497,0.9379375,0.3393881,-0.02575742,0.06652518,0.1129703
-0.8769137,0.1848516,0.2932451,-0.8769137,17.82688,0.2932451,0.9379483,0.3393216,-0.02561209,0.06676767,0.1129703
-0.8769137,0.1848516,0.2932451,-0.8769137,17.82688,0.2932451,0.9379483,0.3393216,-0.02561209,0.06676767,0.1129703
-0.8770874,0.1847744,0.2930754,-0.8770874,17.8268,0.2930754,0.9378598,0.3394886,-0.02615412,0.06695098,0.1129703
-0.8770466,0.1848776,0.2928928,-0.8770466,17.82691,0.2928928,0.9378133,0.3395472,-0.0260047,0.0673618,0.1129703
-0.877032,0.1848967,0.2930436,-0.877032,17.82693,0.2930436,0.93778,0.3396457,-0.02589675,0.06737243,0.1129703
-0.8771225,0.1850064,0.2930697,-0.8771225,17.82704,0.2930697,0.9377694,0.3396465,-0.02582068,0.06754339,0.1129703
-0.8769988,0.1850967,0.2931317,-0.8769988,17.82713,0.2931317,0.9377593,0.3396666,-0.02604278,0.06749693,0.1129703
-0.8770927,0.1850979,0.2930424,-0.8770927,17.82713,0.2930424,0.9376712,0.3398808,-0.02619568,0.06758342,0.1129703
-0.8771642,0.1850989,0.2930224,-0.8771642,17.82713,0.2930224,0.9376314,0.339974,-0.02650135,0.06754847,0.1129703
-0.8772353,0.1850743,0.2930706,-0.8772353,17.8271,0.2930706,0.9375502,0.340166,-0.02666335,0.0676448,0.1129703
-0.8772775,0.1850688,0.2930715,-0.8772775,17.8271,0.2930715,0.9374975,0.3403041,-0.02659004,0.06770954,0.1129703
-0.8774427,0.1852336,0.2931685,-0.8774427,17.82726,0.2931685,0.9373738,0.340653,-0.02643576,0.06772791,0.1129703
-0.8774565,0.1853292,0.2932302,-0.8774565,17.82736,0.2932302,0.9373086,0.3408476,-0.02671026,0.06754295,0.1129703
-0.8775694,0.1853006,0.2932129,-0.8775694,17.82733,0.2932129,0.9372168,0.3411048,-0.02699769,0.06740427,0.1129703
-0.8776584,0.185173,0.2932551,-0.8776584,17.8272,0.2932551,0.9370707,0.3414732,-0.0272993,0.06744901,0.1129703
-0.8777297,0.1851997,0.2932551,-0.8777297,17.82723,0.2932551,0.9369795,0.3417296,-0.02746501,0.06734964,0.1129703
-0.8778733,0.1851707,0.2930243,-0.8778733,17.8272,0.2930243,0.9368688,0.3420184,-0.02762136,0.06736025,0.1129703
-0.8777589,0.1849461,0.2929981,-0.8777589,17.82697,0.2929981,0.9367588,0.3423322,-0.02744167,0.06736932,0.1129703
-0.8778408,0.1849804,0.2929969,-0.8778408,17.82701,0.2929969,0.9366803,0.3425558,-0.02755871,0.0672757,0.1129703
