posX,posY,posZ,RotX,RotY,RotZ,RotW,vPosX,vPosY,vPosZ,initH
-0.6548837,1.6413,0.4368813,-0.6548837,29.39628,0.4368813,-0.2501355,-0.6686784,0.2563491,-0.6516032,0
-0.6549911,1.64135,0.4364957,-0.6549911,29.39633,0.4364957,-0.2501997,-0.6685854,0.2564231,-0.6516448,0
-0.6550462,1.641335,0.4361668,-0.6550462,29.39632,0.4361668,-0.2500937,-0.668573,0.2563632,-0.6517218,0
-0.6549929,1.641228,0.4356829,-0.6549929,29.39621,0.4356829,-0.249907,-0.6686883,0.2562388,-0.651724,0
-0.6549929,1.641228,0.4356829,-0.6549929,29.39621,0.4356829,-0.249907,-0.6686883,0.2562388,-0.651724,0
-0.6551638,1.641341,0.4346647,-0.6551638,29.39633,0.4346647,-0.2496167,-0.6686916,0.2560968,-0.6518877,0
-0.65534,1.641292,0.4343398,-0.65534,29.39627,0.4343398,-0.2496436,-0.6685976,0.2560539,-0.6519907,0
-0.6554843,1.641274,0.4340389,-0.6554843,29.39626,0.4340389,-0.2495213,-0.6685959,0.2560523,-0.6520398,0
-0.6558112,1.641434,0.4338144,-0.6558112,29.39642,0.4338144,-0.2494233,-0.6684394,0.2562921,-0.6521436,0
-0.655947,1.641486,0.4334704,-0.655947,29.39647,0.4334704,-0.2495054,-0.6684389,0.2562982,-0.6521103,0
-0.6560208,1.641456,0.4330024,-0.6560208,29.39644,0.4330024,-0.2495562,-0.6683168,0.2563903,-0.6521797,0
-0.6562166,1.641488,0.432658,-0.6562166,29.39647,0.432658,-0.24921,-0.6681611,0.2564733,-0.6524389,0
-0.6562166,1.641488,0.432658,-0.6562166,29.39647,0.432658,-0.24921,-0.6681611,0.2564733,-0.6524389,0
-0.6563417,1.641461,0.4323202,-0.6563417,29.39644,0.4323202,-0.2492615,-0.6681525,0.2564586,-0.6524339,0
-0.6564801,1.641479,0.432048,-0.6564801,29.39646,0.432048,-0.249179,-0.6681346,0.2565445,-0.65245,0
-0.656594,1.641469,0.431668,-0.656594,29.39645,0.431668,-0.2489239,-0.6680663,0.2567164,-0.6525497,0
-0.6566879,1.641436,0.4312782,-0.6566879,29.39642,0.4312782,-0.2487941,-0.6681145,0.256821,-0.6525086,0
-0.656708,1.641378,0.4306973,-0.656708,29.39636,0.4306973,-0.2487374,-0.6681163,0.2569236,-0.6524881,0
-0.656708,1.641378,0.4306973,-0.656708,29.39636,0.4306973,-0.2487374,-0.6681163,0.2569236,-0.6524881,0
-0.657177,1.641168,0.429481,-0.657177,29.39615,0.429481,-0.2487546,-0.6679187,0.2571736,-0.6525853,0
-0.6572211,1.641073,0.428991,-0.6572211,29.39606,0.428991,-0.2487709,-0.6678205,0.257444,-0.652573,0
-0.6572695,1.641184,0.4284652,-0.6572695,29.39617,0.4284652,-0.2487064,-0.6677603,0.2579031,-0.6524779,0
-0.6573846,1.641206,0.4280653,-0.6573846,29.39619,0.4280653,-0.2484515,-0.6678553,0.258291,-0.6523243,0
-0.6575255,1.641201,0.4274918,-0.6575255,29.39618,0.4274918,-0.2483505,-0.667752,0.2585306,-0.6523736,0
-0.6575836,1.641235,0.4269367,-0.6575836,29.39622,0.4269367,-0.2481603,-0.6676551,0.2586781,-0.6524867,0
-0.6575415,1.641223,0.4261782,-0.6575415,29.39621,0.4261782,-0.2478776,-0.6676773,0.2586663,-0.6525761,0
-0.6575415,1.641223,0.4261782,-0.6575415,29.39621,0.4261782,-0.2478776,-0.6676773,0.2586663,-0.6525761,0
-0.6575489,1.64133,0.4255917,-0.6575489,29.39631,0.4255917,-0.2479052,-0.6676283,0.2587307,-0.6525902,0
-0.6575705,1.641325,0.4249513,-0.6575705,29.39631,0.4249513,-0.2476606,-0.6676354,0.2587962,-0.6526498,0
-0.6576582,1.641404,0.4236262,-0.6576582,29.39639,0.4236262,-0.2476481,-0.6676002,0.2589951,-0.6526117,0
-0.6576617,1.641363,0.4229228,-0.6576617,29.39635,0.4229228,-0.2477469,-0.667378,0.2590365,-0.6527849,0
-0.6576183,1.641318,0.4221891,-0.6576183,29.3963,0.4221891,-0.2478423,-0.6670982,0.2590566,-0.6530268,0
-0.6576183,1.641318,0.4221891,-0.6576183,29.3963,0.4221891,-0.2478423,-0.6670982,0.2590566,-0.6530268,0
-0.6576183,1.641318,0.4221891,-0.6576183,29.3963,0.4221891,-0.2478423,-0.6670982,0.2590566,-0.6530268,0
-0.6575974,1.641027,0.4207226,-0.6575974,29.39601,0.4207226,-0.2479149,-0.6666924,0.2588444,-0.6534976,0
-0.6576111,1.640908,0.4198948,-0.6576111,29.39589,0.4198948,-0.2481991,-0.6661103,0.2588811,-0.6539686,0
-0.6575787,1.640732,0.4191825,-0.6575787,29.39572,0.4191825,-0.2486553,-0.6655551,0.2589102,-0.6543489,0
-0.6574928,1.640545,0.418366,-0.6574928,29.39553,0.418366,-0.2492772,-0.6649619,0.2590708,-0.6546517,0
-0.6573794,1.640355,0.4172479,-0.6573794,29.39534,0.4172479,-0.250072,-0.6640819,0.2593115,-0.6551465,0
-0.657277,1.639929,0.4152253,-0.657277,29.39491,0.4152253,-0.2514733,-0.6620542,0.2596253,-0.6565365,0
-0.657277,1.639929,0.4152253,-0.657277,29.39491,0.4152253,-0.2514733,-0.6620542,0.2596253,-0.6565365,0
-0.6570997,1.639643,0.4141787,-0.6570997,29.39463,0.4141787,-0.2521246,-0.6609396,0.259848,-0.6573211,0
-0.6570592,1.639395,0.4132013,-0.6570592,29.39438,0.4132013,-0.2524427,-0.6596271,0.2599449,-0.6584781,0
-0.6566577,1.638742,0.4113992,-0.6566577,29.39373,0.4113992,-0.2527183,-0.6565711,0.2607551,-0.6611011,0
-0.6564841,1.638382,0.4103343,-0.6564841,29.39337,0.4103343,-0.2529147,-0.6547812,0.2614627,-0.6625202,0
-0.6562819,1.637939,0.4092786,-0.6562819,29.39292,0.4092786,-0.253152,-0.6531458,0.2619627,-0.6638451,0
-0.6560943,1.637412,0.4079849,-0.6560943,29.3924,0.4079849,-0.253241,-0.6514012,0.2629755,-0.6651237,0
-0.6559156,1.636907,0.4067214,-0.6559156,29.39189,0.4067214,-0.2534809,-0.6497037,0.2641527,-0.6662251,0
-0.6558927,1.636498,0.4054347,-0.6558927,29.39148,0.4054347,-0.2540484,-0.6479398,0.2650868,-0.6673549,0
-0.6557888,1.636082,0.4040827,-0.6557888,29.39107,0.4040827,-0.2548846,-0.6461983,0.2658461,-0.6684216,0
-0.6557888,1.636082,0.4040827,-0.6557888,29.39107,0.4040827,-0.2548846,-0.6461983,0.2658461,-0.6684216,0
-0.6557888,1.636082,0.4040827,-0.6557888,29.39107,0.4040827,-0.2548846,-0.6461983,0.2658461,-0.6684216,0
-0.6554729,1.635351,0.4013551,-0.6554729,29.39034,0.4013551,-0.2557936,-0.6430045,0.2669645,-0.6707048,0
