posX,posY,posZ,RotX,RotY,RotZ,RotW,vPosX,vPosY,vPosZ,initH
-0.8691562,0.1894403,0.3465848,-0.8691562,15.08255,0.3465848,0.9113256,0.393331,-0.1033742,0.06395517,0.1118859
-0.8691537,0.1895227,0.3466334,-0.8691537,15.08263,0.3466334,0.9113675,0.3932288,-0.1033202,0.06407297,0.1118859
-0.8691081,0.1895924,0.3466166,-0.8691081,15.0827,0.3466166,0.9113983,0.3931947,-0.1031989,0.06403958,0.1118859
-0.8691179,0.1896141,0.3466693,-0.8691179,15.08272,0.3466693,0.9113044,0.3934146,-0.10321,0.06400723,0.1118859
-0.869082,0.1895194,0.3466188,-0.869082,15.08263,0.3466188,0.9112634,0.3935308,-0.1031329,0.06400106,0.1118859
-0.869082,0.1895194,0.3466188,-0.869082,15.08263,0.3466188,0.9112634,0.3935308,-0.1031329,0.06400106,0.1118859
-0.8691887,0.1895714,0.3466136,-0.8691887,15.08268,0.3466136,0.9112078,0.3936641,-0.1030148,0.06416325,0.1118859
-0.8691887,0.1895714,0.3466136,-0.8691887,15.08268,0.3466136,0.9112078,0.3936641,-0.1030148,0.06416325,0.1118859
-0.8692611,0.1896691,0.3466259,-0.8692611,15.08278,0.3466259,0.9111475,0.3937851,-0.103079,0.0641744,0.1118859
-0.8692411,0.1897068,0.346657,-0.8692411,15.08282,0.346657,0.9111717,0.3937177,-0.1031257,0.06416894,0.1118859
-0.8692555,0.1897242,0.346657,-0.8692555,15.08283,0.346657,0.9111568,0.393768,-0.1030635,0.06417161,0.1118859
-0.8693218,0.1898053,0.346662,-0.8693218,15.08291,0.346662,0.9110744,0.3939252,-0.1032634,0.06405611,0.1118859
-0.8693523,0.1897161,0.3466083,-0.8693523,15.08282,0.3466083,0.9110373,0.3940064,-0.1032968,0.06403039,0.1118859
-0.869355,0.1897869,0.346602,-0.869355,15.0829,0.346602,0.9110544,0.393958,-0.1032746,0.06411946,0.1118859
-0.8693492,0.1898205,0.3465955,-0.8693492,15.08293,0.3465955,0.9110906,0.3939225,-0.1030681,0.06415582,0.1118859
-0.8693444,0.1898329,0.3465445,-0.8693444,15.08294,0.3465445,0.9111074,0.3938948,-0.1030156,0.06417242,0.1118859
-0.869381,0.1898167,0.3464941,-0.869381,15.08292,0.3464941,0.9110621,0.3939655,-0.1031865,0.06410644,0.1118859
-0.869381,0.1898167,0.3464941,-0.869381,15.08292,0.3464941,0.9110621,0.3939655,-0.1031865,0.06410644,0.1118859
-0.8697003,0.189513,0.3467782,-0.8697003,15.08262,0.3467782,0.9109743,0.3941662,-0.1032225,0.06406342,0.1118859
-0.8697003,0.189513,0.3467782,-0.8697003,15.08262,0.3467782,0.9109743,0.3941662,-0.1032225,0.06406342,0.1118859
-0.8698579,0.1894679,0.3468926,-0.8698579,15.08258,0.3468926,0.9107918,0.3945853,-0.10326,0.06401642,0.1118859
-0.8698485,0.1894503,0.3469075,-0.8698485,15.08256,0.3469075,0.9107118,0.3947777,-0.1031979,0.06406831,0.1118859
-0.8697369,0.1896384,0.3466424,-0.8697369,15.08275,0.3466424,0.910742,0.394699,-0.1031071,0.06427011,0.1118859
-0.8696959,0.1895571,0.3465962,-0.8696959,15.08267,0.3465962,0.9107687,0.3946315,-0.1032361,0.06409784,0.1118859
-0.8695176,0.1895566,0.3466794,-0.8695176,15.08266,0.3466794,0.910762,0.3946532,-0.1031445,0.06420887,0.1118859
-0.8692964,0.1894073,0.3465533,-0.8692964,15.08252,0.3465533,0.9108714,0.3944348,-0.1029832,0.06425723,0.1118859
-0.8692501,0.1893628,0.3466514,-0.8692501,15.08247,0.3466514,0.9109222,0.3943512,-0.1028651,0.06423984,0.1118859
-0.8692116,0.1893756,0.3467493,-0.8692116,15.08248,0.3467493,0.9109864,0.3941932,-0.1030105,0.06406575,0.1118859
-0.8692462,0.1894481,0.3467691,-0.8692462,15.08256,0.3467691,0.9109913,0.3941922,-0.102999,0.06402026,0.1118859
-0.8692462,0.1894481,0.3467691,-0.8692462,15.08256,0.3467691,0.9109913,0.3941922,-0.102999,0.06402026,0.1118859
-0.8693734,0.1894436,0.346718,-0.8693734,15.08255,0.346718,0.9109408,0.3943291,-0.1030205,0.06386121,0.1118859
-0.8691897,0.1893828,0.3467981,-0.8691897,15.08249,0.3467981,0.9110825,0.3941718,-0.1027305,0.06327518,0.1118859
-0.8692234,0.1894531,0.3466555,-0.8692234,15.08256,0.3466555,0.9111489,0.3940322,-0.1026565,0.06330862,0.1118859
-0.869192,0.1894438,0.3465889,-0.869192,15.08255,0.3465889,0.911175,0.3939468,-0.1028163,0.06320508,0.1118859
-0.8691595,0.189522,0.3466004,-0.8691595,15.08263,0.3466004,0.9112189,0.3938816,-0.1025962,0.06333508,0.1118859
-0.8691595,0.189522,0.3466004,-0.8691595,15.08263,0.3466004,0.9112189,0.3938816,-0.1025962,0.06333508,0.1118859
-0.8690705,0.1895287,0.3466221,-0.8690705,15.08264,0.3466221,0.9113139,0.393699,-0.1025316,0.06320874,0.1118859
-0.8689942,0.1895707,0.3466069,-0.8689942,15.08268,0.3466069,0.9114529,0.3935015,-0.1022319,0.06291881,0.1118859
-0.8689822,0.1899199,0.3467702,-0.8689822,15.08303,0.3467702,0.9116183,0.3932977,-0.101746,0.06258494,0.1118859
-0.8689899,0.1899199,0.346755,-0.8689899,15.08303,0.346755,0.9116263,0.3932243,-0.1017186,0.06297278,0.1118859
-0.8690375,0.1898825,0.3466185,-0.8690375,15.08299,0.3466185,0.9116213,0.3931791,-0.1020037,0.06286573,0.1118859
-0.8691014,0.1899137,0.3465804,-0.8691014,15.08302,0.3465804,0.9115281,0.3933733,-0.1019207,0.06313585,0.1118859
-0.8692353,0.1897509,0.346694,-0.8692353,15.08286,0.346694,0.9114445,0.3935727,-0.1017954,0.06330273,0.1118859
-0.8693286,0.1897171,0.3466954,-0.8693286,15.08283,0.3466954,0.9112745,0.3939535,-0.1015169,0.06382643,0.1118859
-0.8692834,0.1894653,0.3464965,-0.8692834,15.08257,0.3464965,0.9110074,0.3944703,-0.101502,0.06446781,0.1118859
-0.8693399,0.1894193,0.346447,-0.8693399,15.08253,0.346447,0.9109017,0.3947036,-0.101402,0.06468967,0.1118859
-0.8693399,0.1894193,0.346447,-0.8693399,15.08253,0.346447,0.9109017,0.3947036,-0.101402,0.06468967,0.1118859
-0.8692459,0.1893387,0.3464017,-0.8692459,15.08245,0.3464017,0.9108119,0.3948525,-0.1014666,0.06494404,0.1118859
-0.8691462,0.1893852,0.3462014,-0.8691462,15.08249,0.3462014,0.9107648,0.3948905,-0.1014046,0.06546737,0.1118859
