posX,posY,posZ,RotX,RotY,RotZ,RotW,vPosX,vPosY,vPosZ,initH
-0.6979574,1.510891,0.4583139,-0.6979574,4.094071,0.4583139,-0.3245947,-0.6195384,0.3013541,-0.6480711,0.06
-0.697394,1.509885,0.456035,-0.697394,4.093065,0.456035,-0.3251392,-0.6179492,0.3008563,-0.6495451,0.06
-0.6966628,1.508792,0.4538132,-0.6966628,4.091973,0.4538132,-0.3258084,-0.6157476,0.2998419,-0.6517657,0.06
-0.6960382,1.5079,0.4517878,-0.6960382,4.091081,0.4517878,-0.32635,-0.6141133,0.2989605,-0.6534395,0.06
-0.6960382,1.5079,0.4517878,-0.6960382,4.091081,0.4517878,-0.32635,-0.6141133,0.2989605,-0.6534395,0.06
-0.6948707,1.506844,0.449513,-0.6948707,4.090024,0.449513,-0.32806,-0.6116477,0.2974948,-0.6555613,0.06
-0.6948707,1.506844,0.449513,-0.6948707,4.090024,0.449513,-0.32806,-0.6116477,0.2974948,-0.6555613,0.06
-0.6948707,1.506844,0.449513,-0.6948707,4.090024,0.449513,-0.32806,-0.6116477,0.2974948,-0.6555613,0.06
-0.6911032,1.504243,0.4435184,-0.6911032,4.087424,0.4435184,-0.3351031,-0.6052537,0.2981911,-0.6576139,0.06
-0.6904886,1.503844,0.4425145,-0.6904886,4.087025,0.4425145,-0.3368628,-0.6034437,0.2993034,-0.6578728,0.06
-0.6898007,1.5034,0.4414967,-0.6898007,4.086136,0.4414967,-0.3387896,-0.6014822,0.3003412,-0.6582066,0.06
-0.6890671,1.503125,0.4406555,-0.6890671,4.085587,0.4406555,-0.3408412,-0.5995075,0.3014732,-0.6584315,0.06
-0.6884872,1.503119,0.4399366,-0.6884872,4.085575,0.4399366,-0.3431807,-0.5975485,0.3025955,-0.6584821,0.06
-0.6877024,1.503262,0.4393066,-0.6877024,4.08586,0.4393066,-0.3458173,-0.5955609,0.3041272,-0.6581978,0.06
-0.6872383,1.503344,0.4391536,-0.6872383,4.086025,0.4391536,-0.3476016,-0.5943221,0.3048017,-0.6580656,0.06
-0.6868238,1.503567,0.4389243,-0.6868238,4.08647,0.4389243,-0.3495901,-0.5928575,0.305526,-0.6579975,0.06
-0.6864389,1.503619,0.4387312,-0.6864389,4.086576,0.4387312,-0.3514331,-0.59108,0.3055966,-0.6585818,0.06
