posX,posY,posZ,RotX,RotY,RotZ,RotW,vPosX,vPosY,vPosZ,initH
0.04122066,0.1930604,-0.5695238,0.04122066,0.08623417,-0.5695238,0.368423,-0.5394243,-0.2042388,0.7290902,0.1068262
0.04143667,0.193177,-0.5694928,0.04143667,0.08635075,-0.5694928,0.3683695,-0.5391608,-0.2042443,0.7293105,0.1068262
0.04146361,0.1931362,-0.5695233,0.04146361,0.08630998,-0.5695233,0.3683261,-0.538867,-0.2042138,0.7295581,0.1068262
0.04144979,0.1930938,-0.5695581,0.04144979,0.08626755,-0.5695581,0.3683036,-0.5387085,-0.2042895,0.7296653,0.1068262
0.04089355,0.1933827,-0.5687344,0.04089355,0.08655651,-0.5687344,0.3683291,-0.538237,-0.2042937,0.7299991,0.1068262
0.04090285,0.1933391,-0.5687017,0.04090285,0.08651288,-0.5687017,0.3683085,-0.5377904,-0.2042398,0.7303537,0.1068262
0.04089427,0.1933186,-0.5686893,0.04089427,0.08649237,-0.5686893,0.3682117,-0.5370901,-0.204236,0.7309186,0.1068262
0.04094648,0.1934121,-0.5687842,0.04094648,0.08658583,-0.5687842,0.3679533,-0.5369229,-0.204404,0.7311246,0.1068262
0.04095244,0.1933849,-0.5688202,0.04095244,0.08655865,-0.5688202,0.367925,-0.536839,-0.2043456,0.7312167,0.1068262
0.0409348,0.1933489,-0.5688765,0.0409348,0.08652265,-0.5688765,0.3680328,-0.536815,-0.2040345,0.731267,0.1068262
0.04102349,0.1933012,-0.5690494,0.04102349,0.08647497,-0.5690494,0.3681085,-0.5367491,-0.2036763,0.7313771,0.1068262
0.04099298,0.1932688,-0.5690885,0.04099298,0.08644255,-0.5690885,0.3680703,-0.5367504,-0.2034679,0.7314535,0.1068262
0.04098773,0.1932535,-0.5691025,0.04098773,0.08642729,-0.5691025,0.3680782,-0.5365728,-0.2032622,0.7316369,0.1068262
0.04088855,0.1934204,-0.568938,0.04088855,0.08659418,-0.568938,0.3679351,-0.5363684,-0.2031258,0.7318966,0.1068262
0.04088235,0.1934121,-0.5689974,0.04088235,0.08658583,-0.5689974,0.3678971,-0.5365461,-0.2030976,0.7317933,0.1068262
0.04090309,0.1934011,-0.5690463,0.04090309,0.08657487,-0.5690463,0.3679917,-0.5367669,-0.202858,0.7316502,0.1068262
0.04073811,0.1934195,-0.5687563,0.04073811,0.08659323,-0.5687563,0.3680843,-0.5367664,-0.2026548,0.7316603,0.1068262
0.04073167,0.1933639,-0.5687654,0.04073167,0.08653767,-0.5687654,0.3679714,-0.5365067,-0.2024296,0.7319699,0.1068262
0.04073405,0.1933267,-0.5687766,0.04073405,0.08650048,-0.5687766,0.3679296,-0.5364048,-0.2022485,0.7321156,0.1068262
0.04038334,0.1934345,-0.5685527,0.04038334,0.08660825,-0.5685527,0.3678022,-0.5363295,-0.2020207,0.7322977,0.1068262
0.04037166,0.1934204,-0.5685635,0.04037166,0.08659418,-0.5685635,0.3677533,-0.5360417,-0.2019597,0.7325498,0.1068262
0.04030704,0.193404,-0.568584,0.04030704,0.08657773,-0.568584,0.3676519,-0.5360911,-0.2018656,0.7325904,0.1068262
0.04068708,0.1931393,-0.5689812,0.04068708,0.08631308,-0.5689812,0.3676653,-0.5361428,-0.2017068,0.7325897,0.1068262
0.04064798,0.1930859,-0.568994,0.04064798,0.08625968,-0.568994,0.3676745,-0.5361938,-0.2014334,0.7326228,0.1068262
