posX,posY,posZ,RotX,RotY,RotZ,RotW,vPosX,vPosY,vPosZ,initH
0.3615704,0.186296,-0.6337662,0.3615704,0.07865699,-0.6337662,0.800643,0.2331948,0.4708098,0.2879743,0.107639
0.3617153,0.1862631,-0.6337411,0.3617153,0.07862408,-0.6337411,0.8007461,0.2337142,0.4704938,0.2877827,0.107639
0.3617835,0.1862335,-0.6338179,0.3617835,0.07859452,-0.6338179,0.8008174,0.2339908,0.470111,0.2879852,0.107639
0.3619177,0.1862555,-0.6338737,0.3619177,0.07861646,-0.6338737,0.8010852,0.2340283,0.4697288,0.2878334,0.107639
0.3620791,0.1862326,-0.6342025,0.3620791,0.07859357,-0.6342025,0.8005198,0.2343946,0.4702393,0.2882749,0.107639
0.3621004,0.1863468,-0.6342492,0.3621004,0.07870777,-0.6342492,0.8007193,0.234807,0.4697096,0.2882484,0.107639
0.3620327,0.1863301,-0.6345248,0.3620327,0.07869108,-0.6345248,0.800824,0.2346575,0.4694702,0.2884692,0.107639
0.3620899,0.1863327,-0.6346283,0.3620899,0.0786937,-0.6346283,0.8007348,0.2350315,0.4693407,0.2886233,0.107639
0.3622408,0.1862469,-0.6347792,0.3622408,0.07860787,-0.6347792,0.8005554,0.2349597,0.4695509,0.2888373,0.107639
0.3623052,0.1862421,-0.6348062,0.3623052,0.0786031,-0.6348062,0.8004676,0.2351048,0.4694923,0.2890578,0.107639
0.3621781,0.1862688,-0.6347826,0.3621781,0.07862981,-0.6347826,0.8005926,0.2353403,0.4693452,0.2887586,0.107639
0.3621063,0.1862688,-0.634805,0.3621063,0.07862981,-0.634805,0.80051,0.2356586,0.4693021,0.288798,0.107639
0.3618319,0.1860023,-0.6347148,0.3618319,0.07836325,-0.6347148,0.8006753,0.2359768,0.4690759,0.2884472,0.107639
0.3617876,0.1859708,-0.6349201,0.3617876,0.07833178,-0.6349201,0.8007395,0.2366993,0.4688262,0.2880828,0.107639
0.3618767,0.1858816,-0.6351056,0.3618767,0.07824261,-0.6351056,0.8007079,0.2373055,0.4685971,0.2880447,0.107639
0.3620882,0.1860061,-0.6352701,0.3620882,0.07836707,-0.6352701,0.8009203,0.2376238,0.468078,0.2880359,0.107639
0.3621132,0.1859944,-0.6352124,0.3621132,0.07835539,-0.6352124,0.8009731,0.2376038,0.4678937,0.288205,0.107639
0.3619056,0.1861537,-0.6350939,0.3619056,0.07851465,-0.6350939,0.8006995,0.237508,0.4683464,0.2883086,0.107639
0.3616581,0.1858971,-0.6350498,0.3616581,0.07825811,-0.6350498,0.8005334,0.2375015,0.4685551,0.2884362,0.107639
0.361563,0.1858935,-0.6348293,0.361563,0.07825454,-0.6348293,0.8005307,0.2375679,0.4686904,0.2881691,0.107639
0.3616006,0.1858058,-0.634881,0.3616006,0.0781668,-0.634881,0.8004841,0.2377926,0.4688263,0.2878923,0.107639
0.3613014,0.1857176,-0.6349897,0.3613014,0.07807858,-0.6349897,0.8004236,0.2382098,0.4688658,0.2876509,0.107639
0.3613927,0.1858883,-0.6349943,0.3613927,0.07824929,-0.6349943,0.80046,0.2385443,0.468693,0.2875539,0.107639
0.3613665,0.1858499,-0.6350417,0.3613665,0.07821091,-0.6350417,0.800473,0.2387217,0.4687824,0.2872247,0.107639
0.3613982,0.1858714,-0.6351023,0.3613982,0.07823236,-0.6351023,0.8005438,0.2391422,0.4686156,0.2869494,0.107639
0.3613522,0.1858358,-0.6351936,0.3613522,0.07819684,-0.6351936,0.8005308,0.2393632,0.4685622,0.2868889,0.107639
0.3611085,0.1859548,-0.6351254,0.3611085,0.07831581,-0.6351254,0.8004071,0.2394006,0.4687294,0.2869294,0.107639
0.3612435,0.1860411,-0.6351182,0.3612435,0.07840212,-0.6351182,0.8003561,0.2395878,0.4689116,0.2866176,0.107639
0.3612657,0.1860332,-0.6349609,0.3612657,0.07839425,-0.6349609,0.8001692,0.239939,0.469234,0.2863182,0.107639
0.3614466,0.1858537,-0.6350875,0.3614466,0.07821472,-0.6350875,0.8001994,0.2400896,0.4690734,0.2863703,0.107639
0.3614542,0.1858518,-0.6351397,0.3614542,0.07821281,-0.6351397,0.8004016,0.2404884,0.4689157,0.2857285,0.107639
0.3615954,0.1859071,-0.6352062,0.3615954,0.07826813,-0.6352062,0.8002815,0.2411218,0.4689583,0.2854611,0.107639
0.3614283,0.1860683,-0.6352258,0.3614283,0.0784293,-0.6352258,0.8005486,0.241704,0.4685321,0.2849189,0.107639
0.3614244,0.1860976,-0.6353071,0.3614244,0.07845862,-0.6353071,0.8007052,0.2421445,0.4682344,0.2845941,0.107639
0.3614762,0.1861084,-0.6352224,0.3614762,0.07846935,-0.6352224,0.8007904,0.2424672,0.4680614,0.2843641,0.107639
0.3612225,0.1863163,-0.6351247,0.3612225,0.07867725,-0.6351247,0.800685,0.2428452,0.4683038,0.2839389,0.107639
0.3612261,0.1864312,-0.6352105,0.3612261,0.07879217,-0.6352105,0.8005576,0.2431697,0.4684429,0.2837911,0.107639
0.3611603,0.1864715,-0.635139,0.3611603,0.07883246,-0.635139,0.800534,0.243496,0.4686274,0.2832728,0.107639
0.3613768,0.1863468,-0.6353509,0.3613768,0.07870777,-0.6353509,0.8006688,0.2444649,0.4682524,0.2826767,0.107639
0.3612673,0.186336,-0.6355381,0.3612673,0.07869704,-0.6355381,0.8009227,0.2454575,0.4678207,0.2818108,0.107639
0.3611474,0.1864331,-0.6358047,0.3611474,0.07879408,-0.6358047,0.801561,0.2465221,0.4666782,0.2809597,0.107639
0.3610966,0.1864116,-0.6359258,0.3610966,0.07877262,-0.6359258,0.8020103,0.2472977,0.4660898,0.2799707,0.107639
0.3609588,0.1866224,-0.6359973,0.3609588,0.07898338,-0.6359973,0.8021083,0.248072,0.4661741,0.2788623,0.107639
0.3608489,0.1867099,-0.6358054,0.3608489,0.07907088,-0.6358054,0.8019457,0.2486424,0.4667309,0.2778893,0.107639
0.3606935,0.1868453,-0.6356237,0.3606935,0.0792063,-0.6356237,0.8015261,0.2492357,0.4680472,0.2763501,0.107639
0.3606052,0.1870699,-0.6353922,0.3606052,0.07943089,-0.6353922,0.8010259,0.2494536,0.4697722,0.274672,0.107639
0.3604937,0.1871927,-0.6350911,0.3604937,0.07955368,-0.6350911,0.8003019,0.2491153,0.4720364,0.2732035,0.107639
0.3603585,0.1873348,-0.6347926,0.3603585,0.07969578,-0.6347926,0.8000305,0.2488542,0.4737078,0.271337,0.107639
0.3602912,0.1876481,-0.6345778,0.3602912,0.08000906,-0.6345778,0.7998928,0.2488387,0.4750099,0.2694744,0.107639
0.3599842,0.187932,-0.6344399,0.3599842,0.08029301,-0.6344399,0.8003033,0.2494794,0.4757299,0.2663751,0.107639
0.359802,0.1881964,-0.6342268,0.359802,0.08055742,-0.6342268,0.8008137,0.249986,0.4765824,0.2628186,0.107639
0.3595743,0.1885881,-0.633944,0.3595743,0.08094914,-0.633944,0.8015779,0.2501657,0.4774131,0.2587793,0.107639
0.3593028,0.18892,-0.6336253,0.3593028,0.08128102,-0.6336253,0.8022184,0.2501617,0.4784441,0.2548648,0.107639
0.3589265,0.1893556,-0.6332328,0.3589265,0.08171661,-0.6332328,0.803256,0.2501734,0.479509,0.2495278,0.107639
0.3583133,0.1898186,-0.632755,0.3583133,0.08217962,-0.632755,0.8043391,0.2507635,0.481002,0.2424735,0.107639
0.3578961,0.1907303,-0.6323805,0.3578961,0.08309133,-0.6323805,0.8059317,0.2517106,0.482198,0.2336687,0.107639
0.35747,0.1917789,-0.6320918,0.35747,0.0841399,-0.6320918,0.8075401,0.2529343,0.4834171,0.2240783,0.107639
0.3573003,0.1935191,-0.6320944,0.3573003,0.08588012,-0.6320944,0.8094353,0.2555088,0.4852687,0.209867,0.107639
0.357096,0.1958513,-0.6318724,0.357096,0.08821233,-0.6318724,0.8122773,0.2583013,0.485928,0.1932874,0.107639
0.3565903,0.1992705,-0.6316948,0.3565903,0.09163149,-0.6316948,0.8175567,0.2588065,0.4839265,0.1744577,0.107639
0.3556497,0.2051008,-0.6298988,0.3556497,0.09746177,-0.6298988,0.8279839,0.2571368,0.4741089,0.1534408,0.107639
0.3546591,0.2118478,-0.6280386,0.3546591,0.1042088,-0.6280386,0.8382137,0.254339,0.4644236,0.1304612,0.107639
0.3513324,0.223345,-0.6259077,0.3513324,0.115706,-0.6259077,0.8439807,0.2281522,0.468735,0.1262162,0.107639
0.3461292,0.2355075,-0.6218703,0.3461292,0.2204432,-0.6218703,0.8363286,0.2340528,0.4815426,0.1178581,0.107639
0.3414724,0.2482038,-0.6164422,0.3414724,0.2519729,-0.6164422,0.8192273,0.2517961,0.5050682,0.1018399,0.107639
0.3390012,0.2592127,-0.6102223,0.3390012,0.2827665,-0.6102223,0.8185872,0.2505074,0.5125435,0.06678429,0.107639
0.3353987,0.2698328,-0.6043134,0.3353987,0.3102985,-0.6043134,0.8250174,0.2406283,0.5095702,0.04222018,0.107639
0.3310149,0.280328,-0.597955,0.3310149,0.3369164,-0.597955,0.8356419,0.226644,0.4985932,0.04171314,0.107639
0.327255,0.2892096,-0.5914636,0.327255,0.3601014,-0.5914636,0.8396537,0.2225567,0.4934745,0.04396633,0.107639
0.3226395,0.2991281,-0.5833609,0.3226395,0.3850255,-0.5833609,0.8420284,0.2216415,0.4904258,0.0366832,0.107639
0.3184621,0.3082104,-0.5757332,0.3184621,0.4056453,-0.5757332,0.8440922,0.2181301,0.4890731,0.02711528,0.107639
0.3134201,0.3169758,-0.5667529,0.3134201,0.4252403,-0.5667529,0.8480663,0.2144545,0.4841312,0.02024123,0.107639
0.3095164,0.32392,-0.55773,0.3095164,0.4405859,-0.55773,0.8520268,0.2120154,0.4783759,0.01601053,0.107639
0.3061554,0.3297102,-0.5484357,0.3061554,0.45296,-0.5484357,0.8548275,0.2092415,0.4745971,0.01566976,0.107639
0.3016665,0.3363776,-0.5387998,0.3016665,0.4647305,-0.5387998,0.8565308,0.2057465,0.4730206,0.01657933,0.107639
0.2991598,0.3400974,-0.5289457,0.2991598,0.4722925,-0.5289457,0.8570355,0.2019812,0.4733679,0.02483103,0.107639
0.2970264,0.3427393,-0.5188715,0.2970264,0.4777917,-0.5188715,0.8563628,0.1987156,0.4753882,0.03407402,0.107639
0.2946017,0.345583,-0.5091991,0.2946017,0.4826282,-0.5091991,0.8561925,0.1953271,0.4766191,0.04019794,0.107639
0.291429,0.3476331,-0.4982238,0.291429,0.486295,-0.4982238,0.8551674,0.1928042,0.4785972,0.04959962,0.107639
0.2894216,0.3476386,-0.4870532,0.2894216,0.4874446,-0.4870532,0.8541093,0.1901959,0.4804284,0.05925618,0.107639
0.2866905,0.3477829,-0.475935,0.2866905,0.4883773,-0.475935,0.8525025,0.1886809,0.4824714,0.0697162,0.107639
0.2856524,0.3456349,-0.4654739,0.2856524,0.4867482,-0.4654739,0.8503292,0.1870066,0.4851538,0.08120777,0.107639
0.2849741,0.3425372,-0.4550233,0.2849741,0.4840168,-0.4550233,0.8478309,0.1859875,0.4877523,0.09321577,0.107639
0.2830024,0.3406112,-0.4442565,0.2830024,0.4823563,-0.4442565,0.8451884,0.1847672,0.4905447,0.104324,0.107639
0.2829659,0.3356614,-0.4340611,0.2829659,0.4775838,-0.4340611,0.8418036,0.1851496,0.4932729,0.1173378,0.107639
0.2830091,0.3296797,-0.424073,0.2830091,0.4717262,-0.424073,0.8383138,0.1858752,0.4960288,0.12898,0.107639
0.2828274,0.3234816,-0.4138925,0.2828274,0.4656186,-0.4138925,0.8348466,0.1879105,0.4977829,0.1411842,0.107639
0.2831244,0.317173,-0.404196,0.2831244,0.4593718,-0.404196,0.8315854,0.1897316,0.4989008,0.1535112,0.107639
0.2836239,0.3086047,-0.3940089,0.2836239,0.4508502,-0.3940089,0.8278341,0.1917351,0.4999838,0.1671659,0.107639
0.2840431,0.3003662,-0.3848219,0.2840431,0.4426422,-0.3848219,0.8246006,0.1950611,0.4999856,0.1788835,0.107639
0.2847741,0.2917264,-0.3761182,0.2847741,0.4340237,-0.3761182,0.8218876,0.2000318,0.4984526,0.1898238,0.107639
0.2854903,0.2827382,-0.3677914,0.2854903,0.425051,-0.3677914,0.8192641,0.2070442,0.4958993,0.2000574,0.107639
0.2864487,0.2741363,-0.3597326,0.2864487,0.4164605,-0.3597326,0.8162007,0.2143421,0.4933591,0.2108807,0.107639
0.285809,0.2632928,-0.351912,0.285809,0.4056254,-0.351912,0.8126928,0.2224949,0.49077,0.2217458,0.107639
0.2870598,0.2548368,-0.3453691,0.2870598,0.397175,-0.3453691,0.8102148,0.2290312,0.4868277,0.2325846,0.107639
0.2888541,0.2462494,-0.3396552,0.2888541,0.3885916,-0.3396552,0.8085227,0.2362949,0.4810866,0.2429228,0.107639
0.289989,0.2383101,-0.3330727,0.289989,0.3806559,-0.3330727,0.8065252,0.2427443,0.4764661,0.2521358,0.107639
0.2912014,0.2304513,-0.3266261,0.2912014,0.3728001,-0.3266261,0.8050399,0.2470743,0.4726367,0.2597682,0.107639
0.2936432,0.2232459,-0.3217392,0.2936432,0.3655965,-0.3217392,0.804443,0.2479794,0.4691794,0.2669241,0.107639
0.2942126,0.2164404,-0.3161983,0.2942126,0.3587928,-0.3161983,0.8025458,0.2485663,0.4674298,0.2750351,0.107639
0.2947049,0.212141,-0.3130472,0.2947049,0.3544943,-0.3130472,0.798144,0.246451,0.4720794,0.2817251,0.107639
0.2962277,0.2070737,-0.3112345,0.2962277,0.3494269,-0.3112345,0.7934925,0.2482047,0.4763521,0.2860993,0.107639
0.2968104,0.2025223,-0.3087287,0.2968104,0.3448755,-0.3087287,0.7907702,0.2522637,0.4777987,0.2876699,0.107639
0.2970104,0.1990688,-0.3086159,0.2970104,0.341422,-0.3086159,0.791651,0.2572683,0.4770454,0.2820095,0.107639
0.2985568,0.1943057,-0.3098302,0.2985568,0.3366589,-0.3098302,0.7951326,0.2621393,0.4703116,0.2790236,0.107639
0.2988398,0.1897404,-0.3094642,0.2988398,0.3320937,-0.3094642,0.7970935,0.266417,0.4640639,0.2798369,0.107639
0.2995946,0.1852143,-0.3095756,0.2995946,0.3275675,-0.3095756,0.7965061,0.2693205,0.4604592,0.2846434,0.107639
0.2989426,0.1832507,-0.308888,0.2989426,0.3256039,-0.308888,0.7874337,0.2516834,0.4668018,0.3141652,0.107639
0.2956331,0.1860161,-0.3007755,0.2956331,0.3283693,-0.3007755,0.7928002,0.2130919,0.4578241,0.3412575,0.107639
0.2947693,0.1930902,-0.2929857,0.2947693,0.3354434,-0.2929857,0.8133867,0.2024323,0.4575215,0.2968118,0.107639
0.2996514,0.1976497,-0.2934289,0.2996514,0.340003,-0.2934289,0.8267685,0.2056105,0.4758215,0.2185683,0.107639
0.3010473,0.2005217,-0.2981861,0.3010473,0.3428749,-0.2981861,0.8069289,0.2537055,0.5011883,0.1825091,0.107639
0.3028424,0.2006295,-0.3031979,0.3028424,0.3429827,-0.3031979,0.7880567,0.2602829,0.5022087,0.242911,0.107639
0.3018873,0.1970713,-0.3010712,0.3018873,0.3394246,-0.3010712,0.8012415,0.2479491,0.485457,0.2467081,0.107639
0.3006728,0.1938081,-0.2975681,0.3006728,0.3361613,-0.2975681,0.8296902,0.2254525,0.4579674,0.2259453,0.107639
0.3003473,0.1903176,-0.2988446,0.3003473,0.3326709,-0.2988446,0.8308371,0.2110655,0.4449202,0.2592432,0.107639
0.3006682,0.1880803,-0.3002336,0.3006682,0.3304335,-0.3002336,0.8140337,0.2220386,0.4499166,0.2926141,0.107639
0.3023746,0.1888716,-0.3005943,0.3023746,0.3312249,-0.3005943,0.8145006,0.2234434,0.4503105,0.2896246,0.107639
0.3030305,0.1909633,-0.3002894,0.3030305,0.3333165,-0.3002894,0.8123322,0.2149709,0.4684664,0.2728429,0.107639
0.3023062,0.1920793,-0.3000023,0.3023062,0.3344325,-0.3000023,0.8056843,0.227342,0.4809528,0.2605243,0.107639
0.3026376,0.1918137,-0.3002272,0.3026376,0.3341669,-0.3002272,0.8044612,0.2310309,0.4817194,0.2596406,0.107639
0.3028226,0.1917686,-0.3006504,0.3028226,0.3341219,-0.3006504,0.8114978,0.2239064,0.4700001,0.2654,0.107639
0.3029075,0.1915987,-0.3005159,0.3029075,0.3339519,-0.3005159,0.8166535,0.219436,0.4611472,0.2688273,0.107639
0.303236,0.1918695,-0.3005517,0.303236,0.3342227,-0.3005517,0.8160164,0.2201379,0.4617469,0.2691587,0.107639
0.3032575,0.1919737,-0.3007672,0.3032575,0.3343269,-0.3007672,0.813126,0.2210036,0.4675174,0.2672282,0.107639
0.3033283,0.1918955,-0.3005931,0.3033283,0.3342487,-0.3005931,0.8115829,0.2185386,0.4699582,0.2696544,0.107639
0.3034866,0.1918409,-0.3007901,0.3034866,0.3341941,-0.3007901,0.8108135,0.2174467,0.4701092,0.2725725,0.107639
0.3032007,0.1919851,-0.3015177,0.3032007,0.3343384,-0.3015177,0.8120053,0.2193352,0.4676854,0.2716797,0.107639
0.3029559,0.1921284,-0.3018281,0.3029559,0.3344817,-0.3018281,0.8137787,0.2228171,0.4645793,0.2688547,0.107639
0.302923,0.1924012,-0.3021226,0.302923,0.3347544,-0.3021226,0.8150147,0.2245861,0.4627601,0.266768,0.107639
0.3028839,0.1924708,-0.3022618,0.3028839,0.334824,-0.3022618,0.8159164,0.2250016,0.4616718,0.2655445,0.107639
0.3030515,0.1923661,-0.3022585,0.3030515,0.3347194,-0.3022585,0.815675,0.2238905,0.4619012,0.2668232,0.107639
0.303453,0.1922853,-0.3021636,0.303453,0.3346385,-0.3021636,0.8148184,0.222486,0.4627983,0.2690514,0.107639
0.3035643,0.1921935,-0.302654,0.3035643,0.3345467,-0.302654,0.8145585,0.2216802,0.4629235,0.2702856,0.107639
0.3037601,0.1921754,-0.3029311,0.3037601,0.3345286,-0.3029311,0.8150048,0.2213221,0.4618507,0.2710677,0.107639
0.304136,0.1922474,-0.3033049,0.304136,0.3346006,-0.3033049,0.8170114,0.2212668,0.4587973,0.2702564,0.107639
0.3042946,0.1922266,-0.3037984,0.3042946,0.3345799,-0.3037984,0.8188714,0.2210507,0.4563636,0.2689209,0.107639
0.3042364,0.1924009,-0.3038125,0.3042364,0.3347542,-0.3038125,0.8201117,0.2201983,0.4549019,0.2683166,0.107639
