(-0.01225305, -0.1193414, -0.619475)
(-0.01230478, -0.1193626, -0.6193421)
(-0.01230574, -0.1193523, -0.6191311)
(-0.01242924, -0.1193926, -0.6189117)
(-0.01248336, -0.1194811, -0.6188254)
(-0.01265812, -0.1193416, -0.6182857)
(-0.01281309, -0.1193018, -0.6178539)
(-0.01277685, -0.1194296, -0.6174695)
(-0.01304126, -0.119307, -0.6171016)
(-0.01312089, -0.1192822, -0.6174263)
(-0.01338148, -0.1193886, -0.6173303)
(-0.01363993, -0.1196668, -0.617291)
(-0.01470208, -0.1193438, -0.6165365)
(-0.0148735, -0.1196113, -0.6165446)
(-0.01457477, -0.1200264, -0.616627)
(-0.01492524, -0.119879, -0.6163573)
(-0.01549959, -0.1201861, -0.616369)
(-0.01561952, -0.1207962, -0.6166691)
(-0.01587176, -0.1212807, -0.6169701)
(-0.01616478, -0.1216431, -0.6172409)
(-0.01647234, -0.1220291, -0.6175213)
(-0.01740789, -0.1219263, -0.6171173)
(-0.01774645, -0.1221805, -0.6174827)
(-0.01716828, -0.1225617, -0.6180482)
(-0.01740241, -0.1221955, -0.6176879)
(-0.01718903, -0.1219463, -0.6176156)
(-0.01742291, -0.1219141, -0.6178571)
(-0.01786995, -0.1213927, -0.6169336)
(-0.0178113, -0.1213028, -0.6170676)
(-0.01782942, -0.1209338, -0.617521)
(-0.0179038, -0.1204371, -0.6177363)
(-0.01784039, -0.1202168, -0.6180203)
(-0.01781774, -0.1201291, -0.6185528)
(-0.0178299, -0.1198237, -0.6185968)
(-0.01759577, -0.1194484, -0.6187307)
(-0.0171411, -0.1194639, -0.6191597)
(-0.01689243, -0.1193378, -0.6197519)
(-0.01695681, -0.1192644, -0.6199099)
(-0.01718998, -0.1192896, -0.6200554)
(-0.0178771, -0.1190386, -0.6200501)
(-0.0181458, -0.1189785, -0.6200571)
(-0.01825142, -0.1190565, -0.6201766)
(-0.01816368, -0.1189942, -0.620461)
(-0.01823521, -0.1188686, -0.6202484)
(-0.01785111, -0.1190705, -0.6202662)
(-0.01740551, -0.1192605, -0.6205184)
(-0.01735449, -0.1192338, -0.6200984)
(-0.01738882, -0.1193225, -0.6199132)
(-0.01701903, -0.1194937, -0.6203012)
(-0.01710701, -0.1193507, -0.6200442)
(-0.01687384, -0.1194861, -0.6200396)
(-0.01655197, -0.1195681, -0.6204832)
(-0.01653814, -0.1195009, -0.620275)
(-0.01630592, -0.1195638, -0.6203363)
(-0.01602697, -0.1195204, -0.6205807)
(-0.01597667, -0.1194022, -0.6205432)
(-0.01585245, -0.1196415, -0.6210279)
(-0.0164566, -0.1192846, -0.6201398)
(-0.0165174, -0.1192937, -0.6200527)
