posX,posY,posZ,RotX,RotY,RotZ,RotW,vPosX,vPosY,vPosZ,initH
0.3258457,0.1557102,-0.6571021,0.3258457,0.07806714,-0.6571021,0.7491195,0.1797134,0.5752676,0.2749369,0.07764308
0.3258057,0.1556244,-0.6570582,0.3258057,0.07798131,-0.6570582,0.7495947,0.1797209,0.5749694,0.2742599,0.07764308
0.3257656,0.1556406,-0.6569948,0.3257656,0.07799752,-0.6569948,0.7497045,0.1796684,0.5751873,0.2735359,0.07764308
0.3255205,0.1558335,-0.656801,0.3255205,0.0781904,-0.656801,0.7495539,0.1797314,0.5756959,0.2728366,0.07764308
0.3255205,0.1558335,-0.656801,0.3255205,0.0781904,-0.656801,0.7495539,0.1797314,0.5756959,0.2728366,0.07764308
0.3253629,0.1557753,-0.6567583,0.3253629,0.07813223,-0.6567583,0.7495256,0.1798854,0.5759248,0.2723293,0.07764308
0.3252316,0.1558142,-0.6567781,0.3252316,0.07817109,-0.6567781,0.7500321,0.1802567,0.5756135,0.2713457,0.07764308
0.3249428,0.15587,-0.6568344,0.3249428,0.07822688,-0.6568344,0.7505767,0.1808333,0.5751926,0.270347,0.07764308
0.3247805,0.1559877,-0.6568897,0.3247805,0.07834466,-0.6568897,0.7510265,0.1813496,0.5748289,0.2695242,0.07764308
0.3246014,0.1561048,-0.656733,0.3246014,0.07846172,-0.656733,0.7515198,0.1819384,0.5746797,0.2680666,0.07764308
0.3242741,0.1563983,-0.6565549,0.3242741,0.07875521,-0.6565549,0.752327,0.1824554,0.5744376,0.2659618,0.07764308
0.3242741,0.1563983,-0.6565549,0.3242741,0.07875521,-0.6565549,0.752327,0.1824554,0.5744376,0.2659618,0.07764308
0.3238978,0.1573465,-0.6559598,0.3238978,0.07970341,-0.6559598,0.7537486,0.1829284,0.5745307,0.2613709,0.07764308
0.3238978,0.1573465,-0.6559598,0.3238978,0.07970341,-0.6559598,0.7537486,0.1829284,0.5745307,0.2613709,0.07764308
0.323674,0.1579587,-0.6556666,0.323674,0.08031566,-0.6556666,0.7550468,0.1833048,0.57415,0.2581772,0.07764308
0.3233712,0.1586268,-0.6553473,0.3233712,0.08098371,-0.6553473,0.7561144,0.1830483,0.574096,0.2553393,0.07764308
0.3230298,0.1593461,-0.6549799,0.3230298,0.08170302,-0.6549799,0.7568908,0.1828147,0.574178,0.2530116,0.07764308
0.3229363,0.1605361,-0.6542475,0.3229363,0.08289297,-0.6542475,0.7570245,0.1822085,0.5754353,0.2501767,0.07764308
0.3225715,0.1634066,-0.6521401,0.3225715,0.08576353,-0.6521401,0.7627544,0.182029,0.5741878,0.2353286,0.07764308
0.3225715,0.1634066,-0.6521401,0.3225715,0.08576353,-0.6521401,0.7627544,0.182029,0.5741878,0.2353286,0.07764308
0.3223948,0.1675694,-0.64902,0.3223948,0.08992632,-0.64902,0.7673132,0.1759025,0.575238,0.2222383,0.07764308
0.3221786,0.1707664,-0.6473453,0.3221786,0.09312327,-0.6473453,0.7713768,0.1737892,0.5742347,0.2122021,0.07764308
0.3218913,0.1749268,-0.6448147,0.3218913,0.09728368,-0.6448147,0.7779223,0.1690867,0.5714547,0.1992138,0.07764308
0.3218913,0.1749268,-0.6448147,0.3218913,0.09728368,-0.6448147,0.7779223,0.1690867,0.5714547,0.1992138,0.07764308
