posX,posY,posZ,RotX,RotY,RotZ,RotW,vPosX,vPosY,vPosZ,initH
0.3708434,0.1373374,-0.6317255,0.3708434,0.07790311,-0.6317255,0.6514101,0.164108,0.6718648,0.3119796,0.05943434
0.3708303,0.1374812,-0.6318069,0.3708303,0.07804687,-0.6318069,0.6519308,0.1647688,0.6712916,0.3117774,0.05943434
0.3709068,0.1374848,-0.6319227,0.3709068,0.07805045,-0.6319227,0.652319,0.1651321,0.6707631,0.3119105,0.05943434
0.3710072,0.1375096,-0.6321042,0.3710072,0.07807525,-0.6321042,0.6525307,0.1658067,0.6705027,0.3116697,0.05943434
0.3710737,0.1374457,-0.6322372,0.3710737,0.07801135,-0.6322372,0.6531869,0.166498,0.6697297,0.3115885,0.05943434
0.3711376,0.1373241,-0.6323318,0.3711376,0.07788976,-0.6323318,0.6526824,0.1663907,0.6700533,0.3120071,0.05943434
0.3708541,0.1374338,-0.6327324,0.3708541,0.07799943,-0.6327324,0.6535541,0.1672164,0.6691754,0.3116248,0.05943434
0.3708217,0.1375394,-0.6328192,0.3708217,0.07810505,-0.6328192,0.6537347,0.1674593,0.6689444,0.3116116,0.05943434
0.370302,0.1379373,-0.6331046,0.370302,0.07850297,-0.6331046,0.6539487,0.1678406,0.6687669,0.3113383,0.05943434
0.3704529,0.1379442,-0.6330268,0.3704529,0.07850988,-0.6330268,0.6546108,0.1681812,0.6682013,0.3109771,0.05943434
0.3706579,0.1378431,-0.633008,0.3706579,0.07840879,-0.633008,0.6550424,0.1681089,0.667707,0.311169,0.05943434
0.3704031,0.1377411,-0.6327348,0.3704031,0.07830675,-0.6327348,0.6554444,0.1681715,0.6674066,0.3109331,0.05943434
0.3701935,0.1378131,-0.6323836,0.3701935,0.07837875,-0.6323836,0.656372,0.1684927,0.6666193,0.3104912,0.05943434
0.3698239,0.1378689,-0.6318717,0.3698239,0.07843454,-0.6318717,0.6578429,0.1687239,0.665264,0.3101593,0.05943434
0.3695707,0.1381192,-0.6313579,0.3695707,0.07868488,-0.6313579,0.6588876,0.1689432,0.6642832,0.3099245,0.05943434
0.3691466,0.1382425,-0.6304829,0.3691466,0.07880814,-0.6304829,0.6577445,0.1684132,0.6655285,0.3099693,0.05943434
0.3691707,0.138108,-0.6302774,0.3691707,0.07867368,-0.6302774,0.6583323,0.1689937,0.6650698,0.3093895,0.05943434
0.3689487,0.1382461,-0.6298282,0.3689487,0.07881172,-0.6298282,0.6595591,0.1695102,0.6641208,0.3085315,0.05943434
0.3687842,0.1383333,-0.6295075,0.3687842,0.07889898,-0.6295075,0.6599715,0.1695259,0.6640061,0.3078873,0.05943434
0.3686721,0.1385741,-0.6296217,0.3686721,0.07913978,-0.6296217,0.65949,0.1698948,0.6648427,0.3069086,0.05943434
0.3685765,0.1385849,-0.6296673,0.3685765,0.07915051,-0.6296673,0.6617426,0.1709157,0.6632135,0.305012,0.05943434
0.3686328,0.13872,-0.6291523,0.3686328,0.0792857,-0.6291523,0.6627458,0.1703493,0.6626518,0.3043708,0.05943434
0.3686597,0.1387925,-0.6288679,0.3686597,0.07935818,-0.6288679,0.6624236,0.1699026,0.663477,0.3035233,0.05943434
0.3685195,0.1388478,-0.6285291,0.3685195,0.07941349,-0.6285291,0.6624284,0.169677,0.6640779,0.3023222,0.05943434
