posX,posY,posZ,RotX,RotY,RotZ,RotW,vPosX,vPosY,vPosZ,initH
0.3586214,0.1594484,-0.6344142,0.3586214,0.1205738,-0.6344142,0.7484581,0.1831933,0.578391,0.2677958,0.08059399
0.3584595,0.1594748,-0.63446,0.3584595,0.1206003,-0.63446,0.7485819,0.1834434,0.5783727,0.2673175,0.08059399
0.3583348,0.15943,-0.6343851,0.3583348,0.1205555,-0.6343851,0.7485403,0.1836288,0.5785937,0.2668281,0.08059399
0.3583155,0.1594126,-0.6344581,0.3583155,0.1205381,-0.6344581,0.7485351,0.1837162,0.5788115,0.2663097,0.08059399
0.3581884,0.1594503,-0.6345079,0.3581884,0.1205757,-0.6345079,0.7488112,0.1839993,0.578709,0.2655596,0.08059399
0.3581634,0.1596498,-0.6345601,0.3581634,0.1207753,-0.6345601,0.7494591,0.1843942,0.5782299,0.2644997,0.08059399
0.3581617,0.1597626,-0.6346076,0.3581617,0.1208881,-0.6346076,0.7500753,0.1846927,0.5779955,0.2630529,0.08059399
0.3581197,0.1599593,-0.6345303,0.3581197,0.1210848,-0.6345303,0.7505693,0.1849679,0.577822,0.2618287,0.08059399
0.3579357,0.1603539,-0.6343896,0.3579357,0.1214793,-0.6343896,0.7505062,0.1850635,0.5782835,0.260922,0.08059399
0.3578525,0.1606975,-0.6341753,0.3578525,0.1218229,-0.6341753,0.7494632,0.1845273,0.5799893,0.2605132,0.08059399
0.3577099,0.1611602,-0.6339633,0.3577099,0.1222857,-0.6339633,0.7497123,0.1848262,0.5805422,0.2583437,0.08059399
0.3573232,0.1612718,-0.6335878,0.3573232,0.1223973,-0.6335878,0.750765,0.1849572,0.5802314,0.2558795,0.08059399
0.3572023,0.1618745,-0.6333418,0.3572023,0.123,-0.6333418,0.752288,0.1850617,0.5793623,0.2532867,0.08059399
0.3571084,0.1628373,-0.6329994,0.3571084,0.1239627,-0.6329994,0.7540043,0.1852302,0.57873,0.2494775,0.08059399
0.3571765,0.1642034,-0.6325645,0.3571765,0.1253288,-0.6325645,0.7556968,0.184463,0.5784143,0.2456273,0.08059399
0.3573937,0.1657925,-0.6316848,0.3573937,0.1269179,-0.6316848,0.757388,0.183833,0.5781318,0.2415214,0.08059399
