posX,posY,posZ,RotX,RotY,RotZ,RotW,vPosX,vPosY,vPosZ,initH
0.3406482,0.1368706,-0.6800437,0.3406482,0.08347781,-0.6800437,0.6853787,0.1815987,0.6398167,0.2965005,0.05339281
0.3406386,0.1367583,-0.6802864,0.3406386,0.08336551,-0.6802864,0.685708,0.1821692,0.6393238,0.2964524,0.05339281
0.3407245,0.1367192,-0.6805098,0.3407245,0.08332641,-0.6805098,0.6858723,0.1827109,0.6389303,0.2965874,0.05339281
0.3408117,0.1366446,-0.6805675,0.3408117,0.08325179,-0.6805675,0.6861084,0.1832694,0.6385292,0.2965605,0.05339281
0.3406668,0.1366649,-0.6806591,0.3406668,0.08327205,-0.6806591,0.6863191,0.1838427,0.6380886,0.2966667,0.05339281
0.3406637,0.136627,-0.6807938,0.3406637,0.08323415,-0.6807938,0.6860371,0.1844583,0.6381129,0.2968841,0.05339281
0.3406782,0.1365216,-0.6810274,0.3406782,0.08312877,-0.6810274,0.6861042,0.1851443,0.6377991,0.2969763,0.05339281
0.3399854,0.1360621,-0.6817536,0.3399854,0.08266933,-0.6817536,0.6860709,0.1857534,0.6374876,0.2973414,0.05339281
0.3402646,0.1360993,-0.6820965,0.3402646,0.08270653,-0.6820965,0.6860361,0.1865013,0.6371962,0.2975783,0.05339281
0.3399448,0.1362665,-0.6824739,0.3399448,0.08287366,-0.6824739,0.6866392,0.1871972,0.6362336,0.2978096,0.05339281
0.3402748,0.136359,-0.6827474,0.3402748,0.08296616,-0.6827474,0.6867393,0.1878772,0.6358001,0.2980765,0.05339281
0.3403897,0.1365016,-0.6831906,0.3403897,0.08310874,-0.6831906,0.6872123,0.1885538,0.6349918,0.2982823,0.05339281
0.3404264,0.1365533,-0.6832976,0.3404264,0.08316047,-0.6832976,0.687741,0.1889485,0.634209,0.2984788,0.05339281
0.3406858,0.136729,-0.6832113,0.3406858,0.08333619,-0.6832113,0.6868054,0.1893274,0.6348976,0.2989288,0.05339281
0.3406925,0.1367798,-0.6833363,0.3406925,0.08338697,-0.6833363,0.6862425,0.1898628,0.6352293,0.2991773,0.05339281
0.340538,0.1368015,-0.6833043,0.340538,0.08340867,-0.6833043,0.6853094,0.1898009,0.6362273,0.299235,0.05339281
0.3408465,0.1367624,-0.6833751,0.3408465,0.08336957,-0.6833751,0.6849149,0.1900356,0.6366612,0.2990659,0.05339281
0.3406553,0.1366885,-0.6832159,0.3406553,0.08329566,-0.6832159,0.6854324,0.1899821,0.6364652,0.2983311,0.05339281
0.3405662,0.1368175,-0.6830325,0.3405662,0.08342464,-0.6830325,0.6855784,0.1895893,0.6368531,0.2974159,0.05339281
0.3406599,0.1370084,-0.6827154,0.3406599,0.08361562,-0.6827154,0.6859233,0.1890619,0.6372709,0.2960587,0.05339281
0.3406076,0.1371555,-0.6825683,0.3406076,0.08376272,-0.6825683,0.6863431,0.1887267,0.6373376,0.2951545,0.05339281
0.3406246,0.1372991,-0.6821241,0.3406246,0.08390625,-0.6821241,0.6878794,0.1874439,0.6371078,0.2928826,0.05339281
0.340692,0.13746,-0.6817024,0.340692,0.08406718,-0.6817024,0.6887211,0.1861517,0.6372714,0.2913691,0.05339281
0.340544,0.1378465,-0.6808918,0.340544,0.08445366,-0.6808918,0.6917191,0.1841247,0.6361775,0.2879254,0.05339281
0.3403049,0.138299,-0.680006,0.3403049,0.08490618,-0.680006,0.694338,0.1815309,0.6358115,0.284051,0.05339281
0.3400273,0.1388357,-0.6791787,0.3400273,0.08544286,-0.6791787,0.6964329,0.1790302,0.6359077,0.2802691,0.05339281
0.3395796,0.1394267,-0.6782043,0.3395796,0.0860339,-0.6782043,0.6999168,0.1752493,0.6355828,0.274661,0.05339281
0.3392496,0.140182,-0.6773994,0.3392496,0.08678921,-0.6773994,0.7049138,0.1719853,0.6342243,0.2669779,0.05339281
0.3392413,0.1410258,-0.6765065,0.3392413,0.08763297,-0.6765065,0.7089651,0.1672041,0.6337916,0.2602299,0.05339281
0.3392766,0.1422741,-0.6753633,0.3392766,0.08888133,-0.6753633,0.7176669,0.1607985,0.6299349,0.2495599,0.05339281
0.3397732,0.1445987,-0.6738451,0.3397732,0.09120591,-0.6738451,0.7295602,0.1542117,0.6231562,0.2358752,0.05339281
0.3396733,0.1474609,-0.6720676,0.3396733,0.09406812,-0.6720676,0.7389132,0.1483966,0.6182716,0.2229931,0.05339281
0.3390226,0.1527219,-0.6672204,0.3390226,0.09932907,-0.6672204,0.7453801,0.1336716,0.6189973,0.2082852,0.05339281
0.3384347,0.1580596,-0.6611569,0.3384347,0.1046668,-0.6611569,0.7475304,0.1213786,0.6222643,0.1981228,0.05339281
0.3379815,0.1636527,-0.6550868,0.3379815,0.1102598,-0.6550868,0.7516495,0.1099977,0.6219712,0.1899351,0.05339281
0.3373127,0.1719499,-0.6469059,0.3373127,0.1185571,-0.6469059,0.7513736,0.09606965,0.6269063,0.1821997,0.05339281
0.3359456,0.1813939,-0.6417665,0.3359456,0.128001,-0.6417665,0.7517907,0.08197138,0.6319331,0.1695643,0.05339281
0.3337896,0.1934032,-0.639869,0.3337896,0.1400104,-0.639869,0.7600931,0.06585034,0.6270171,0.1573907,0.05339281
0.3304186,0.2062664,-0.637821,0.3304186,0.1528736,-0.637821,0.7723224,0.05907629,0.6160617,0.1431647,0.05339281
0.3273721,0.2223933,-0.633801,0.3273721,0.1690005,-0.633801,0.7884678,0.05714455,0.6008778,0.1183173,0.05339281
0.3263543,0.2368562,-0.6283205,0.3263543,0.1834634,-0.6283205,0.7947514,0.04556478,0.5960374,0.1050401,0.05339281
0.3243916,0.251559,-0.6207082,0.3243916,0.1981662,-0.6207082,0.7839025,0.02343925,0.6123922,0.0996154,0.05339281
0.3223586,0.2681196,-0.6132345,0.3223586,0.2147268,-0.6132345,0.7780989,0.008415773,0.6208339,0.0951664,0.05339281
0.3207164,0.2825077,-0.6065311,0.3207164,0.2291148,-0.6065311,0.7780938,-0.006541876,0.6215889,0.09030201,0.05339281
0.3187065,0.2967811,-0.5981162,0.3187065,0.2433883,-0.5981162,0.7729796,-0.02108126,0.6277695,0.08923895,0.05339281
0.3175695,0.310128,-0.5889585,0.3175695,0.2567351,-0.5889585,0.765052,-0.03520845,0.6364436,0.09162558,0.05339281
0.3159783,0.3227017,-0.5796227,0.3159783,0.2693089,-0.5796227,0.757652,-0.04559763,0.6441718,0.09448392,0.05339281
0.3148088,0.3340783,-0.5708499,0.3148088,0.2806855,-0.5708499,0.7518078,-0.05522107,0.6498632,0.09702329,0.05339281
0.3140132,0.3431058,-0.5613425,0.3140132,0.289713,-0.5613425,0.7477904,-0.05990507,0.6534724,0.1009689,0.05339281
0.3117886,0.3526723,-0.5504742,0.3117886,0.2992795,-0.5504742,0.7433247,-0.06361726,0.6573805,0.1061704,0.05339281
0.311034,0.3585901,-0.5405364,0.311034,0.3051973,-0.5405364,0.7422013,-0.06448329,0.6576968,0.1114184,0.05339281
0.3103487,0.3627353,-0.5304213,0.3103487,0.3093424,-0.5304213,0.7405647,-0.06341562,0.6584669,0.1181683,0.05339281
0.3077087,0.3685849,-0.5195391,0.3077087,0.315192,-0.5195391,0.7390545,-0.06220569,0.6594187,0.1228654,0.05339281
0.3083129,0.3704567,-0.5093341,0.3083129,0.3170639,-0.5093341,0.7392549,-0.05711384,0.6581974,0.1304468,0.05339281
0.307966,0.3695538,-0.4981036,0.307966,0.316161,-0.4981036,0.7390402,-0.05053733,0.6574027,0.1381567,0.05339281
0.3062088,0.3685484,-0.4857993,0.3062088,0.3151556,-0.4857993,0.7378595,-0.0426527,0.6574286,0.1467377,0.05339281
0.3065538,0.366853,-0.474684,0.3065538,0.3134602,-0.474684,0.7365897,-0.03547419,0.6572192,0.1556923,0.05339281
0.3069086,0.3611183,-0.4622703,0.3069086,0.3077255,-0.4622703,0.7352527,-0.02490758,0.6566929,0.1659446,0.05339281
0.3062444,0.3553705,-0.4479332,0.3062444,0.3019777,-0.4479332,0.7325457,-0.01346818,0.657041,0.1774616,0.05339281
0.3075223,0.3473234,-0.4354367,0.3075223,0.3033345,-0.4354367,0.7289347,-0.001789902,0.6579328,0.189144,0.05339281
0.3086662,0.3373842,-0.4221992,0.3086662,0.305118,-0.4221992,0.7246044,0.01105124,0.6590316,0.201255,0.05339281
0.3097301,0.3287275,-0.4086795,0.3097301,0.3066044,-0.4086795,0.7196241,0.02301989,0.6605376,0.2128409,0.05339281
0.3121378,0.3175361,-0.3962002,0.3121378,0.3087064,-0.3962002,0.7134262,0.03643773,0.6622822,0.2260036,0.05339281
0.313766,0.3048487,-0.3835449,0.313766,0.3112209,-0.3835449,0.7079641,0.04983348,0.6624619,0.2396824,0.05339281
0.3157701,0.2921388,-0.3712792,0.3157701,0.313742,-0.3712792,0.7024398,0.06108598,0.6616733,0.2550202,0.05339281
0.3176982,0.2799945,-0.3596921,0.3176982,0.3160949,-0.3596921,0.6950763,0.07016283,0.6617309,0.2721365,0.05339281
0.3201632,0.2671111,-0.3484328,0.3201632,0.3186759,-0.3484328,0.6884095,0.08006682,0.6599472,0.2900886,0.05339281
0.3242729,0.2530384,-0.3372386,0.3242729,0.321663,-0.3372386,0.680498,0.09706367,0.6597015,0.3038009,0.05339281
0.3271592,0.2416883,-0.3280246,0.3271592,0.3237264,-0.3280246,0.6705191,0.1183742,0.6651885,0.3064572,0.05339281
0.3303673,0.2313492,-0.3195009,0.3303673,0.3254798,-0.3195009,0.6630074,0.1344655,0.6657401,0.3148498,0.05339281
0.3339143,0.2207456,-0.3116679,0.3339143,0.3273156,-0.3116679,0.658069,0.1493451,0.6639518,0.3221943,0.05339281
0.3355553,0.2113249,-0.3038306,0.3355553,0.328779,-0.3038306,0.6535205,0.1637989,0.662644,0.3270838,0.05339281
0.3378115,0.2033129,-0.2963686,0.3378115,0.329837,-0.2963686,0.6463523,0.1765501,0.6637439,0.3324198,0.05339281
0.3415592,0.1939535,-0.2905691,0.3415592,0.3313085,-0.2905691,0.639389,0.1868522,0.6638585,0.339941,0.05339281
0.3424435,0.1865284,-0.2859249,0.3424435,0.3321633,-0.2859249,0.6351543,0.1939609,0.6643444,0.3429354,0.05339281
0.345197,0.1796651,-0.2848861,0.345197,0.3328604,-0.2848861,0.6315479,0.1989973,0.6650407,0.3453523,0.05339281
0.3456852,0.1739411,-0.2859762,0.3456852,0.3332646,-0.2859762,0.6299105,0.2030688,0.6650013,0.3460478,0.05339281
0.3442614,0.1680932,-0.2892237,0.3442614,0.3336999,-0.2892237,0.6316609,0.2058334,0.6637782,0.3435632,0.05339281
0.3434114,0.1628416,-0.2943079,0.3434114,0.3339767,-0.2943079,0.6410066,0.2076117,0.6562213,0.3396786,0.05339281
0.3404684,0.1562347,-0.3010764,0.3404684,0.3347374,-0.3010764,0.645578,0.2061529,0.6517603,0.3404975,0.05339281
0.3312771,0.1519308,-0.3085737,0.3312771,0.3304335,-0.3085737,0.6621426,0.1848013,0.6349357,0.3525226,0.05339281
0.3282838,0.1477029,-0.3143327,0.3282838,0.3262056,-0.3143327,0.6655206,0.1902851,0.6390576,0.3353793,0.05339281
0.3297396,0.1444018,-0.3181961,0.3297396,0.3229045,-0.3181961,0.6681255,0.1875746,0.6375391,0.3346162,0.05339281
0.3304904,0.139776,-0.3187547,0.3304904,0.3182787,-0.3187547,0.6823089,0.2012894,0.6189502,0.3329233,0.05339281
0.330091,0.1362762,-0.3159544,0.330091,0.3147789,-0.3159544,0.6799881,0.1998187,0.6210379,0.3346649,0.05339281
0.3237884,0.1366923,-0.3075004,0.3237884,0.315195,-0.3075004,0.6943846,0.2081522,0.5982029,0.3415494,0.05339281
0.3256035,0.1419082,-0.3001039,0.3256035,0.3204108,-0.3001039,0.6595591,0.1756321,0.6394468,0.3538971,0.05339281
0.3284268,0.1462657,-0.2987249,0.3284268,0.3247684,-0.2987249,0.6129609,0.173024,0.6891575,0.3455482,0.05339281
0.3295434,0.1459308,-0.29865,0.3295434,0.3244334,-0.29865,0.6041854,0.1751064,0.6981045,0.3419764,0.05339281
0.3309219,0.1440544,-0.3014984,0.3309219,0.3225571,-0.3014984,0.6236657,0.1661271,0.6819374,0.3440993,0.05339281
0.3313253,0.1424873,-0.3052542,0.3313253,0.32099,-0.3052542,0.6507429,0.1653665,0.6569877,0.3428625,0.05339281
0.3315592,0.1412764,-0.3066449,0.3315592,0.319779,-0.3066449,0.6532905,0.1674095,0.6548198,0.3411695,0.05339281
0.3320029,0.1405849,-0.3071275,0.3320029,0.3190876,-0.3071275,0.6498713,0.1673987,0.6583259,0.3409574,0.05339281
0.3309901,0.1394117,-0.3080931,0.3309901,0.3179144,-0.3080931,0.6481995,0.1696021,0.6578684,0.3439211,0.05339281
0.3303018,0.1390719,-0.3086717,0.3303018,0.3175746,-0.3086717,0.6562427,0.1712345,0.650379,0.3420986,0.05339281
0.3305869,0.1389508,-0.3096831,0.3305869,0.3174535,-0.3096831,0.66231,0.1719112,0.6439168,0.342291,0.05339281
0.3320508,0.1390004,-0.3093235,0.3320508,0.3175031,-0.3093235,0.6616486,0.1702043,0.6442508,0.3437916,0.05339281
0.3331587,0.1393883,-0.3091066,0.3331587,0.317891,-0.3091066,0.6608102,0.1683276,0.6452301,0.3444909,0.05339281
0.3345435,0.1400716,-0.3094804,0.3345435,0.3185743,-0.3094804,0.6602803,0.1662049,0.6462309,0.3446616,0.05339281
0.3352277,0.1401336,-0.3098197,0.3352277,0.3186363,-0.3098197,0.6647384,0.165794,0.642791,0.342717,0.05339281
0.335587,0.1398401,-0.3103251,0.335587,0.3183428,-0.3103251,0.6687723,0.1655575,0.6393951,0.3413329,0.05339281
0.334904,0.1399329,-0.3102765,0.334904,0.3184355,-0.3102765,0.6731027,0.1660357,0.6359375,0.3390403,0.05339281
0.333905,0.1398904,-0.3091648,0.333905,0.3183931,-0.3091648,0.6724257,0.1653681,0.6372401,0.3382636,0.05339281
0.3336713,0.1397986,-0.3083897,0.3336713,0.3183013,-0.3083897,0.6694986,0.1633514,0.6405696,0.3387601,0.05339281
0.3334885,0.1403978,-0.3077071,0.3334885,0.3189005,-0.3077071,0.6672009,0.1616007,0.6440361,0.3375584,0.05339281
0.3332081,0.140656,-0.3071332,0.3332081,0.3191587,-0.3071332,0.6674876,0.1596959,0.6446912,0.3366464,0.05339281
0.3333023,0.1410115,-0.3067429,0.3333023,0.3195142,-0.3067429,0.6678998,0.1588926,0.6453221,0.334996,0.05339281
0.3330653,0.1415098,-0.3063614,0.3330653,0.3200125,-0.3063614,0.6702503,0.1578254,0.6442146,0.3329312,0.05339281
0.3325891,0.1418092,-0.3056369,0.3325891,0.3203119,-0.3056369,0.6710151,0.1561096,0.6445955,0.3314591,0.05339281
0.3323021,0.1420004,-0.3048506,0.3323021,0.3205031,-0.3048506,0.669893,0.1546093,0.6465904,0.3305452,0.05339281
0.3320508,0.1422482,-0.3043976,0.3320508,0.3207508,-0.3043976,0.6694465,0.1535832,0.6479292,0.3293043,0.05339281
0.3316798,0.142478,-0.3037684,0.3316798,0.3209807,-0.3037684,0.6703602,0.1528274,0.6479193,0.3278133,0.05339281
0.3312831,0.1427684,-0.3033526,0.3312831,0.3212711,-0.3033526,0.6703587,0.1515241,0.6486444,0.3269863,0.05339281
0.3309488,0.1430364,-0.3030784,0.3309488,0.321539,-0.3030784,0.6705469,0.1511145,0.6491919,0.325701,0.05339281
0.3308067,0.1432104,-0.3024104,0.3308067,0.3217131,-0.3024104,0.6700979,0.1495868,0.6502981,0.3251229,0.05339281
0.3303745,0.1435165,-0.3021092,0.3303745,0.3220192,-0.3021092,0.6694963,0.1490253,0.6516002,0.3240113,0.05339281
0.3300562,0.1436024,-0.3018327,0.3300562,0.3221051,-0.3018327,0.671287,0.1478031,0.650867,0.3223354,0.05339281
0.3297598,0.1438017,-0.301146,0.3297598,0.3223044,-0.301146,0.6722004,0.1462542,0.6510146,0.3208369,0.05339281
0.329011,0.1442029,-0.3003402,0.329011,0.3227056,-0.3003402,0.6707119,0.1441425,0.6533514,0.3201568,0.05339281
0.328692,0.1440654,-0.2996368,0.328692,0.3225681,-0.2996368,0.6677491,0.1420467,0.6568831,0.32006,0.05339281
0.3285613,0.1440415,-0.2992775,0.3285613,0.3225442,-0.2992775,0.6673971,0.1402186,0.6580894,0.319121,0.05339281
0.3283298,0.1443226,-0.2989008,0.3283298,0.3228253,-0.2989008,0.6682369,0.1389431,0.6583142,0.3174536,0.05339281
0.3281548,0.1445127,-0.2988517,0.3281548,0.3230153,-0.2988517,0.6709731,0.1393162,0.6567903,0.3146627,0.05339281
0.3280556,0.1447659,-0.2985086,0.3280556,0.3232685,-0.2985086,0.672121,0.1378049,0.6563742,0.3137454,0.05339281
0.3278975,0.1449685,-0.2983391,0.3278975,0.3234712,-0.2983391,0.6729244,0.1372239,0.6563855,0.3122506,0.05339281
0.327877,0.1452324,-0.2980714,0.327877,0.3237351,-0.2980714,0.6733255,0.135582,0.656867,0.3110885,0.05339281
0.3279757,0.1455173,-0.297709,0.3279757,0.32402,-0.297709,0.6740903,0.1348649,0.657126,0.3091913,0.05339281
0.3276916,0.1456957,-0.2976363,0.3276916,0.3241984,-0.2976363,0.6753811,0.1340504,0.6566759,0.3076813,0.05339281
0.3275697,0.145937,-0.2974951,0.3275697,0.3244396,-0.2974951,0.6771777,0.1332892,0.655852,0.3058147,0.05339281
