posX,posY,posZ,RotX,RotY,RotZ,RotW,vPosX,vPosY,vPosZ,initH
0.2842338,0.1853461,-0.6452427,0.2842338,0.07871802,-0.6452427,0.7586327,0.1917175,0.5433363,0.3041488,0.1066281
0.2842641,0.185369,-0.6452842,0.2842641,0.07874091,-0.6452842,0.7583155,0.1917526,0.5437983,0.3040922,0.1066281
0.284344,0.1854725,-0.64533,0.284344,0.07884438,-0.64533,0.7581936,0.1918678,0.5440274,0.3039138,0.1066281
0.2843583,0.1854756,-0.6452718,0.2843583,0.07884748,-0.6452718,0.7581304,0.1917633,0.5442132,0.3038045,0.1066281
0.2844787,0.1854894,-0.6452079,0.2844787,0.07886131,-0.6452079,0.7581784,0.1916922,0.5442215,0.3037148,0.1066281
0.2844713,0.1854577,-0.6452081,0.2844713,0.0788296,-0.6452081,0.7582279,0.1917146,0.5442294,0.3035625,0.1066281
0.2844563,0.1855342,-0.6452355,0.2844563,0.07890613,-0.6452355,0.7581323,0.1920751,0.5444416,0.3031926,0.1066281
0.2846217,0.1855743,-0.645185,0.2846217,0.07894619,-0.645185,0.7582841,0.1922154,0.5443792,0.3028362,0.1066281
0.2846217,0.1855743,-0.645185,0.2846217,0.07894619,-0.645185,0.7582841,0.1922154,0.5443792,0.3028362,0.1066281
0.2848246,0.1855872,-0.6451719,0.2848246,0.07895906,-0.6451719,0.7584646,0.1920741,0.544236,0.3027312,0.1066281
0.2847168,0.1855688,-0.6452513,0.2847168,0.0789407,-0.6452513,0.7584437,0.1920638,0.5443127,0.3026523,0.1066281
0.2847931,0.1857085,-0.6453345,0.2847931,0.07908042,-0.6453345,0.7584039,0.1920258,0.5443711,0.3026712,0.1066281
0.284729,0.1858048,-0.6452124,0.284729,0.07917674,-0.6452124,0.7583979,0.1921886,0.5444208,0.3024932,0.1066281
0.2846653,0.1858325,-0.6453016,0.2846653,0.0792044,-0.6453016,0.7584201,0.1924745,0.5444133,0.3022693,0.1066281
0.2846544,0.185883,-0.6453502,0.2846544,0.07925494,-0.6453502,0.7586161,0.192748,0.5441087,0.3021516,0.1066281
0.2845249,0.1859925,-0.6453266,0.2845249,0.07936437,-0.6453266,0.7589846,0.1931538,0.5436143,0.3018569,0.1066281
0.284472,0.1860058,-0.6453874,0.284472,0.07937773,-0.6453874,0.7593655,0.1934549,0.5430777,0.3016718,0.1066281
0.2842765,0.1858068,-0.6453469,0.2842765,0.07917865,-0.6453469,0.7595843,0.1937757,0.542863,0.3013014,0.1066281
0.2841039,0.1859601,-0.6452329,0.2841039,0.07933195,-0.6452329,0.7596239,0.1938817,0.5428683,0.3011236,0.1066281
0.284133,0.1860175,-0.6451569,0.284133,0.07938941,-0.6451569,0.7596248,0.1938352,0.5429685,0.3009705,0.1066281
0.284055,0.1860216,-0.6450832,0.284055,0.07939346,-0.6450832,0.7595472,0.1938975,0.5431272,0.30084,0.1066281
0.2839792,0.186058,-0.6451144,0.2839792,0.07942994,-0.6451144,0.7594143,0.1939975,0.5433977,0.3006226,0.1066281
0.2840064,0.1861107,-0.6450377,0.2840064,0.07948263,-0.6450377,0.7595267,0.1940239,0.5434025,0.3003125,0.1066281
0.2839415,0.1861124,-0.645088,0.2839415,0.0794843,-0.645088,0.7596091,0.1942884,0.5433064,0.3001072,0.1066281
0.2838621,0.1861815,-0.645081,0.2838621,0.07955344,-0.645081,0.7598935,0.1943595,0.5430481,0.2998082,0.1066281
0.2837324,0.1862228,-0.6451352,0.2837324,0.07959469,-0.6451352,0.760148,0.1946632,0.5427562,0.2994946,0.1066281
0.2836671,0.1863298,-0.6451206,0.2836671,0.07970174,-0.6451206,0.7603347,0.1948539,0.5425856,0.2992059,0.1066281
0.2835932,0.1863859,-0.6451168,0.2835932,0.07975776,-0.6451168,0.7603753,0.1950552,0.5426366,0.2988787,0.1066281
0.2834334,0.1864049,-0.6451631,0.2834334,0.07977684,-0.6451631,0.7604637,0.1953383,0.542592,0.2985498,0.1066281
0.283232,0.1862817,-0.6450658,0.283232,0.07965358,-0.6450658,0.7606013,0.1954997,0.5425797,0.2981155,0.1066281
0.2833014,0.1862073,-0.6450198,0.2833014,0.07957919,-0.6450198,0.7607178,0.1956793,0.5424879,0.2978673,0.1066281
0.2829676,0.1862016,-0.6452079,0.2829676,0.07957347,-0.6452079,0.7608275,0.195932,0.5423939,0.2975921,0.1066281
0.2828212,0.1861913,-0.6452155,0.2828212,0.07956322,-0.6452155,0.7609528,0.1960469,0.5423093,0.2973502,0.1066281
0.2825847,0.1863387,-0.6451137,0.2825847,0.07971056,-0.6451137,0.7610556,0.1961289,0.5423272,0.2969999,0.1066281
0.2826612,0.1864009,-0.6449492,0.2826612,0.07977279,-0.6449492,0.7611569,0.1961739,0.5423437,0.2966803,0.1066281
0.2826803,0.1866989,-0.6449456,0.2826803,0.08007081,-0.6449456,0.7612388,0.1962014,0.5423264,0.2964839,0.1066281
0.2826712,0.1866775,-0.6450055,0.2826712,0.08004935,-0.6450055,0.7612774,0.1964886,0.5424055,0.2960493,0.1066281
0.2827718,0.1867561,-0.6449044,0.2827718,0.08012803,-0.6449044,0.7613009,0.1968517,0.5425439,0.2954936,0.1066281
0.2826805,0.1867745,-0.6448679,0.2826805,0.08014639,-0.6448679,0.7614358,0.1971206,0.5425385,0.2949762,0.1066281
0.2827375,0.1867397,-0.6449718,0.2827375,0.08011158,-0.6449718,0.7616602,0.1972432,0.542317,0.2947221,0.1066281
0.2827864,0.1868098,-0.6448777,0.2827864,0.08018167,-0.6448777,0.7618743,0.1975174,0.5421891,0.2942198,0.1066281
0.2826617,0.1867859,-0.6448376,0.2826617,0.08015783,-0.6448376,0.7621216,0.1977836,0.542074,0.2936123,0.1066281
0.2823937,0.1870041,-0.6446934,0.2823937,0.08037598,-0.6446934,0.7622414,0.1980719,0.5421327,0.2929976,0.1066281
0.2820635,0.1870184,-0.6448793,0.2820635,0.08039029,-0.6448793,0.7622092,0.1984903,0.5422678,0.2925481,0.1066281
0.281996,0.1871278,-0.644871,0.281996,0.08049972,-0.644871,0.7621906,0.1986609,0.5425019,0.2920462,0.1066281
0.2817917,0.1872838,-0.6448028,0.2817917,0.08065565,-0.6448028,0.7618769,0.1991252,0.5430151,0.2915944,0.1066281
0.2817993,0.1873729,-0.6448398,0.2817993,0.08074482,-0.6448398,0.7616695,0.1997344,0.5434138,0.2909764,0.1066281
0.2816548,0.1872799,-0.6447799,0.2816548,0.08065183,-0.6447799,0.7615695,0.2003093,0.543724,0.2902625,0.1066281
0.2816541,0.187371,-0.6448238,0.2816541,0.08074291,-0.6448238,0.7618895,0.2007515,0.5434404,0.2896476,0.1066281
0.2818265,0.1874914,-0.6447127,0.2818265,0.08086331,-0.6447127,0.7622851,0.2014074,0.5430365,0.288908,0.1066281
0.2817824,0.1874895,-0.6449254,0.2817824,0.0808614,-0.6449254,0.7623817,0.2020804,0.5428997,0.2884399,0.1066281
0.2818398,0.1875403,-0.6451054,0.2818398,0.08091219,-0.6451054,0.7630094,0.2026754,0.5422043,0.2876697,0.1066281
0.2818329,0.1876347,-0.6452024,0.2818329,0.0810066,-0.6452024,0.7634315,0.2032585,0.541731,0.2870293,0.1066281
0.2817945,0.1877642,-0.6452746,0.2817945,0.08113606,-0.6452746,0.7639215,0.2038968,0.5412887,0.2861059,0.1066281
0.2817674,0.1879165,-0.6453459,0.2817674,0.08128841,-0.6453459,0.7637351,0.2046519,0.5417401,0.2852088,0.1066281
0.2817776,0.1879849,-0.6455021,0.2817776,0.08135684,-0.6455021,0.7636983,0.2055103,0.5419952,0.2842036,0.1066281
0.281637,0.1878829,-0.6454628,0.281637,0.0812548,-0.6454628,0.7638821,0.2058218,0.5420907,0.2833004,0.1066281
0.2817152,0.1879303,-0.6452413,0.2817152,0.08130224,-0.6452413,0.7641757,0.2061869,0.5417632,0.2828694,0.1066281
0.2815003,0.1879942,-0.6453893,0.2815003,0.08136614,-0.6453893,0.7644378,0.2066769,0.5417401,0.281846,0.1066281
0.2815626,0.1883032,-0.645309,0.2815626,0.08167513,-0.645309,0.7644466,0.2070425,0.5420387,0.2809785,0.1066281
0.2816422,0.1882925,-0.645359,0.2816422,0.0816644,-0.645359,0.7645048,0.2072055,0.5423272,0.2801418,0.1066281
0.2813499,0.1883385,-0.6455402,0.2813499,0.08171041,-0.6455402,0.764228,0.2076563,0.5431178,0.2790295,0.1066281
0.2814107,0.1886373,-0.6456182,0.2814107,0.08200915,-0.6456182,0.7641412,0.2077826,0.5437479,0.277944,0.1066281
0.2813447,0.1888001,-0.6452107,0.2813447,0.08217199,-0.6452107,0.7643382,0.2079781,0.5440171,0.2767267,0.1066281
0.2811213,0.188904,-0.6451707,0.2811213,0.08227594,-0.6451707,0.7644749,0.2079367,0.5445224,0.2753831,0.1066281
0.2810652,0.1891227,-0.6451054,0.2810652,0.08249457,-0.6451054,0.7644781,0.207921,0.5451776,0.2740866,0.1066281
0.2810755,0.1891046,-0.6450434,0.2810755,0.08247645,-0.6450434,0.7643629,0.2075699,0.546123,0.2727887,0.1066281
0.2810555,0.1892366,-0.6447523,0.2810555,0.08260854,-0.6447523,0.7642942,0.2072822,0.5471274,0.2711828,0.1066281
0.2809057,0.1893365,-0.6443961,0.2809057,0.08270843,-0.6443961,0.7639362,0.2065046,0.5487294,0.2695431,0.1066281
0.2808568,0.1893559,-0.6440976,0.2808568,0.08272775,-0.6440976,0.7634994,0.2058094,0.5503834,0.2679351,0.1066281
0.2806349,0.1894603,-0.6437676,0.2806349,0.08283217,-0.6437676,0.7632378,0.2049674,0.5521424,0.2656977,0.1066281
0.2804518,0.1896005,-0.6433074,0.2804518,0.08297236,-0.6433074,0.7629865,0.2041021,0.553915,0.263386,0.1066281
0.2802951,0.1898034,-0.642874,0.2802951,0.08317526,-0.642874,0.7631556,0.2028772,0.5555601,0.2603601,0.1066281
0.2800097,0.1900203,-0.6424849,0.2800097,0.08339222,-0.6424849,0.7634335,0.2015145,0.5572836,0.2568971,0.1066281
0.279851,0.190336,-0.6420147,0.279851,0.08370788,-0.6420147,0.7635714,0.2001499,0.5591694,0.253433,0.1066281
0.2795625,0.1907372,-0.6413686,0.2795625,0.08410914,-0.6413686,0.7640362,0.1983762,0.5613005,0.2486714,0.1066281
0.2793064,0.1911247,-0.6407897,0.2793064,0.08449657,-0.6407897,0.7646315,0.1965478,0.5633019,0.2437186,0.1066281
0.2788441,0.1911604,-0.6400995,0.2788441,0.08453234,-0.6400995,0.765249,0.1949456,0.5651792,0.2386686,0.1066281
0.2784305,0.1918371,-0.6394231,0.2784305,0.08520897,-0.6394231,0.7667503,0.1932742,0.5665491,0.2318646,0.1066281
0.2781909,0.192543,-0.6388791,0.2781909,0.08591492,-0.6388791,0.7684042,0.1921055,0.5678118,0.2241434,0.1066281
0.2778924,0.1933627,-0.6382513,0.2778924,0.08673461,-0.6382513,0.7704797,0.191135,0.568733,0.2153399,0.1066281
0.2777224,0.1944754,-0.6379871,0.2777224,0.08784731,-0.6379871,0.7716969,0.1904132,0.5708308,0.2058613,0.1066281
0.2773337,0.1958706,-0.6371341,0.2773337,0.08924253,-0.6371341,0.7769955,0.189342,0.5674047,0.1961617,0.1066281
0.2764385,0.1969295,-0.6360188,0.2764385,0.09030135,-0.6360188,0.78235,0.1891771,0.5632635,0.1867477,0.1066281
0.2754159,0.1991761,-0.6342278,0.2754159,0.09254797,-0.6342278,0.7903571,0.1906841,0.5558856,0.1731086,0.1066281
0.2747011,0.2018504,-0.6324549,0.2747011,0.09522231,-0.6324549,0.7952656,0.1926561,0.5521758,0.1598073,0.1066281
0.2739348,0.2043283,-0.6306405,0.2739348,0.09770019,-0.6306405,0.7993229,0.1936348,0.5489202,0.1492486,0.1066281
0.2732329,0.207315,-0.6279426,0.2732329,0.1006869,-0.6279426,0.8028796,0.1926794,0.545864,0.1424486,0.1066281
0.2717485,0.2108901,-0.6258602,0.2717485,0.1042619,-0.6258602,0.8045726,0.1876394,0.5460338,0.1389299,0.1066281
0.2699385,0.2151539,-0.6233449,0.2699385,0.1093786,-0.6233449,0.8028284,0.1797163,0.5515164,0.1378343,0.1066281
0.2684844,0.2195895,-0.6207845,0.2684844,0.1147013,-0.6207845,0.8063967,0.181189,0.5469572,0.1331645,0.1066281
0.2664149,0.2251468,-0.6174514,0.2664149,0.12137,-0.6174514,0.8088698,0.1816328,0.5459328,0.1212301,0.1066281
0.2650018,0.2301137,-0.6140938,0.2650018,0.1273304,-0.6140938,0.8107693,0.1785304,0.5464531,0.1103138,0.1066281
0.2641151,0.2351401,-0.6099246,0.2641151,0.133362,-0.6099246,0.8148289,0.1743078,0.5433108,0.1023921,0.1066281
0.2623613,0.2405784,-0.6065333,0.2623613,0.139888,-0.6065333,0.8190629,0.1711236,0.5384272,0.09974381,0.1066281
0.2605777,0.2457206,-0.6028316,0.2605777,0.1460586,-0.6028316,0.8226695,0.1690859,0.5343828,0.09518307,0.1066281
0.2590408,0.2519517,-0.5984313,0.2590408,0.1535359,-0.5984313,0.8258578,0.1673355,0.5310468,0.08914631,0.1066281
0.2571819,0.2583616,-0.5939696,0.2571819,0.1612278,-0.5939696,0.8293617,0.16521,0.526996,0.08449898,0.1066281
0.2553935,0.2648947,-0.5890293,0.2553935,0.1690676,-0.5890293,0.8332295,0.1620649,0.5227928,0.07843082,0.1066281
0.2539482,0.2717011,-0.5835857,0.2539482,0.1772352,-0.5835857,0.8363622,0.158342,0.5196517,0.07340589,0.1066281
0.2519956,0.2790451,-0.5780778,0.2519956,0.186048,-0.5780778,0.8395163,0.1555388,0.5159886,0.06910679,0.1066281
0.2505257,0.286036,-0.5725455,0.2505257,0.1944371,-0.5725455,0.8423523,0.152395,0.5126154,0.06666129,0.1066281
0.2491908,0.2931116,-0.5662646,0.2491908,0.2029278,-0.5662646,0.8448082,0.1493634,0.5099187,0.06302919,0.1066281
0.248008,0.300123,-0.5600779,0.248008,0.2113415,-0.5600779,0.846714,0.1460915,0.5079895,0.06065875,0.1066281
0.2471054,0.3069839,-0.5537224,0.2471054,0.2195746,-0.5537224,0.8479767,0.1424517,0.5071211,0.05891723,0.1066281
0.2462792,0.3137188,-0.5473866,0.2462792,0.2276565,-0.5473866,0.8493558,0.1387693,0.5060127,0.05734856,0.1066281
0.2459948,0.3204508,-0.5405052,0.2459948,0.2357348,-0.5405052,0.8496445,0.1339119,0.5067862,0.05778879,0.1066281
0.2460654,0.3270683,-0.5332732,0.2460654,0.2436759,-0.5332732,0.848925,0.1278722,0.5094413,0.05869196,0.1066281
0.2464097,0.3334093,-0.5253038,0.2464097,0.251285,-0.5253038,0.8470758,0.1204508,0.5142207,0.05942581,0.1066281
0.2466569,0.3403327,-0.5168157,0.2466569,0.2595932,-0.5168157,0.8430983,0.111586,0.5222717,0.0629774,0.1066281
