posX,posY,posZ,RotX,RotY,RotZ,RotW,vPosX,vPosY,vPosZ,initH
0.05281019,0.1954637,-0.606483,0.05281019,0.0780967,-0.606483,0.3399218,-0.5316074,-0.2438303,0.7364737,0.117367
0.05281305,0.1954017,-0.6064334,0.05281305,0.07803471,-0.6064334,0.3403561,-0.5310712,-0.2441531,0.736553,0.117367
0.05283427,0.1953318,-0.606369,0.05283427,0.07796486,-0.606369,0.3410009,-0.5305983,-0.2440894,0.7366167,0.117367
0.0523541,0.1957071,-0.6055472,0.0523541,0.07834013,-0.6055472,0.341609,-0.5302575,-0.2440604,0.7365901,0.117367
0.05237317,0.1956513,-0.6055121,0.05237317,0.07828434,-0.6055121,0.342278,-0.5298519,-0.2441581,0.7365389,0.117367
0.05183172,0.1961536,-0.6048532,0.05183172,0.07878669,-0.6048532,0.3427625,-0.5296726,-0.244201,0.7364283,0.117367
0.05176234,0.1962397,-0.6047001,0.05176234,0.07887276,-0.6047001,0.3432876,-0.5296233,-0.2440148,0.7362809,0.117367
0.05175066,0.1962066,-0.6046317,0.05175066,0.07883961,-0.6046317,0.3437875,-0.5294729,-0.2438251,0.7362186,0.117367
0.05137539,0.1965654,-0.6040504,0.05137539,0.07919843,-0.6040504,0.3442825,-0.5290456,-0.2437772,0.7363104,0.117367
0.05089498,0.1966546,-0.6035109,0.05089498,0.0792876,-0.6035109,0.3446688,-0.5286279,-0.2437224,0.7364478,0.117367
0.05083823,0.1966057,-0.6034942,0.05083823,0.07923873,-0.6034942,0.3450583,-0.5282646,-0.2435474,0.736584,0.117367
0.05034184,0.1969032,-0.6030943,0.05034184,0.07953627,-0.6030943,0.3452249,-0.5279043,-0.2433893,0.7368165,0.117367
0.04988742,0.1971092,-0.6026587,0.04988742,0.07974227,-0.6026587,0.3455403,-0.5275504,-0.2433493,0.7369353,0.117367
0.04980922,0.1970437,-0.6026323,0.04980922,0.0796767,-0.6026323,0.3457644,-0.5269375,-0.2433393,0.7372718,0.117367
0.04955959,0.1971505,-0.6023915,0.04955959,0.07978351,-0.6023915,0.3459889,-0.5264028,-0.2433709,0.7375381,0.117367
0.04956961,0.1970997,-0.6024804,0.04956961,0.07973273,-0.6024804,0.3461732,-0.5260096,-0.243406,0.7377205,0.117367
0.04951453,0.1970491,-0.6024978,0.04951453,0.07968219,-0.6024978,0.3464027,-0.5258778,-0.2433005,0.7377415,0.117367
0.04984188,0.1969082,-0.6023622,0.04984188,0.07954128,-0.6023622,0.3466878,-0.5257698,-0.2431732,0.7377266,0.117367
0.04996967,0.196959,-0.6024969,0.04996967,0.07959206,-0.6024969,0.346733,-0.5254847,-0.2431075,0.7379301,0.117367
0.04992914,0.196933,-0.6024778,0.04992914,0.07956608,-0.6024778,0.3469982,-0.5252175,-0.2430068,0.7380288,0.117367
0.04993844,0.1969624,-0.6023436,0.04993844,0.0795954,-0.6023436,0.3471204,-0.5249346,-0.2429663,0.7381859,0.117367
0.04987693,0.1970198,-0.6023214,0.04987693,0.07965286,-0.6023214,0.3471511,-0.5247326,-0.2427841,0.7383751,0.117367
0.04986072,0.1969898,-0.6023421,0.04986072,0.07962282,-0.6023421,0.3473335,-0.5247791,-0.2425821,0.7383226,0.117367
0.04992127,0.1968069,-0.6025736,0.04992127,0.07943995,-0.6025736,0.3475002,-0.52484,-0.2422309,0.7383162,0.117367
0.04986739,0.1969197,-0.6025221,0.04986739,0.07955272,-0.6025221,0.347729,-0.5248025,-0.2419701,0.7383206,0.117367
0.04983735,0.1968944,-0.6025143,0.04983735,0.07952745,-0.6025143,0.3478811,-0.5246652,-0.2418068,0.7384001,0.117367
0.04995108,0.196883,-0.6023908,0.04995108,0.07951601,-0.6023908,0.3480434,-0.5243329,-0.2419169,0.7385236,0.117367
0.04946446,0.1971102,-0.6018128,0.04946446,0.07974322,-0.6018128,0.3482231,-0.5241871,-0.2417556,0.7385952,0.117367
0.04946423,0.197089,-0.6017876,0.04946423,0.079722,-0.6017876,0.3483847,-0.5240757,-0.2417181,0.7386103,0.117367
0.04924893,0.1973104,-0.6014013,0.04924893,0.07994349,-0.6014013,0.3485721,-0.5237257,-0.2417348,0.7387646,0.117367
0.04921269,0.1974134,-0.601346,0.04921269,0.08004649,-0.601346,0.3486794,-0.5234683,-0.2417731,0.7388839,0.117367
0.04918027,0.1973994,-0.6013169,0.04918027,0.08003242,-0.6013169,0.3488676,-0.5232922,-0.2416994,0.7389439,0.117367
0.04874396,0.1976774,-0.6010246,0.04874396,0.08031042,-0.6010246,0.3490184,-0.5231981,-0.2414872,0.7390087,0.117367
0.04820919,0.1978233,-0.600436,0.04820919,0.08045633,-0.600436,0.3493808,-0.5229051,-0.2413958,0.7390747,0.117367
0.04813075,0.1977909,-0.6003551,0.04813075,0.08042391,-0.6003551,0.3495724,-0.5227672,-0.2413274,0.739104,0.117367
0.04745173,0.1982582,-0.5997283,0.04745173,0.08089121,-0.5997283,0.3499613,-0.5222723,-0.2412185,0.7393053,0.117367
0.04746938,0.1982448,-0.5997949,0.04746938,0.08087786,-0.5997949,0.3499798,-0.5218851,-0.2413541,0.7395257,0.117367
0.04740381,0.1982386,-0.5997365,0.04740381,0.08087166,-0.5997365,0.3500613,-0.5218365,-0.2413062,0.7395371,0.117367
0.04732299,0.1982424,-0.5996923,0.04732299,0.08087547,-0.5996923,0.3504322,-0.5217176,-0.2411066,0.7395104,0.117367
0.04645014,0.1988919,-0.5990465,0.04645014,0.08152492,-0.5990465,0.350602,-0.5215928,-0.2408249,0.7396098,0.117367
0.0463469,0.1988995,-0.5990033,0.0463469,0.08153255,-0.5990033,0.3508358,-0.5213813,-0.2408377,0.7396438,0.117367
0.04619694,0.1991293,-0.5984778,0.04619694,0.08176239,-0.5984778,0.3511401,-0.5209594,-0.2408271,0.7398003,0.117367
0.04583693,0.1991799,-0.5980656,0.04583693,0.08181293,-0.5980656,0.3513657,-0.5207288,-0.24074,0.7398837,0.117367
0.04575896,0.1991806,-0.5979836,0.04575896,0.08181365,-0.5979836,0.3515225,-0.5206393,-0.2406808,0.7398915,0.117367
0.04530549,0.1995096,-0.5975037,0.04530549,0.08214267,-0.5975037,0.3516867,-0.5204546,-0.2405034,0.7400011,0.117367
0.04504657,0.1995656,-0.5972404,0.04504657,0.08219869,-0.5972404,0.3520017,-0.5202025,-0.2403957,0.7400636,0.117367
0.04492211,0.1995583,-0.5971496,0.04492211,0.0821913,-0.5971496,0.3521399,-0.5198214,-0.240238,0.7403167,0.117367
0.04491067,0.1995497,-0.5969453,0.04491067,0.08218272,-0.5969453,0.3522467,-0.5195683,-0.2401941,0.7404579,0.117367
0.04489684,0.1995611,-0.5969756,0.04489684,0.08219416,-0.5969756,0.3523855,-0.5194816,-0.2399264,0.7405395,0.117367
0.04478693,0.199558,-0.5969033,0.04478693,0.08219106,-0.5969033,0.3525295,-0.5192407,-0.2397642,0.7406923,0.117367
0.04455614,0.19962,-0.5967767,0.04455614,0.08225305,-0.5967767,0.3527839,-0.5189331,-0.2396509,0.7408235,0.117367
0.04527903,0.1992936,-0.5976655,0.04527903,0.08192666,-0.5976655,0.352846,-0.5186715,-0.2396401,0.7409806,0.117367
0.04515696,0.1993005,-0.5975738,0.04515696,0.08193357,-0.5975738,0.3531492,-0.5182034,-0.2395805,0.7411829,0.117367
0.0448947,0.1993375,-0.5975797,0.0448947,0.08197053,-0.5975797,0.3534949,-0.5175483,-0.2394774,0.7415091,0.117367
0.0452559,0.1990669,-0.5980828,0.0452559,0.08169992,-0.5980828,0.3535482,-0.5173115,-0.2394935,0.7416437,0.117367
0.04516482,0.1990554,-0.5980558,0.04516482,0.08168848,-0.5980558,0.3536498,-0.5171569,-0.2394153,0.7417283,0.117367
0.0453341,0.1988018,-0.5983701,0.0453341,0.0814348,-0.5983701,0.3540894,-0.5171673,-0.2389858,0.7416498,0.117367
0.04510164,0.198853,-0.5981677,0.04510164,0.08148606,-0.5981677,0.3542475,-0.5170135,-0.2389565,0.741691,0.117367
0.04496455,0.1988616,-0.5980949,0.04496455,0.08149464,-0.5980949,0.3545474,-0.5165287,-0.2389843,0.7418765,0.117367
0.04560757,0.1982834,-0.5985239,0.04560757,0.08091648,-0.5985239,0.3547501,-0.515799,-0.2392148,0.742213,0.117367
