posX,posY,posZ,RotX,RotY,RotZ,RotW,vPosX,vPosY,vPosZ,initH
0.09580541,0.1603079,-0.6080317,0.09580541,0.08194025,-0.6080317,0.3806769,-0.6576864,-0.2078,0.6159163,0.07836764
0.09577894,0.1602852,-0.6079473,0.09577894,0.0819176,-0.6079473,0.3810949,-0.6575333,-0.2079022,0.6157869,0.07836764
0.09577894,0.1602852,-0.6079473,0.09577894,0.0819176,-0.6079473,0.3810949,-0.6575333,-0.2079022,0.6157869,0.07836764
0.09576511,0.1603887,-0.6080604,0.09576511,0.08202107,-0.6080604,0.3817879,-0.6573179,-0.2083053,0.6154512,0.07836764
0.09577227,0.160419,-0.6080215,0.09577227,0.08205135,-0.6080215,0.3822347,-0.6573251,-0.2084708,0.6151099,0.07836764
0.0957396,0.1604509,-0.607985,0.0957396,0.0820833,-0.607985,0.3827401,-0.657178,-0.2087198,0.6148685,0.07836764
0.09567761,0.1604455,-0.607831,0.09567761,0.08207782,-0.607831,0.3831595,-0.6569888,-0.2089271,0.6147389,0.07836764
0.09569168,0.1604998,-0.6077828,0.09569168,0.08213218,-0.6077828,0.3836606,-0.6568243,-0.2091816,0.6145156,0.07836764
0.09538364,0.1610072,-0.6070416,0.09538364,0.08263953,-0.6070416,0.3842224,-0.656906,-0.2092883,0.6140407,0.07836764
0.09539557,0.1611221,-0.6069357,0.09539557,0.08275445,-0.6069357,0.3847927,-0.6569914,-0.2094291,0.6135442,0.07836764
0.09533143,0.1613698,-0.6065533,0.09533143,0.08300216,-0.6065533,0.3853719,-0.6569712,-0.2097865,0.61308,0.07836764
0.09532547,0.1614957,-0.6064322,0.09532547,0.08312805,-0.6064322,0.386068,-0.6569374,-0.2100852,0.6125758,0.07836764
0.09534645,0.1616852,-0.6063025,0.09534645,0.08331759,-0.6063025,0.3867218,-0.6567577,-0.2104662,0.6122253,0.07836764
0.09514809,0.1619718,-0.605896,0.09514809,0.08360417,-0.605896,0.3874764,-0.6563134,-0.2108661,0.612087,0.07836764
0.09500933,0.1619971,-0.6057179,0.09500933,0.08362944,-0.6057179,0.3882369,-0.6556141,-0.2114738,0.6121446,0.07836764
0.09472585,0.1617796,-0.6054339,0.09472585,0.08341201,-0.6054339,0.3891911,-0.6549672,-0.2117514,0.6121353,0.07836764
0.09458208,0.1617739,-0.6051633,0.09458208,0.08340628,-0.6051633,0.3901694,-0.6543463,-0.2120502,0.6120731,0.07836764
0.09415197,0.1619647,-0.6048713,0.09415197,0.08359702,-0.6048713,0.3912591,-0.6535739,-0.2123795,0.6120886,0.07836764
0.09404516,0.1620536,-0.604564,0.09404516,0.08368595,-0.604564,0.3920634,-0.6528946,-0.2130057,0.6120813,0.07836764
0.09403992,0.1619925,-0.6042902,0.09403992,0.08362491,-0.6042902,0.3929653,-0.6519099,-0.2139196,0.6122336,0.07836764
0.09391427,0.1619623,-0.6039426,0.09391427,0.08359464,-0.6039426,0.3940317,-0.6507275,-0.2145619,0.6125815,0.07836764
0.09391427,0.1619623,-0.6039426,0.09391427,0.08359464,-0.6039426,0.3940317,-0.6507275,-0.2145619,0.6125815,0.07836764
0.09365225,0.1621621,-0.6038136,0.09365225,0.08379443,-0.6038136,0.3963431,-0.6499107,-0.2150571,0.6117833,0.07836764
0.09365225,0.1621621,-0.6038136,0.09365225,0.08379443,-0.6038136,0.3963431,-0.6499107,-0.2150571,0.6117833,0.07836764
0.09307265,0.1617064,-0.6035552,0.09307265,0.08333881,-0.6035552,0.3988172,-0.6488503,-0.2149672,0.6113324,0.07836764
0.09290934,0.1615205,-0.603528,0.09290934,0.08315285,-0.603528,0.4000311,-0.6482248,-0.2149481,0.6112095,0.07836764
0.09284425,0.161351,-0.6032317,0.09284425,0.08298333,-0.6032317,0.4012184,-0.6477846,-0.2151192,0.6108376,0.07836764
0.09251857,0.1611855,-0.6030247,0.09251857,0.08281787,-0.6030247,0.4022915,-0.6469077,-0.2157463,0.61084,0.07836764
0.09220028,0.1608889,-0.6030405,0.09220028,0.08252127,-0.6030405,0.4030415,-0.6450412,-0.2166091,0.6120129,0.07836764
0.09191775,0.1605754,-0.6028605,0.09191775,0.08220775,-0.6028605,0.4041219,-0.643333,-0.2170692,0.6129349,0.07836764
0.09191775,0.1605754,-0.6028605,0.09191775,0.08220775,-0.6028605,0.4041219,-0.643333,-0.2170692,0.6129349,0.07836764
0.09175968,0.1604168,-0.6027465,0.09175968,0.08204921,-0.6027465,0.4052648,-0.6420891,-0.2173788,0.6133747,0.07836764
0.09142375,0.1598101,-0.6023567,0.09142375,0.08144243,-0.6023567,0.4076589,-0.6397482,-0.2185041,0.6138342,0.07836764
0.09125328,0.1597004,-0.6022608,0.09125328,0.08133276,-0.6022608,0.4091331,-0.6381363,-0.2191033,0.6143175,0.07836764
0.09102178,0.1594031,-0.6021073,0.09102178,0.08103545,-0.6021073,0.410156,-0.6370845,-0.2198808,0.6144492,0.07836764
0.09107828,0.1589417,-0.6021373,0.09107828,0.08057411,-0.6021373,0.4113914,-0.6358659,-0.2201002,0.614807,0.07836764
0.09097004,0.1586256,-0.6020563,0.09097004,0.08025797,-0.6020563,0.4128753,-0.6356396,-0.2202628,0.6139874,0.07836764
0.09091401,0.1582861,-0.6019108,0.09091401,0.07991846,-0.6019108,0.413888,-0.6351259,-0.2205147,0.6137467,0.07836764
0.0907557,0.1579509,-0.6017718,0.0907557,0.07958324,-0.6017718,0.4150121,-0.6339396,-0.2208509,0.6140932,0.07836764
0.0907557,0.1579509,-0.6017718,0.0907557,0.07958324,-0.6017718,0.4150121,-0.6339396,-0.2208509,0.6140932,0.07836764
0.09063721,0.1575828,-0.6015606,0.09063721,0.07921512,-0.6015606,0.4155206,-0.6332088,-0.2214623,0.6142831,0.07836764
0.09059906,0.1568818,-0.6015849,0.09059906,0.07851417,-0.6015849,0.4155305,-0.6319118,-0.2243578,0.6145613,0.07836764
0.09034276,0.1564341,-0.6014304,0.09034276,0.07806642,-0.6014304,0.4165776,-0.6316725,-0.2246929,0.6139756,0.07836764
0.09024525,0.1562564,-0.6012971,0.09024525,0.0778888,-0.6012971,0.4181239,-0.6315619,-0.2249065,0.6129593,0.07836764
0.09009409,0.1563616,-0.6006796,0.09009409,0.07799394,-0.6006796,0.4188482,-0.6308786,-0.2262839,0.6126613,0.07836764
0.08980513,0.1561596,-0.6002271,0.08980513,0.077792,-0.6002271,0.4189892,-0.6300155,-0.2284051,0.612666,0.07836764
0.08978319,0.1560829,-0.6000431,0.08978319,0.07771523,-0.6000431,0.417938,-0.6287735,-0.231215,0.6136053,0.07836764
0.08973789,0.1560266,-0.599685,0.08973789,0.07765897,-0.599685,0.4190001,-0.6277926,-0.2317615,0.6136791,0.07836764
0.08983636,0.1561019,-0.5994546,0.08983636,0.07773431,-0.5994546,0.4194156,-0.6281885,-0.2327875,0.6126008,0.07836764
