(-0.4301133, 0.6171798, -1.89175)
(-0.4302096, 0.6170679, -1.891716)
(-0.4302306, 0.6170681, -1.891715)
(-0.4302149, 0.6170448, -1.89171)
(-0.4300675, 0.617201, -1.891738)
(-0.430088, 0.617222, -1.891791)
(-0.4300394, 0.6171912, -1.891856)
(-0.4302392, 0.6171234, -1.891844)
(-0.4302368, 0.6171331, -1.891919)
(-0.4302177, 0.617088, -1.891957)
(-0.4302466, 0.6171759, -1.892003)
(-0.4302421, 0.6171873, -1.891952)
(-0.4302444, 0.6172073, -1.891955)
(-0.4301567, 0.6171272, -1.891873)
(-0.4301691, 0.6171306, -1.891934)
(-0.4301691, 0.6171306, -1.891934)
(-0.4300942, 0.6171076, -1.891933)
(-0.4300728, 0.6171014, -1.891942)
(-0.4300604, 0.6170747, -1.891971)
(-0.4301958, 0.6170256, -1.891994)
(-0.4301863, 0.6170123, -1.891931)
(-0.4302382, 0.617053, -1.89188)
(-0.4302111, 0.6171993, -1.891947)
(-0.4301958, 0.6172013, -1.891849)
(-0.4301925, 0.6172057, -1.891883)
(-0.4301915, 0.6172377, -1.89188)
(-0.4301856, 0.6172495, -1.891873)
(-0.4301839, 0.617249, -1.891885)
(-0.4300873, 0.6172515, -1.891857)
(-0.4300942, 0.6172581, -1.891848)
(-0.4301052, 0.617267, -1.891808)
(-0.4301431, 0.6171554, -1.89176)
(-0.4301586, 0.6171566, -1.891841)
(-0.430131, 0.6171422, -1.891847)
(-0.430258, 0.6170148, -1.891837)
(-0.4302769, 0.6170181, -1.891818)
(-0.4302673, 0.6169935, -1.891812)
(-0.4303703, 0.6170032, -1.891834)
(-0.430371, 0.6170152, -1.891891)
(-0.4302905, 0.6170428, -1.891853)
(-0.4302623, 0.6171287, -1.891871)
(-0.430249, 0.61713, -1.891814)
(-0.4302433, 0.6171087, -1.891851)
(-0.4301438, 0.6172056, -1.891856)
(-0.4301476, 0.6172171, -1.89192)
(-0.4301186, 0.6171997, -1.891962)
(-0.4300597, 0.6172323, -1.891974)
(-0.4300389, 0.6172265, -1.891872)
(-0.4301028, 0.6172193, -1.891899)
(-0.4301252, 0.6171651, -1.891895)
(-0.4301305, 0.6171548, -1.891889)
(-0.4301586, 0.6172073, -1.891851)
(-0.4301836, 0.6171346, -1.891827)
(-0.4302001, 0.6171442, -1.891815)
(-0.4301896, 0.6171353, -1.891824)
(-0.4300778, 0.6171304, -1.891784)
(-0.4300559, 0.6171206, -1.89177)
(-0.4300473, 0.6171075, -1.891751)
(-0.4300289, 0.6171429, -1.89175)
(-0.4300175, 0.6171278, -1.891743)
(-0.4300051, 0.6171253, -1.891768)
(-0.4300098, 0.6171284, -1.891757)
(-0.4299798, 0.6171271, -1.891792)
(-0.4299548, 0.6171082, -1.89181)
(-0.4299517, 0.6171825, -1.891818)
(-0.4299259, 0.6171817, -1.891834)
(-0.429908, 0.6171856, -1.891852)
(-0.4299412, 0.6171873, -1.891845)
(-0.4299445, 0.6172071, -1.891918)
(-0.4299417, 0.6172056, -1.891928)
(-0.4301295, 0.6171056, -1.891944)
(-0.4301074, 0.6171091, -1.891954)
(-0.4301481, 0.6171578, -1.891913)
(-0.4300518, 0.6171503, -1.891888)
(-0.4300623, 0.617169, -1.89189)
(-0.4300513, 0.6171564, -1.891915)
(-0.4300423, 0.6171459, -1.891893)
(-0.4300411, 0.6171579, -1.891905)
(-0.4300504, 0.6171714, -1.89189)
(-0.4300032, 0.6170886, -1.891832)
(-0.4300027, 0.6170971, -1.891791)
(-0.4300163, 0.6171198, -1.891759)
(-0.4299698, 0.6170526, -1.891707)
(-0.4299612, 0.6170443, -1.891723)
(-0.4300694, 0.6170576, -1.891729)
(-0.4300821, 0.6170137, -1.891705)
(-0.4300866, 0.617018, -1.891774)
(-0.4300594, 0.6169739, -1.891794)
(-0.4302149, 0.6169143, -1.891795)
(-0.4302154, 0.6169016, -1.891783)
(-0.4302101, 0.6168853, -1.891796)
(-0.4300585, 0.6170247, -1.891822)
(-0.4300523, 0.6170248, -1.891824)
(-0.4300632, 0.6170108, -1.891816)
(-0.4300606, 0.6169878, -1.891822)
(-0.4300551, 0.6169844, -1.891867)
(-0.4300878, 0.6170286, -1.891835)
(-0.4303164, 0.6170645, -1.891885)
(-0.4302998, 0.6170518, -1.891856)
(-0.430331, 0.6170772, -1.891859)
(-0.4303899, 0.6169983, -1.891818)
(-0.4303854, 0.6169782, -1.891818)
(-0.4302087, 0.6168907, -1.891909)
(-0.4302201, 0.6168985, -1.891926)
(-0.4302158, 0.6168944, -1.891942)
(-0.4302745, 0.6169611, -1.891855)
(-0.4302816, 0.6169864, -1.891868)
(-0.4302793, 0.6169789, -1.891837)
(-0.4303238, 0.6170338, -1.89176)
(-0.4301879, 0.6171134, -1.891756)
(-0.4302025, 0.6171119, -1.891783)
(-0.4301748, 0.6170756, -1.89185)
(-0.430171, 0.6170642, -1.891825)
(-0.4301789, 0.6170604, -1.891845)
(-0.4301796, 0.6170633, -1.89186)
(-0.4301076, 0.6170088, -1.891825)
(-0.4301126, 0.6169883, -1.891832)
(-0.4301004, 0.6169701, -1.891851)
(-0.4302039, 0.6170816, -1.891926)
(-0.4302001, 0.6170827, -1.891892)
(-0.430166, 0.6170133, -1.891959)
(-0.4300115, 0.6170642, -1.891954)
(-0.4300041, 0.617058, -1.891948)
(-0.4300227, 0.6170888, -1.891954)
(-0.4299922, 0.6170459, -1.891947)
(-0.4299898, 0.6170404, -1.891951)
(-0.4300096, 0.6170745, -1.891913)
(-0.4300025, 0.6170596, -1.891907)
(-0.4299946, 0.6170602, -1.891912)
(-0.4300103, 0.6170959, -1.89191)
(-0.4299994, 0.617167, -1.891912)
(-0.4299994, 0.6171825, -1.891937)
(-0.4300222, 0.617249, -1.891905)
(-0.4299779, 0.617294, -1.891893)
(-0.4299479, 0.6172916, -1.891773)
(-0.4299593, 0.6173031, -1.891747)
(-0.4301991, 0.6172388, -1.891772)
(-0.4301991, 0.6172388, -1.891772)
(-0.4301591, 0.6172428, -1.891739)
(-0.4302435, 0.6170536, -1.891663)
(-0.4302678, 0.6170498, -1.891661)
(-0.4302487, 0.6170133, -1.89168)
(-0.4302683, 0.6171095, -1.891712)
(-0.4302704, 0.6171106, -1.891697)
(-0.4302626, 0.617108, -1.891695)
(-0.4302573, 0.6170555, -1.891655)
(-0.4302719, 0.6170546, -1.891671)
(-0.4302483, 0.6170208, -1.891698)
(-0.4304354, 0.6169569, -1.891694)
(-0.4304867, 0.6169744, -1.891703)
(-0.4304776, 0.6169753, -1.891684)
(-0.4304843, 0.6170242, -1.891704)
(-0.4304957, 0.6170092, -1.89172)
(-0.4304681, 0.616961, -1.891774)
(-0.4302506, 0.6170887, -1.891773)
(-0.4302421, 0.6170886, -1.891825)
(-0.4302766, 0.617129, -1.891796)
(-0.4303684, 0.6172514, -1.891868)
(-0.4303546, 0.6172582, -1.891868)
