(-0.5119228, -0.1593215, 0.2603025)
(-0.5119178, -0.1594384, 0.2604325)
(-0.5118628, -0.1594563, 0.26052)
(-0.5117769, -0.1597767, 0.2602835)
(-0.5116553, -0.1596408, 0.260148)
(-0.5116816, -0.1596649, 0.2600489)
(-0.5116901, -0.1596868, 0.260004)
(-0.5116327, -0.1597526, 0.2599998)
(-0.51144, -0.1597891, 0.2600994)
(-0.5115862, -0.1595333, 0.2603068)
(-0.5115771, -0.1594124, 0.2602603)
(-0.5115714, -0.1593821, 0.2602708)
(-0.5113909, -0.1597023, 0.260046)
(-0.5113857, -0.1597137, 0.2600696)
(-0.5113797, -0.1597068, 0.2600894)
(-0.5114756, -0.1596377, 0.2601144)
(-0.511591, -0.1596808, 0.2601309)
(-0.5116491, -0.1596777, 0.2601068)
(-0.5120542, -0.1596222, 0.2600944)
(-0.5120959, -0.1596241, 0.2600932)
(-0.5121193, -0.1596403, 0.260108)
(-0.5121491, -0.1595006, 0.2601221)
(-0.5120916, -0.159328, 0.2599168)
(-0.5121605, -0.1592126, 0.2595677)
(-0.5123203, -0.1589117, 0.2595882)
(-0.5124667, -0.1587491, 0.2595983)
(-0.5123911, -0.1583874, 0.2596653)
(-0.5120168, -0.1577795, 0.2595358)
(-0.5119796, -0.1567631, 0.2590852)
(-0.5127788, -0.1549037, 0.2584777)
(-0.5137661, -0.1517239, 0.2575116)
(-0.5145195, -0.1478937, 0.255811)
(-0.5118179, -0.1407328, 0.2485509)
(-0.5104947, -0.1257951, 0.2439488)
(-0.5099204, -0.1132562, 0.2443839)
(-0.5094421, -0.1024399, 0.2446905)
(-0.5096536, -0.09294629, 0.2440574)
(-0.5071671, -0.0834167, 0.2448277)
(-0.5081785, -0.07248998, 0.246138)
(-0.5071349, -0.05920744, 0.2492365)
(-0.5078757, -0.04606819, 0.2534547)
(-0.5084724, -0.03455281, 0.2595134)
(-0.5090532, -0.02287531, 0.2666044)
(-0.5080502, -0.01150584, 0.2717526)
(-0.5074468, -0.002985477, 0.2810884)
(-0.5079188, 0.006817579, 0.2896352)
(-0.5061316, 0.01530337, 0.2980022)
(-0.5048854, 0.02168798, 0.3080585)
(-0.5040765, 0.02795506, 0.3192999)
(-0.5023971, 0.03544593, 0.3281341)
(-0.5005732, 0.03770804, 0.3409421)
(-0.4985402, 0.04073167, 0.3548172)
(-0.4979947, 0.04390574, 0.3678327)
(-0.4959769, 0.04660201, 0.3794551)
(-0.4935374, 0.04717636, 0.3926222)
(-0.4911041, 0.04706192, 0.404804)
(-0.4885128, 0.04712701, 0.4171987)
(-0.4857621, 0.04443765, 0.4287062)
(-0.4834378, 0.04344463, 0.440856)
(-0.480736, 0.03960156, 0.4522343)
(-0.4775956, 0.03548789, 0.463336)
(-0.4757495, 0.03147578, 0.4734077)
(-0.4738245, 0.02746081, 0.4824381)
(-0.4712381, 0.02292585, 0.4908662)
(-0.4700429, 0.01774096, 0.4990432)
(-0.4682465, 0.01307154, 0.5071554)
(-0.466888, 0.006429434, 0.5128345)
(-0.4657769, -0.0003154278, 0.5185974)
(-0.465678, -0.008271456, 0.5243425)
(-0.4649692, -0.01812649, 0.529146)
(-0.4648137, -0.02756548, 0.5337498)
(-0.4649835, -0.03614259, 0.5377214)
(-0.4653573, -0.04507923, 0.5401387)
(-0.4656818, -0.04837799, 0.539834)
(-0.4611115, -0.02706742, 0.5296192)
(-0.4627736, -0.02322102, 0.5210376)
(-0.4632001, -0.0224576, 0.5180175)
(-0.4632268, -0.02843595, 0.5170772)
(-0.4620333, -0.03261352, 0.5167551)
(-0.4638751, -0.03578854, 0.5184972)
(-0.4619462, -0.03783107, 0.5237529)
(-0.4628837, -0.03625131, 0.5255105)
(-0.463243, -0.0332613, 0.5247514)
(-0.4655845, -0.03335094, 0.5240383)
(-0.4655561, -0.03572154, 0.5227726)
(-0.4650092, -0.03587437, 0.5220361)
(-0.4639769, -0.03605914, 0.5214834)
(-0.4651392, -0.03692579, 0.5211985)
(-0.4658768, -0.03688598, 0.5210633)
(-0.4666193, -0.03621936, 0.5202322)
(-0.4674168, -0.03577542, 0.5202847)
(-0.4664657, -0.03599668, 0.5205262)
(-0.4659839, -0.0369041, 0.5210817)
(-0.4660647, -0.03670144, 0.5217817)
(-0.4659591, -0.03659344, 0.5214508)
(-0.466558, -0.03636336, 0.5209057)
(-0.4667461, -0.03597879, 0.5208941)
(-0.4667206, -0.03613091, 0.520973)
(-0.4666536, -0.03622437, 0.5210688)
(-0.4663196, -0.03598332, 0.5213263)
(-0.4663377, -0.03613186, 0.5214207)
(-0.466445, -0.0360775, 0.5214484)
(-0.4663363, -0.03588796, 0.5216832)
(-0.4659839, -0.03558421, 0.5214283)
(-0.4658315, -0.03560305, 0.5212793)
(-0.4653587, -0.03575087, 0.5211129)
(-0.4654131, -0.03585958, 0.5212085)
(-0.4653687, -0.03579879, 0.5212877)
(-0.4651926, -0.03586555, 0.5213518)
(-0.4649835, -0.03585744, 0.5212941)
(-0.4646125, -0.03594613, 0.5214255)
(-0.4641542, -0.03626299, 0.5211935)
(-0.4637411, -0.03639722, 0.5211871)
(-0.4633093, -0.0366168, 0.5214636)
(-0.4629412, -0.03691745, 0.521574)
(-0.4627881, -0.03690553, 0.5215187)
(-0.4626701, -0.03704405, 0.5215797)
(-0.4623246, -0.03714991, 0.5215096)
(-0.4619656, -0.03723192, 0.5214555)
(-0.4617908, -0.03746629, 0.5214019)
(-0.461823, -0.03764415, 0.52142)
(-0.4619267, -0.037606, 0.5215182)
(-0.4617763, -0.03759289, 0.5215905)
(-0.4615564, -0.03773808, 0.521472)
(-0.4613733, -0.03794575, 0.5215375)
(-0.4610946, -0.03804231, 0.5217915)
(-0.4611375, -0.0380249, 0.5217786)
(-0.461251, -0.03800082, 0.5217123)
(-0.4611137, -0.03793859, 0.5218167)
(-0.4609978, -0.03797054, 0.5218265)
(-0.4609711, -0.03801584, 0.5217569)
(-0.460927, -0.03805447, 0.5215521)
(-0.4608719, -0.03816557, 0.5215275)
(-0.4609294, -0.03811407, 0.5215359)
(-0.4609683, -0.03820395, 0.5213566)
(-0.4608994, -0.03806973, 0.5213599)
(-0.4608653, -0.03807306, 0.5211723)
(-0.4606488, -0.03812981, 0.5210435)
(-0.4603076, -0.03830409, 0.5210156)
(-0.4601903, -0.03835559, 0.5210133)
(-0.4601521, -0.03840852, 0.521055)
(-0.4603381, -0.03836441, 0.5211782)
(-0.4604375, -0.03834486, 0.5211596)
(-0.4604659, -0.03832173, 0.5212114)
(-0.4605725, -0.03846955, 0.5211866)
(-0.4605255, -0.03854489, 0.5213997)
(-0.460453, -0.03840113, 0.5210588)
(-0.4606495, -0.03813219, 0.5210717)
(-0.4610062, -0.0381887, 0.5212071)
(-0.46119, -0.03779912, 0.5211043)
(-0.4615226, -0.03747416, 0.5210226)
(-0.4616764, -0.03728461, 0.5209045)
(-0.4621065, -0.03722143, 0.5211463)
(-0.4624953, -0.03722095, 0.5215476)
(-0.4631393, -0.03674388, 0.522377)
(-0.4634254, -0.03599072, 0.5230532)
(-0.4640958, -0.03518581, 0.523802)
(-0.4645827, -0.03430939, 0.5244493)
(-0.4653583, -0.03301334, 0.5254409)
(-0.4658401, -0.03131461, 0.5267544)
(-0.467684, -0.02919364, 0.5281496)
(-0.4700108, -0.02514911, 0.5296094)
(-0.4716039, -0.01995492, 0.5314572)
(-0.4735699, -0.00944066, 0.5333731)
(-0.4749937, 0.001871824, 0.5343339)
(-0.4730482, 0.01546812, 0.534657)
(-0.4736354, 0.02548075, 0.5366068)
(-0.4720879, 0.03645706, 0.5372794)
(-0.4716921, 0.04998565, 0.53881)
(-0.4717286, 0.0624299, 0.5428944)
(-0.4716513, 0.07422233, 0.5480144)
(-0.4725311, 0.08573389, 0.5534019)
(-0.4724379, 0.09615803, 0.5593686)
(-0.4728184, 0.1057115, 0.5654163)
(-0.4741147, 0.115247, 0.5740228)
(-0.4738147, 0.1245131, 0.5819132)
(-0.4744396, 0.1325195, 0.5923605)
(-0.4741673, 0.1387851, 0.6029296)
(-0.4727404, 0.1438253, 0.6123204)
(-0.4720881, 0.1473825, 0.6233499)
(-0.4715791, 0.1515419, 0.634496)
(-0.4703355, 0.1545603, 0.6457946)
(-0.4694414, 0.1561723, 0.6583657)
(-0.4688404, 0.1588045, 0.670846)
(-0.4673531, 0.159176, 0.6828218)
(-0.4656177, 0.1587332, 0.6953645)
(-0.463593, 0.1575017, 0.7085369)
(-0.4618123, 0.1566281, 0.7202353)
(-0.4594593, 0.1538607, 0.7318764)
(-0.4572554, 0.151468, 0.7428374)
(-0.4558203, 0.1478429, 0.7541327)
(-0.4541428, 0.1445956, 0.7649169)
(-0.4522769, 0.1405962, 0.7743998)
(-0.4515898, 0.1369514, 0.784765)
(-0.4499846, 0.133193, 0.79408)
(-0.447629, 0.12692, 0.8021955)
(-0.4464455, 0.1207135, 0.8098562)
(-0.4448125, 0.1143491, 0.8165035)
(-0.4431331, 0.1076217, 0.8224754)
(-0.442358, 0.1006553, 0.8276041)
(-0.4411175, 0.09367681, 0.8311987)
(-0.4407172, 0.08778191, 0.83548)
(-0.4409051, 0.08202291, 0.8384039)
(-0.440587, 0.07910085, 0.8392727)
(-0.4363434, 0.09075332, 0.833375)
(-0.4358101, 0.09355354, 0.8304377)
(-0.4364781, 0.09458232, 0.8264821)
(-0.4373171, 0.08954954, 0.8208756)
(-0.4386816, 0.08651853, 0.8216388)
(-0.4366748, 0.0848453, 0.8238571)
(-0.434835, 0.08491778, 0.8241444)
(-0.4342465, 0.08655119, 0.8238416)
(-0.4383068, 0.0866158, 0.8246915)
(-0.4401977, 0.08534455, 0.8262641)
(-0.4390898, 0.08655858, 0.8269312)
