(-0.1054218, 0.8361248, -2.331896)
(-0.1055088, 0.8360484, -2.331876)
(-0.1054924, 0.8360261, -2.331921)
(-0.1053128, 0.8360608, -2.33187)
(-0.1052186, 0.8361542, -2.331876)
(-0.1052196, 0.8362178, -2.331948)
(-0.1052535, 0.8361957, -2.331957)
(-0.1052473, 0.8361924, -2.331969)
(-0.1052542, 0.8362226, -2.3319)
(-0.1052523, 0.8361961, -2.331915)
(-0.1052201, 0.8362607, -2.331917)
(-0.1052036, 0.8362629, -2.331892)
(-0.1050816, 0.836203, -2.3319)
(-0.1051037, 0.8361348, -2.331896)
(-0.1050818, 0.8361441, -2.331845)
(-0.1050348, 0.8361422, -2.331832)
(-0.1049528, 0.8362081, -2.331845)
(-0.1050026, 0.8362797, -2.331803)
(-0.1049538, 0.8362936, -2.331773)
(-0.1049559, 0.8362794, -2.331769)
(-0.1049244, 0.8362869, -2.331746)
(-0.1049597, 0.8363092, -2.331718)
(-0.1049812, 0.8362696, -2.331687)
(-0.1049621, 0.836283, -2.331735)
(-0.1052399, 0.8361968, -2.331801)
(-0.1051843, 0.836278, -2.331802)
(-0.1051509, 0.8362375, -2.331834)
(-0.1051476, 0.8362167, -2.331829)
(-0.1051412, 0.836231, -2.331835)
(-0.1051345, 0.8362297, -2.331841)
(-0.1052349, 0.8362441, -2.331827)
(-0.1052253, 0.8362746, -2.331824)
(-0.1052217, 0.8362917, -2.331875)
(-0.1051781, 0.8362156, -2.331912)
(-0.1052687, 0.836127, -2.331899)
(-0.1052926, 0.836156, -2.331923)
(-0.105417, 0.8361238, -2.331956)
(-0.1055119, 0.8360353, -2.331942)
(-0.1055186, 0.8360249, -2.331967)
(-0.1055825, 0.836053, -2.33194)
(-0.1054311, 0.8361015, -2.331891)
(-0.1054251, 0.8360856, -2.331864)
(-0.1053185, 0.8360894, -2.331855)
(-0.1052573, 0.8361088, -2.331849)
(-0.1052475, 0.8361396, -2.331803)
(-0.1051812, 0.8361475, -2.331799)
(-0.105212, 0.8361087, -2.331793)
(-0.1052041, 0.836135, -2.331882)
(-0.1052163, 0.8361355, -2.331888)
(-0.1052325, 0.8360728, -2.331894)
(-0.105221, 0.8360857, -2.331934)
(-0.1053655, 0.8360724, -2.331948)
(-0.105325, 0.8361125, -2.331992)
(-0.1053922, 0.8361807, -2.331858)
(-0.1055307, 0.8361496, -2.331889)
(-0.1055439, 0.8361367, -2.331898)
(-0.1055543, 0.8361443, -2.331906)
(-0.1056073, 0.8361385, -2.331913)
(-0.1055446, 0.8362174, -2.331921)
(-0.1055484, 0.8362254, -2.331889)
(-0.1053708, 0.8362242, -2.331853)
