(-0.8137817, 0.0405395, 0.01003981)
(-0.8139427, 0.04042161, 0.01011503)
(-0.8138733, 0.04038906, 0.01024234)
(-0.8138585, 0.04045582, 0.01034522)
(-0.8136989, 0.04057586, 0.01025295)
(-0.8137324, 0.04068506, 0.01022041)
(-0.813848, 0.04057384, 0.01012516)
(-0.8141196, 0.04043615, 0.01031387)
(-0.8139718, 0.04044902, 0.01038492)
(-0.8139467, 0.04039252, 0.01025963)
(-0.813871, 0.04037511, 0.0101949)
(-0.8138278, 0.04030216, 0.01023793)
(-0.8138908, 0.0402379, 0.01022494)
(-0.8135933, 0.0404743, 0.01019382)
(-0.8137709, 0.040501, 0.01009774)
(-0.8137565, 0.04050612, 0.01009202)
(-0.813557, 0.04060555, 0.01011395)
(-0.8137356, 0.04060364, 0.009945393)
(-0.8137492, 0.04059279, 0.009909868)
(-0.8138602, 0.04049194, 0.009814382)
(-0.8137953, 0.04067218, 0.009746552)
(-0.8138881, 0.04069316, 0.009760857)
(-0.8139025, 0.0407598, 0.009695172)
(-0.8141116, 0.04070413, 0.009562016)
(-0.8142606, 0.04052472, 0.009416938)
(-0.8142945, 0.04054284, 0.009374976)
(-0.8142347, 0.04053891, 0.009349108)
(-0.8148786, 0.04001188, 0.008829594)
(-0.8149897, 0.03967237, 0.009373546)
(-0.8148332, 0.03969264, 0.009437561)
(-0.8147491, 0.03969765, 0.009629011)
(-0.8148757, 0.03987098, 0.009529233)
(-0.8146429, 0.03995275, 0.009586573)
(-0.8146132, 0.03996515, 0.009679317)
(-0.8143137, 0.04000318, 0.009442568)
(-0.8142238, 0.0401665, 0.009504318)
(-0.8140939, 0.04044712, 0.009509921)
(-0.8140162, 0.0413748, 0.009934783)
(-0.81409, 0.04301131, 0.0104419)
(-0.8144335, 0.04471755, 0.01097441)
(-0.8148398, 0.04621387, 0.01104438)
(-0.8157133, 0.05054843, 0.01063561)
(-0.8158249, 0.05591357, 0.01048887)
(-0.8168411, 0.06059313, 0.01109076)
(-0.8160475, 0.06523609, 0.01153123)
(-0.8166744, 0.06919873, 0.01160479)
(-0.8171759, 0.07442224, 0.01113093)
(-0.816981, 0.08005881, 0.01104605)
(-0.8161435, 0.08599985, 0.01234257)
(-0.8158522, 0.09145951, 0.01274872)
(-0.8145244, 0.09626365, 0.01360524)
(-0.8131696, 0.1014278, 0.01497591)
(-0.8117903, 0.1071544, 0.01537323)
(-0.8095741, 0.1116431, 0.01622367)
(-0.8069974, 0.1165583, 0.01751423)
(-0.8045419, 0.1208879, 0.0178529)
(-0.8014133, 0.1242814, 0.01863146)
(-0.7976127, 0.1275158, 0.01967871)
(-0.79434, 0.1310908, 0.0197922)
(-0.7898687, 0.1330966, 0.02033365)
(-0.7855432, 0.1357623, 0.02125752)
(-0.7805265, 0.1378686, 0.02173531)
(-0.7752789, 0.1393688, 0.02267051)
(-0.7703543, 0.1406461, 0.02312183)
(-0.7650992, 0.1412677, 0.02348018)
(-0.7598441, 0.1415796, 0.02407098)
(-0.7543503, 0.1418134, 0.02473533)
(-0.7490116, 0.1421654, 0.02529323)
(-0.7436177, 0.1419294, 0.02586579)
(-0.7382114, 0.1412714, 0.02612436)
(-0.7320884, 0.1403642, 0.02666128)
(-0.7266232, 0.1397331, 0.02703691)
(-0.7215899, 0.1383681, 0.02712679)
(-0.716167, 0.1368355, 0.02742302)
(-0.7112461, 0.1353486, 0.0276947)
(-0.7066752, 0.1335921, 0.02770627)
(-0.7015728, 0.1320695, 0.02768946)
(-0.6968918, 0.1302527, 0.02813661)
(-0.6930202, 0.1281803, 0.0280503)
(-0.6885089, 0.1260328, 0.02832294)
(-0.6847943, 0.1240351, 0.02853119)
(-0.6815814, 0.1214277, 0.02845943)
(-0.678053, 0.1187383, 0.02855957)
(-0.6751764, 0.1163745, 0.02887905)
(-0.6724237, 0.1142457, 0.02932441)
(-0.6696041, 0.1118593, 0.02960992)
(-0.6674449, 0.1090167, 0.03001046)
(-0.6655225, 0.1051397, 0.02981412)
(-0.6624337, 0.1009268, 0.02937794)
(-0.6603543, 0.09866047, 0.02789462)
(-0.6631894, 0.1064956, 0.02251339)
(-0.6691885, 0.1070478, 0.02211428)
(-0.6729463, 0.1058915, 0.02788556)
(-0.671384, 0.1052525, 0.02948225)
(-0.6674269, 0.1071008, 0.02753258)
(-0.6653928, 0.1071423, 0.02751505)
(-0.6637943, 0.1057286, 0.02622795)
(-0.6626608, 0.10312, 0.02699971)
(-0.6638401, 0.1024699, 0.02746606)
(-0.66592, 0.1043741, 0.02655053)
(-0.6666092, 0.1047337, 0.02642846)
(-0.6659859, 0.104862, 0.02748418)
(-0.6639698, 0.1051253, 0.02710724)
(-0.6622152, 0.1052606, 0.02701938)
(-0.6614478, 0.1054337, 0.02698874)
(-0.6610268, 0.1051974, 0.02727246)
(-0.6598927, 0.1059412, 0.02833652)
(-0.6585751, 0.1057609, 0.02932024)
(-0.6570586, 0.105873, 0.02910626)
(-0.6553688, 0.1063262, 0.02918506)
(-0.6542184, 0.1085894, 0.02920544)
(-0.6525872, 0.1117451, 0.02919292)
(-0.6519471, 0.1152668, 0.02869737)
(-0.6505902, 0.1191986, 0.02854753)
(-0.6510503, 0.1239474, 0.02757609)
(-0.6510097, 0.1289283, 0.02677715)
(-0.6520007, 0.1372986, 0.0265255)
(-0.6545699, 0.1443086, 0.02623951)
(-0.6539135, 0.1518296, 0.02670717)
(-0.6540534, 0.1583658, 0.02533162)
(-0.6537516, 0.1651067, 0.02425563)
(-0.652524, 0.1720715, 0.02273178)
(-0.6504437, 0.1791137, 0.0217135)
(-0.6481906, 0.1864611, 0.02163351)
(-0.6449914, 0.1945972, 0.02090383)
(-0.6413621, 0.2017224, 0.02074564)
(-0.6363569, 0.2088921, 0.02140987)
(-0.6319911, 0.2158781, 0.02187967)
(-0.6271989, 0.2221446, 0.02258372)
(-0.6206943, 0.2280127, 0.0236721)
(-0.6143783, 0.2334619, 0.024104)
(-0.6084723, 0.2386845, 0.02478874)
(-0.5998731, 0.2414986, 0.02621555)
(-0.5917807, 0.2453523, 0.02685225)
(-0.5845966, 0.2489862, 0.02780056)
(-0.5740973, 0.250294, 0.02902853)
(-0.5651511, 0.2530889, 0.02927804)
(-0.5552566, 0.2547012, 0.02999794)
(-0.5452151, 0.2559855, 0.0310452)
(-0.5355771, 0.2568509, 0.03203166)
(-0.5258952, 0.257803, 0.03325856)
(-0.5158705, 0.257865, 0.03518915)
(-0.5049694, 0.2584923, 0.03653276)
(-0.4945287, 0.2584321, 0.03826642)
(-0.4841582, 0.2584808, 0.04004633)
(-0.4735171, 0.258513, 0.04156053)
(-0.463225, 0.2580594, 0.04325223)
(-0.4534006, 0.2575008, 0.04437554)
(-0.4437957, 0.256574, 0.04578602)
(-0.4345162, 0.2560704, 0.04696023)
(-0.426035, 0.2552812, 0.04768646)
(-0.4172987, 0.2539999, 0.0487684)
(-0.4109331, 0.2531406, 0.04931247)
(-0.4053782, 0.252465, 0.05003035)
(-0.3991922, 0.2511173, 0.05121458)
(-0.3952234, 0.2495673, 0.0519563)
(-0.3923589, 0.2472985, 0.05271363)
(-0.3892928, 0.2446626, 0.05429041)
(-0.3863136, 0.2429141, 0.05525959)
(-0.3840472, 0.2408376, 0.05575192)
(-0.3818938, 0.2383974, 0.05670047)
(-0.3813227, 0.2345802, 0.05846381)
(-0.38002, 0.230289, 0.05827558)
(-0.3803533, 0.2292632, 0.05865777)
(-0.3870234, 0.23657, 0.05998743)
(-0.3863184, 0.235436, 0.05731928)
(-0.3852246, 0.2355592, 0.05758965)
(-0.3839257, 0.2333417, 0.05711639)
(-0.3803774, 0.2334697, 0.05812919)
(-0.379326, 0.2323003, 0.05942869)
(-0.3797154, 0.232764, 0.05959392)
(-0.3785148, 0.2321607, 0.05955839)
(-0.3805381, 0.2333888, 0.05893528)
(-0.3808364, 0.2342303, 0.05922973)
(-0.3802534, 0.2339661, 0.05905056)
(-0.3792834, 0.2346801, 0.05885184)
(-0.377929, 0.2350532, 0.05939853)
(-0.3772351, 0.2353206, 0.05952048)
(-0.3765028, 0.2363312, 0.05960822)
(-0.3755196, 0.2370808, 0.060094)
(-0.3743985, 0.237198, 0.06003845)
(-0.3725882, 0.2375147, 0.06001389)
(-0.3703555, 0.2383895, 0.06014621)
(-0.3679607, 0.240321, 0.06035566)
(-0.3662487, 0.2432593, 0.06011534)
(-0.3643514, 0.2479181, 0.06059527)
(-0.362414, 0.2518363, 0.06089151)
(-0.3609338, 0.2561182, 0.06201196)
(-0.3588485, 0.2621808, 0.06293464)
(-0.3573748, 0.2684647, 0.06325567)
(-0.3566334, 0.2755547, 0.06397867)
(-0.3560216, 0.2828636, 0.06435692)
(-0.3552411, 0.2897552, 0.06443977)
(-0.3541989, 0.2964256, 0.06502581)
(-0.3513767, 0.3038187, 0.06518078)
(-0.3484907, 0.3112367, 0.06646538)
(-0.3457254, 0.3183123, 0.06714988)
(-0.3415481, 0.3254974, 0.06812751)
(-0.3377321, 0.3329825, 0.06980276)
(-0.3337189, 0.34019, 0.07019019)
(-0.3289186, 0.3464564, 0.07114136)
(-0.3233187, 0.3526673, 0.07246673)
(-0.3186753, 0.3588576, 0.07327759)
(-0.3118984, 0.3643945, 0.07424998)
(-0.3053005, 0.3694142, 0.07601058)
(-0.299194, 0.3740673, 0.07700992)
(-0.2921704, 0.3774295, 0.07811666)
(-0.2846918, 0.3810204, 0.0796876)
(-0.2776121, 0.3844743, 0.08070135)
(-0.2695241, 0.3873386, 0.08194184)
(-0.2613369, 0.3898726, 0.08345115)
(-0.2535653, 0.3923303, 0.08456945)
(-0.2444327, 0.3941534, 0.08564162)
(-0.2362301, 0.3951156, 0.08654642)
(-0.2280483, 0.3960979, 0.08742571)
(-0.2193542, 0.3966335, 0.08814716)
(-0.211468, 0.3969101, 0.08877528)
(-0.2019383, 0.3967453, 0.08972776)
(-0.1933286, 0.3964847, 0.09037924)
(-0.1850209, 0.3959306, 0.09116566)
(-0.1765835, 0.3951342, 0.09209478)
(-0.1682008, 0.3940606, 0.09293771)
(-0.1603608, 0.392731, 0.09357536)
(-0.1523697, 0.3913751, 0.09469271)
(-0.1435577, 0.389529, 0.09580398)
(-0.1359342, 0.3873622, 0.09644127)
(-0.1283795, 0.3854297, 0.09774983)
(-0.1217576, 0.3841034, 0.09864879)
(-0.1154804, 0.3825303, 0.0992533)
(-0.1099164, 0.380957, 0.1001318)
(-0.1047071, 0.3790993, 0.1008168)
(-0.1003454, 0.3767267, 0.1013536)
(-0.09570146, 0.374018, 0.1024431)
(-0.09117919, 0.3715383, 0.1030334)
(-0.08764482, 0.3689976, 0.1032971)
(-0.08471137, 0.3670525, 0.1039933)
(-0.08223283, 0.3652739, 0.1044968)
(-0.07970756, 0.3623654, 0.1032968)
(-0.07685173, 0.359475, 0.104493)
(-0.07624751, 0.3585106, 0.1028337)
(-0.07990986, 0.3602353, 0.09842241)
(-0.08585304, 0.3615673, 0.09784913)
(-0.08951932, 0.36151, 0.09959853)
(-0.08881855, 0.3612097, 0.1007117)
(-0.08467132, 0.3622878, 0.09938836)
(-0.07990998, 0.3614495, 0.1005318)
(-0.07694232, 0.360243, 0.1020687)
(-0.07549155, 0.3601237, 0.1016116)
(-0.07594979, 0.3590028, 0.1020144)
(-0.07737958, 0.3602395, 0.09944749)
(-0.08056056, 0.3608463, 0.09859431)
(-0.08104742, 0.3604488, 0.09996819)
(-0.08001661, 0.3603807, 0.1005127)
(-0.07740784, 0.3622365, 0.09912229)
(-0.0753901, 0.3621464, 0.09965718)
(-0.07439268, 0.3619238, 0.09978557)
(-0.07357126, 0.3627486, 0.1002069)
(-0.07305723, 0.3628278, 0.1004508)
(-0.07207316, 0.3626808, 0.1001177)
(-0.07076305, 0.3631188, 0.1002901)
(-0.06855935, 0.3639403, 0.1011441)
(-0.06720632, 0.3642884, 0.1018494)
(-0.06594318, 0.3655091, 0.1025333)
(-0.06469584, 0.3670885, 0.1030672)
(-0.06313229, 0.3698646, 0.103533)
(-0.06190491, 0.3731159, 0.1035607)
(-0.06004775, 0.3776512, 0.1037055)
(-0.05891097, 0.3818391, 0.1033561)
(-0.05706954, 0.3863269, 0.103792)
(-0.05815744, 0.3921348, 0.1034534)
(-0.05804086, 0.398441, 0.1036457)
(-0.05742258, 0.4023731, 0.1037209)
(-0.05674738, 0.4067587, 0.1029871)
(-0.05644053, 0.41079, 0.1021087)
(-0.05553484, 0.4154714, 0.1014405)
(-0.05433059, 0.4205059, 0.1013089)
(-0.05291736, 0.4254048, 0.1012048)
(-0.05096751, 0.4303361, 0.1004549)
(-0.0487209, 0.4344512, 0.1001207)
(-0.04619449, 0.438387, 0.1000003)
(-0.0444206, 0.4423766, 0.100068)
(-0.0420146, 0.4459975, 0.1002127)
(-0.03930587, 0.4489182, 0.100729)
(-0.03653598, 0.4514909, 0.100859)
(-0.0328427, 0.4532122, 0.1014693)
(-0.02953106, 0.4547406, 0.1021725)
(-0.02562481, 0.4559565, 0.1026366)
(-0.02106518, 0.4565905, 0.1033984)
(-0.01609749, 0.4570606, 0.1038259)
(-0.01156062, 0.4576448, 0.1042515)
(-0.006386995, 0.4571565, 0.1053947)
(-0.001340747, 0.4562171, 0.107107)
(0.00392133, 0.4551557, 0.1081862)
(0.0101133, 0.4535675, 0.109426)
(0.01567721, 0.4508572, 0.1102296)
(0.0211615, 0.4496997, 0.1119618)
(0.02774501, 0.4485657, 0.1137965)
(0.03286493, 0.4467743, 0.1152035)
(0.03879786, 0.4451478, 0.1165121)
(0.04454565, 0.4439707, 0.1175628)
(0.0495764, 0.4425469, 0.1183704)
(0.05475885, 0.4413698, 0.1198523)
(0.06026322, 0.44022, 0.1205524)
(0.06406146, 0.4386993, 0.1209004)
(0.06847835, 0.4374931, 0.1215018)
(0.07174379, 0.4364744, 0.1216971)
(0.07443273, 0.4352043, 0.1217159)
(0.07749462, 0.4339204, 0.1223073)
(0.0789634, 0.4330462, 0.1224808)
(0.07988018, 0.4317921, 0.1224933)
(0.08099127, 0.4302996, 0.1227564)
