(-0.08310477, -0.8536444, 0.5141838)
(-0.08118857, -0.855155, 0.5119749)
(-0.07798539, -0.8573672, 0.5087631)
(-0.07231243, -0.8591163, 0.506646)
(-0.06471372, -0.8587574, 0.5082793)
(-0.05714296, -0.8572955, 0.5116435)
(-0.05265661, -0.857174, 0.5123281)
(-0.05062898, -0.8578062, 0.5114736)
(-0.05020209, -0.8577011, 0.5116919)
(-0.05054823, -0.8566694, 0.5133833)
(-0.05477659, -0.8552513, 0.5153105)
(-0.05592386, -0.8551226, 0.5154006)
(-0.0621784, -0.8552412, 0.5144865)
(-0.06544721, -0.8557841, 0.5131767)
(-0.07030782, -0.8547444, 0.5142654)
(-0.0768203, -0.8541074, 0.5143921)
(-0.07969575, -0.85356, 0.5148631)
(-0.07768528, -0.8527439, 0.5165199)
(-0.07218023, -0.8524906, 0.5177352)
(-0.06701924, -0.8516753, 0.519767)
(-0.05984259, -0.8496869, 0.5238808)
(-0.05229041, -0.8472548, 0.5286068)
(-0.04280303, -0.8436386, 0.5352026)
(-0.03208357, -0.840005, 0.5416294)
(-0.02265894, -0.8369821, 0.546761)
(-0.01595271, -0.8348127, 0.5503029)
(-0.01220068, -0.8346793, 0.5506012)
(-0.00811933, -0.8346599, 0.5507059)
(-0.00469017, -0.8359131, 0.5488417)
(-0.002242327, -0.8383006, 0.5452038)
(-0.001828998, -0.8412122, 0.540702)
(-0.00102596, -0.8411582, 0.5407882)
(0.000289768, -0.8387469, 0.5445215)
(0.002663478, -0.8351579, 0.5500038)
(0.005626768, -0.8330019, 0.5532416)
(0.008843616, -0.8323528, 0.5541757)
(0.01198797, -0.8329667, 0.5531933)
(0.01416366, -0.8363431, 0.5480235)
(0.01557556, -0.8374873, 0.5462347)
(0.01516742, -0.8373135, 0.5465126)
(0.01644394, -0.8367512, 0.5473363)
(0.01675461, -0.8358873, 0.5486455)
(0.01614866, -0.8354573, 0.549318)
(0.01544751, -0.8360708, 0.5484041)
(0.01439677, -0.8381023, 0.5453231)
(0.01313451, -0.8410208, 0.5408433)
(0.01147367, -0.8443148, 0.5357246)
(0.01001239, -0.8475204, 0.5306685)
(0.008463532, -0.8504404, 0.5260034)
(0.006529123, -0.8529345, 0.5219772)
(0.005222231, -0.8553615, 0.5180054)
(0.004098654, -0.8578306, 0.5139163)
(0.002270788, -0.8605677, 0.5093311)
(-0.001209736, -0.8643242, 0.5029337)
(-0.003788084, -0.866506, 0.4991522)
(-0.004772276, -0.8685346, 0.4956056)
(-0.005960882, -0.8716221, 0.4901422)
(-0.007134438, -0.8758799, 0.4824764)
(-0.009308815, -0.8812367, 0.4725835)
