(-0.4625764, 0.6135584, -1.776994)
(-0.4625854, 0.6135585, -1.777075)
(-0.4626107, 0.6135714, -1.777067)
(-0.462492, 0.6135564, -1.777002)
(-0.4624815, 0.6135463, -1.776974)
(-0.4624462, 0.6135033, -1.777016)
(-0.4623485, 0.6135423, -1.777007)
(-0.4623599, 0.613561, -1.777049)
(-0.4623599, 0.613561, -1.777049)
(-0.4625053, 0.6134671, -1.777069)
(-0.4625025, 0.6134646, -1.777088)
(-0.4625416, 0.613505, -1.777075)
(-0.4623375, 0.6136392, -1.777127)
(-0.4623189, 0.6136384, -1.777081)
(-0.4622364, 0.6135288, -1.777174)
(-0.4621649, 0.6135583, -1.77719)
(-0.4621122, 0.6135236, -1.777108)
(-0.4621525, 0.613573, -1.777081)
(-0.4621649, 0.6135726, -1.777067)
(-0.4621613, 0.6135879, -1.77709)
(-0.4621861, 0.6136425, -1.777062)
(-0.4621792, 0.6136622, -1.777033)
(-0.4621601, 0.613658, -1.77705)
(-0.4621916, 0.6136912, -1.777041)
(-0.4625101, 0.6135323, -1.777017)
(-0.4625154, 0.6135299, -1.77697)
(-0.4625225, 0.613533, -1.776951)
(-0.4625759, 0.6135283, -1.776963)
(-0.4625859, 0.6135256, -1.776945)
(-0.4625752, 0.613483, -1.776957)
(-0.4624636, 0.6135017, -1.776951)
(-0.4624746, 0.6135169, -1.776948)
(-0.4624782, 0.6135241, -1.776931)
(-0.46242, 0.6134969, -1.776891)
(-0.4624321, 0.6135204, -1.776934)
(-0.462456, 0.6135396, -1.776917)
(-0.4624701, 0.6136267, -1.776951)
(-0.4624586, 0.6136237, -1.776887)
(-0.4624214, 0.6135724, -1.776908)
(-0.4624343, 0.6136101, -1.776902)
(-0.4624548, 0.613608, -1.776921)
(-0.4624891, 0.6136258, -1.776917)
(-0.4623117, 0.6136518, -1.776898)
(-0.462306, 0.6136447, -1.776894)
(-0.462296, 0.6136463, -1.776881)
(-0.4624305, 0.6136053, -1.776887)
(-0.4624333, 0.6135967, -1.776923)
(-0.4624312, 0.6135867, -1.776919)
(-0.4626393, 0.6134914, -1.776918)
(-0.4626575, 0.6134996, -1.776924)
(-0.462703, 0.6135273, -1.776891)
(-0.4625165, 0.6135641, -1.776875)
(-0.4625239, 0.6135852, -1.77691)
(-0.4625154, 0.6135294, -1.77696)
(-0.4626484, 0.6134359, -1.776928)
(-0.4626446, 0.6134113, -1.776929)
(-0.4626069, 0.6133032, -1.776982)
(-0.4624686, 0.6133136, -1.77695)
(-0.4624755, 0.6132904, -1.776978)
(-0.4624786, 0.6132916, -1.776954)
(-0.4623628, 0.6133687, -1.776988)
(-0.462359, 0.6133556, -1.777012)
(-0.462368, 0.6133525, -1.777004)
(-0.4623675, 0.6133344, -1.776993)
(-0.4623647, 0.6133229, -1.777077)
(-0.462399, 0.6133733, -1.777052)
(-0.4623952, 0.6133615, -1.777061)
(-0.462409, 0.6133537, -1.777112)
(-0.4624763, 0.6134404, -1.777053)
(-0.4623632, 0.6134977, -1.777078)
(-0.4623723, 0.6135247, -1.777112)
(-0.4623971, 0.6135666, -1.777098)
(-0.4624534, 0.6135684, -1.777126)
(-0.4624653, 0.6135675, -1.777121)
(-0.4624805, 0.6135952, -1.777109)
(-0.4627073, 0.6134769, -1.777134)
(-0.4627047, 0.6134486, -1.777042)
(-0.462719, 0.6134536, -1.777031)
(-0.46277, 0.6134716, -1.777093)
(-0.4627762, 0.6134502, -1.776963)
(-0.4627771, 0.6134114, -1.776972)
(-0.4627137, 0.6134346, -1.776974)
(-0.462755, 0.6134466, -1.777022)
(-0.4627767, 0.6134518, -1.777018)
(-0.4628596, 0.6133912, -1.777027)
(-0.4628744, 0.6133932, -1.776992)
(-0.4628377, 0.6133237, -1.777042)
(-0.4627573, 0.6133757, -1.777044)
(-0.4627786, 0.6133739, -1.777077)
(-0.4627571, 0.6133413, -1.777097)
(-0.4626031, 0.6134887, -1.777141)
(-0.4625602, 0.6134487, -1.777004)
(-0.4625936, 0.613495, -1.776973)
(-0.4623256, 0.6135927, -1.776978)
(-0.4623232, 0.6136122, -1.776991)
(-0.4623384, 0.6136614, -1.776967)
(-0.4621747, 0.6137083, -1.776946)
(-0.4621601, 0.613712, -1.776996)
(-0.4621332, 0.6136965, -1.777015)
(-0.4621942, 0.6136601, -1.777024)
(-0.4621615, 0.613652, -1.776949)
(-0.4621401, 0.6136509, -1.776972)
(-0.4621334, 0.6136526, -1.776976)
(-0.4621105, 0.6136514, -1.776964)
(-0.4621079, 0.6136736, -1.776938)
(-0.4621577, 0.6136048, -1.776918)
(-0.4621463, 0.61361, -1.776951)
(-0.4621632, 0.6136696, -1.776901)
(-0.4623115, 0.6135964, -1.776881)
(-0.4623053, 0.6135901, -1.776929)
(-0.4623184, 0.6136187, -1.776916)
(-0.4623272, 0.6135864, -1.776891)
(-0.4623361, 0.6136007, -1.77691)
(-0.4623218, 0.6135648, -1.776935)
(-0.4624419, 0.61348, -1.776892)
(-0.4624302, 0.6134396, -1.77689)
(-0.4624562, 0.6134623, -1.776873)
(-0.4623375, 0.6135908, -1.776896)
(-0.4623556, 0.6135994, -1.776997)
(-0.4623489, 0.613549, -1.777027)
(-0.4625461, 0.613428, -1.777026)
(-0.462553, 0.6134144, -1.777025)
(-0.4625978, 0.6134583, -1.776986)
(-0.4624763, 0.6135458, -1.777024)
(-0.4624791, 0.6135511, -1.777014)
(-0.4624617, 0.6134804, -1.777067)
(-0.4624228, 0.6134825, -1.77707)
(-0.4624052, 0.6134611, -1.777016)
(-0.46242, 0.6134974, -1.777018)
(-0.4624743, 0.613466, -1.77702)
(-0.462471, 0.6134604, -1.776986)
(-0.4625111, 0.6134847, -1.776963)
(-0.4624968, 0.6135497, -1.776991)
(-0.4624863, 0.6135415, -1.776899)
(-0.4624534, 0.6134765, -1.776948)
(-0.4625201, 0.6134093, -1.776929)
(-0.462518, 0.6134071, -1.776901)
(-0.4625614, 0.6134541, -1.776865)
(-0.4624519, 0.6135184, -1.776869)
(-0.4624422, 0.613519, -1.776868)
(-0.4624736, 0.6135393, -1.77685)
(-0.4625702, 0.6134582, -1.776809)
(-0.4625971, 0.6134635, -1.77693)
(-0.4626217, 0.6134696, -1.776907)
(-0.462677, 0.613519, -1.776968)
(-0.4627104, 0.6135247, -1.777007)
(-0.4627156, 0.6135147, -1.777017)
(-0.4626071, 0.6135616, -1.777012)
(-0.4626236, 0.6135463, -1.776983)
(-0.4626179, 0.6135288, -1.776988)
(-0.4624188, 0.6135522, -1.776965)
(-0.4623995, 0.6135515, -1.776921)
(-0.4624014, 0.6135769, -1.776891)
(-0.4623876, 0.613597, -1.776886)
(-0.4623706, 0.6135944, -1.776886)
(-0.4623499, 0.6135393, -1.776928)
(-0.4623203, 0.6135951, -1.776948)
(-0.4623179, 0.6135969, -1.77699)
(-0.4623485, 0.6136576, -1.776942)
(-0.4623942, 0.6135657, -1.776901)
(-0.4623988, 0.6135828, -1.776877)
(-0.4623446, 0.6135175, -1.776925)
(-0.4623299, 0.6135234, -1.776908)
(-0.4623268, 0.6135362, -1.777006)
(-0.4623299, 0.6135449, -1.776999)
(-0.4622836, 0.6135732, -1.77702)
(-0.4622664, 0.6135712, -1.776966)
(-0.4622498, 0.6135514, -1.776992)
(-0.4622493, 0.6136318, -1.777023)
(-0.4622312, 0.6136367, -1.777043)
(-0.4622602, 0.613672, -1.777041)
(-0.4625044, 0.6136595, -1.777085)
(-0.4624796, 0.6136535, -1.776988)
(-0.4624805, 0.613657, -1.777008)
(-0.462425, 0.6136521, -1.77696)
(-0.4624271, 0.6136469, -1.776917)
(-0.4624295, 0.6136503, -1.776914)
(-0.4624591, 0.6135724, -1.776858)
(-0.4624491, 0.6135576, -1.776861)
(-0.4623752, 0.6134235, -1.776959)
(-0.4624, 0.6133962, -1.776953)
(-0.4624133, 0.6134081, -1.777016)
(-0.4624407, 0.6134374, -1.777005)
(-0.4623942, 0.6134299, -1.776994)
(-0.4623628, 0.6133953, -1.776891)
(-0.4623642, 0.613402, -1.776875)
(-0.4625249, 0.6133839, -1.776898)
(-0.4625506, 0.6134104, -1.776996)
(-0.4626119, 0.613469, -1.776951)
(-0.4626837, 0.6135164, -1.776995)
(-0.4627008, 0.613499, -1.776996)
(-0.4627247, 0.6135246, -1.776988)
(-0.4625959, 0.6135517, -1.776963)
(-0.4625747, 0.613526, -1.776836)
(-0.4625487, 0.6134729, -1.776867)
(-0.4625072, 0.6135519, -1.776896)
(-0.4624958, 0.6135696, -1.776965)
(-0.4625087, 0.6135793, -1.776962)
(-0.4626119, 0.6134915, -1.776965)
(-0.4626222, 0.6134881, -1.776915)
(-0.4625936, 0.6134331, -1.776942)
(-0.4625998, 0.6134387, -1.776945)
(-0.4626131, 0.6134375, -1.77704)
(-0.4626346, 0.6134427, -1.777038)
(-0.4625001, 0.6134424, -1.777023)
(-0.4624882, 0.6134179, -1.777056)
(-0.4625087, 0.6134232, -1.777059)
(-0.4623945, 0.613475, -1.77704)
(-0.4623621, 0.6134579, -1.777015)
(-0.4623775, 0.6134857, -1.777008)
(-0.4624276, 0.6135134, -1.777073)
(-0.4623911, 0.6134678, -1.776898)
(-0.462404, 0.6134943, -1.776871)
(-0.4623308, 0.6134741, -1.776833)
(-0.4623394, 0.6134843, -1.77691)
(-0.4623671, 0.6135349, -1.776872)
(-0.4623852, 0.613523, -1.776888)
(-0.4623942, 0.613534, -1.776928)
(-0.4623699, 0.6134901, -1.77696)
(-0.4623795, 0.6134824, -1.776986)
(-0.4623871, 0.6134735, -1.776963)
(-0.4624002, 0.6134733, -1.776966)
(-0.4624386, 0.6134278, -1.776945)
(-0.4624541, 0.6134323, -1.777015)
(-0.4624956, 0.613493, -1.77699)
(-0.4622946, 0.6135778, -1.777016)
(-0.4622755, 0.6135689, -1.776882)
(-0.4622064, 0.6134764, -1.776936)
(-0.4624281, 0.613377, -1.776941)
(-0.4624386, 0.613377, -1.777037)
(-0.4623971, 0.6133015, -1.777085)
(-0.4623847, 0.613242, -1.777075)
(-0.4623895, 0.6132416, -1.777135)
(-0.4624822, 0.613385, -1.77703)
(-0.4625349, 0.6134173, -1.777079)
(-0.4625292, 0.6134064, -1.777043)
(-0.4625645, 0.613439, -1.777022)
(-0.4623945, 0.6134926, -1.777018)
(-0.4623985, 0.6135139, -1.777043)
(-0.462456, 0.6135958, -1.776997)
