(-0.1532562, -0.8316197, 0.5337802)
(-0.1529292, -0.8317196, 0.5337183)
(-0.1531517, -0.8318065, 0.5335189)
(-0.1535796, -0.8319468, 0.533177)
(-0.1537191, -0.8323209, 0.5325527)
(-0.1543822, -0.8326759, 0.5318053)
(-0.1542876, -0.8332604, 0.5309166)
(-0.1543337, -0.8338569, 0.5299658)
(-0.1548938, -0.834067, 0.5294716)
(-0.1547785, -0.8347205, 0.5284745)
(-0.1548955, -0.835418, 0.5273369)
(-0.1552097, -0.835895, 0.526488)
(-0.1554465, -0.8364218, 0.5255806)
(-0.1565278, -0.8368534, 0.5245717)
(-0.1571384, -0.8372962, 0.5236818)
(-0.1585359, -0.8378657, 0.5223482)
(-0.1600692, -0.8385171, 0.5208328)
(-0.161753, -0.8393114, 0.5190303)
(-0.1640304, -0.8400846, 0.5170608)
(-0.1662236, -0.8404898, 0.5157003)
(-0.1688818, -0.8401638, 0.5153676)
(-0.1710994, -0.8398018, 0.5152262)
(-0.1728908, -0.8392982, 0.5154486)
(-0.1748337, -0.8394649, 0.514521)
(-0.1767671, -0.8401092, 0.5128061)
(-0.179379, -0.8407069, 0.5109159)
(-0.1823874, -0.8416017, 0.5083714)
(-0.185573, -0.8431994, 0.5045567)
(-0.1892163, -0.8442199, 0.5014879)
(-0.1923638, -0.8451194, 0.4987679)
(-0.1948399, -0.8470377, 0.4945349)
(-0.1974178, -0.8487486, 0.490563)
(-0.1996328, -0.8496954, 0.4880212)
(-0.2018221, -0.8507252, 0.4853189)
(-0.206093, -0.8514832, 0.4821847)
(-0.209875, -0.8521674, 0.4793363)
(-0.2133667, -0.8529311, 0.4764275)
(-0.216278, -0.8537762, 0.4735927)
(-0.2192684, -0.8549038, 0.4701713)
(-0.2221317, -0.8561438, 0.466557)
(-0.2244712, -0.8576226, 0.4627053)
(-0.2270731, -0.8590699, 0.4587337)
(-0.2290535, -0.8601946, 0.4556313)
(-0.2311909, -0.8611206, 0.4527936)
(-0.2329798, -0.8620766, 0.4500492)
(-0.2345953, -0.8632239, 0.4470006)
(-0.2353037, -0.8647938, 0.4435809)
(-0.2369613, -0.8663089, 0.4397251)
(-0.2380412, -0.8677099, 0.4363669)
(-0.2387417, -0.8690166, 0.4333736)
(-0.2397091, -0.8704139, 0.4300223)
(-0.239968, -0.8718042, 0.4270513)
(-0.2400079, -0.8731019, 0.4243693)
(-0.2400762, -0.8743136, 0.4218284)
(-0.2402281, -0.875496, 0.4192821)
(-0.2402411, -0.8766631, 0.4168288)
(-0.2401638, -0.8777963, 0.4144815)
(-0.2400274, -0.8789608, 0.4120861)
(-0.2399607, -0.8800886, 0.4097111)
(-0.2397812, -0.8811782, 0.4074679)
(-0.239743, -0.8818927, 0.4059417)
(-0.2394052, -0.8826198, 0.4045584)
(-0.2391056, -0.8833079, 0.4032316)
(-0.2390186, -0.8839536, 0.4018659)
(-0.2388076, -0.8846357, 0.4004881)
(-0.2386798, -0.8853805, 0.3989152)
(-0.2385097, -0.886225, 0.3971378)
(-0.2382549, -0.8869894, 0.3955814)
(-0.237877, -0.8878404, 0.393896)
(-0.237662, -0.8886425, 0.3922133)
(-0.23708, -0.8891259, 0.3914694)
(-0.2363121, -0.8896462, 0.3907509)
(-0.2349107, -0.8897991, 0.3912475)
(-0.2348287, -0.8899069, 0.3910512)
(-0.2346316, -0.8902853, 0.3903077)
(-0.2343579, -0.8910164, 0.3888009)
(-0.2337133, -0.8920918, 0.3867173)
(-0.2330028, -0.8929824, 0.3850874)
(-0.2322623, -0.893677, 0.3839213)
(-0.2314688, -0.8939423, 0.3837831)
(-0.2303479, -0.8944156, 0.3833546)
(-0.2286769, -0.8952708, 0.3823573)
(-0.2274851, -0.8961564, 0.3809911)
(-0.226181, -0.8974875, 0.3786271)
(-0.2250122, -0.8989599, 0.3758201)
(-0.2233635, -0.9003168, 0.3735484)
(-0.2217337, -0.9015643, 0.3715049)
(-0.2199813, -0.9024945, 0.3702864)
(-0.2179008, -0.903731, 0.3684963)
(-0.2150203, -0.9050578, 0.3669287)
(-0.21196, -0.9064764, 0.3652033)
(-0.2093901, -0.9075953, 0.3639047)
(-0.2066491, -0.9090193, 0.3619118)
(-0.2043772, -0.9104693, 0.3595491)
(-0.2021977, -0.9116122, 0.3578818)
(-0.1988088, -0.9126259, 0.3571962)
(-0.1946712, -0.9126381, 0.3594369)
(-0.1898032, -0.9124631, 0.362472)
(-0.1854562, -0.9132438, 0.3627561)
(-0.1813189, -0.9144375, 0.3618392)
(-0.177909, -0.9159204, 0.3597754)
(-0.1744426, -0.9166523, 0.3596087)
(-0.1717565, -0.9164362, 0.3614478)
(-0.1706295, -0.9166678, 0.3613941)
(-0.1690651, -0.9170498, 0.3611601)
(-0.1674509, -0.9179493, 0.3596239)
(-0.1641197, -0.918587, 0.3595313)
(-0.161057, -0.9191545, 0.3594657)
(-0.1544374, -0.9199216, 0.3604071)
(-0.1487895, -0.9208528, 0.3604049)
(-0.1445818, -0.9217164, 0.3599097)
(-0.1403065, -0.9223107, 0.3600792)
(-0.1358664, -0.9226383, 0.3609418)
(-0.1310576, -0.9226796, 0.3626103)
(-0.1269022, -0.9217556, 0.3664185)
(-0.1235147, -0.9215598, 0.3680647)
(-0.1195828, -0.9222096, 0.3677358)
(-0.115819, -0.9219804, 0.3695107)
(-0.1135524, -0.9217345, 0.3708253)
(-0.111495, -0.921407, 0.3722606)
(-0.1092648, -0.9210714, 0.3737497)
(-0.1061526, -0.9212095, 0.3743058)
(-0.1022135, -0.9212474, 0.3753076)
(-0.09889068, -0.9209146, 0.3770107)
(-0.09593776, -0.9204, 0.379025)
(-0.09268059, -0.9201744, 0.3803807)
(-0.08965689, -0.9199676, 0.3816038)
(-0.08721188, -0.9198797, 0.3823813)
(-0.08428416, -0.9197642, 0.3833145)
(-0.08227889, -0.9198948, 0.383437)
(-0.08035767, -0.920019, 0.3835462)
(-0.07886221, -0.9199299, 0.3840701)
(-0.0771606, -0.9198267, 0.3846623)
(-0.07550447, -0.9195823, 0.3855743)
(-0.07385996, -0.9194438, 0.3862225)
(-0.07234372, -0.9189997, 0.3875642)
(-0.07014659, -0.9186155, 0.3888766)
(-0.0684633, -0.9182673, 0.3899976)
(-0.06777173, -0.9179676, 0.390823)
(-0.06598328, -0.9181141, 0.3907847)
(-0.06462561, -0.9180136, 0.3912474)
(-0.06455475, -0.9181403, 0.3909617)
(-0.06398346, -0.9178701, 0.3916895)
(-0.06354572, -0.9174327, 0.3927837)
(-0.06264226, -0.9170718, 0.3937709)
(-0.06154163, -0.9165982, 0.3950447)
(-0.06091854, -0.9161336, 0.3962173)
(-0.0604222, -0.9157224, 0.3972427)
(-0.06036508, -0.9153458, 0.3981182)
(-0.06101011, -0.9152082, 0.3983362)
(-0.06133096, -0.9150858, 0.3985682)
(-0.0615374, -0.914856, 0.3990634)
(-0.06182112, -0.9147445, 0.3992752)
(-0.06203361, -0.9146997, 0.3993447)
(-0.06169775, -0.9144605, 0.3999443)
(-0.06143005, -0.9141349, 0.4007291)
(-0.06113885, -0.9139505, 0.401194)
(-0.06078078, -0.913669, 0.401889)
(-0.06158571, -0.9138657, 0.4013187)
(-0.06258588, -0.9142113, 0.4003758)
(-0.06348298, -0.914391, 0.3998239)
(-0.06389499, -0.9142153, 0.4001598)
(-0.06303975, -0.9136109, 0.4016729)
(-0.06314142, -0.9126016, 0.4039449)
(-0.064585, -0.9119898, 0.405097)
(-0.0658938, -0.9118125, 0.4052851)
(-0.06696133, -0.9121097, 0.4044406)
(-0.06809551, -0.9118268, 0.4048889)
(-0.06924309, -0.9115512, 0.4053143)
(-0.07034081, -0.910993, 0.406379)
(-0.07128522, -0.9105752, 0.4071501)
(-0.0726555, -0.9103583, 0.4073929)
(-0.07423045, -0.9101803, 0.4075069)
(-0.07602203, -0.9101375, 0.4072717)
(-0.07736856, -0.9101285, 0.4070382)
(-0.07851596, -0.91003, 0.4070389)
(-0.07997847, -0.9098004, 0.4072675)
(-0.08126438, -0.9102712, 0.405959)
(-0.08284737, -0.9111503, 0.4036601)
(-0.0842274, -0.9113683, 0.402882)
(-0.0845513, -0.9116523, 0.4021705)
(-0.08566304, -0.9119139, 0.4013413)
(-0.08725199, -0.9128635, 0.3988324)
(-0.08886966, -0.9136001, 0.3967834)
(-0.09025767, -0.9140632, 0.3954011)
(-0.09142424, -0.914616, 0.3938518)
(-0.09239852, -0.9151611, 0.3923554)
(-0.09404902, -0.9158738, 0.3902947)
(-0.09611322, -0.9161541, 0.3891325)
(-0.09841381, -0.9162377, 0.3883597)
(-0.1010488, -0.9170771, 0.3856927)
(-0.1042689, -0.9177365, 0.3832596)
(-0.1087382, -0.918632, 0.3798569)
(-0.1134048, -0.9189034, 0.3778305)
(-0.1178412, -0.9186307, 0.3771354)
(-0.1220856, -0.9182429, 0.3767297)
(-0.1261589, -0.9172553, 0.377792)
(-0.1292633, -0.9162329, 0.3792206)
(-0.1310126, -0.915085, 0.3813858)
(-0.133207, -0.9140898, 0.3830089)
(-0.1342701, -0.9132098, 0.3847329)
(-0.1352017, -0.9129763, 0.3849608)
(-0.1376077, -0.9125695, 0.3850729)
(-0.1398086, -0.9120047, 0.3856177)
(-0.1421705, -0.9119173, 0.3849604)
(-0.1444425, -0.9118175, 0.3843503)
(-0.1452903, -0.9117134, 0.3842777)
(-0.1447486, -0.9115211, 0.3849377)
(-0.1464264, -0.9108475, 0.3858966)
(-0.1488857, -0.9100704, 0.3867881)
(-0.153333, -0.9089153, 0.3877653)
(-0.1569322, -0.9081101, 0.3882118)
(-0.1597942, -0.9074835, 0.3885093)
(-0.1626184, -0.9068889, 0.3887258)
(-0.1644362, -0.9065771, 0.3886884)
(-0.1668032, -0.9061242, 0.3887361)
(-0.1696459, -0.9053826, 0.3892334)
(-0.172307, -0.9045191, 0.3900711)
(-0.1743452, -0.9039467, 0.3904922)
(-0.1759442, -0.9034146, 0.3910061)
(-0.1776468, -0.903066, 0.3910414)
(-0.1798005, -0.9023581, 0.3916907)
(-0.1814391, -0.9018337, 0.3921427)
(-0.1825543, -0.9013764, 0.392676)
(-0.183678, -0.901392, 0.392116)
(-0.1845954, -0.9013153, 0.3918613)
(-0.1856171, -0.9004704, 0.3933184)
(-0.1872621, -0.8995872, 0.3945579)
(-0.1894808, -0.898447, 0.3960933)
(-0.1907555, -0.8983413, 0.3957214)
(-0.1915564, -0.8979717, 0.3961728)
(-0.1931575, -0.8973024, 0.3969112)
(-0.194158, -0.8967444, 0.3976836)
(-0.1944481, -0.8960249, 0.3991608)
(-0.1959098, -0.8949737, 0.4008011)
(-0.1969476, -0.8943793, 0.4016185)
(-0.1975774, -0.893629, 0.4029769)
(-0.199053, -0.8927936, 0.4041008)
(-0.2005005, -0.8920599, 0.4050047)
(-0.2019258, -0.8912938, 0.405982)
(-0.202963, -0.8906142, 0.406955)
(-0.2039765, -0.8897398, 0.4083587)
(-0.2047293, -0.8892098, 0.4091354)
(-0.2051708, -0.8884024, 0.4106656)
(-0.2056314, -0.8873495, 0.4127065)
