(-0.5383129, 0.5984898, -1.754399)
(-0.5383146, 0.5985264, -1.754324)
(-0.5383792, 0.5985252, -1.754337)
(-0.5383313, 0.5985985, -1.754332)
(-0.5382957, 0.5985738, -1.75435)
(-0.538301, 0.5985872, -1.754354)
(-0.5382891, 0.5986084, -1.754335)
(-0.5382538, 0.5985625, -1.754359)
(-0.5382404, 0.5985602, -1.754366)
(-0.5382955, 0.5984002, -1.754296)
(-0.5383406, 0.5984628, -1.754204)
(-0.538496, 0.5984663, -1.754223)
(-0.5385036, 0.5984435, -1.754195)
(-0.5384874, 0.5983986, -1.754234)
(-0.5385234, 0.598387, -1.75423)
(-0.538501, 0.5984777, -1.754363)
(-0.5384936, 0.5984575, -1.754386)
(-0.538496, 0.5984521, -1.754375)
(-0.5384755, 0.5985277, -1.754512)
(-0.5384424, 0.5985019, -1.754562)
(-0.5385592, 0.5985105, -1.7546)
(-0.538558, 0.5985485, -1.754483)
(-0.5385962, 0.5985864, -1.754443)
(-0.5386779, 0.5985777, -1.754436)
(-0.5387001, 0.5986151, -1.754525)
(-0.5386801, 0.5986055, -1.754581)
(-0.5386748, 0.59861, -1.754581)
(-0.5386789, 0.598609, -1.754537)
(-0.5386751, 0.598588, -1.754568)
(-0.5383663, 0.5985936, -1.754501)
(-0.5383253, 0.5986986, -1.754482)
(-0.5383396, 0.598739, -1.754456)
(-0.5382438, 0.5987495, -1.754425)
(-0.5382318, 0.5987883, -1.754586)
(-0.5382168, 0.5987648, -1.754637)
(-0.5382755, 0.5987852, -1.754671)
(-0.5383382, 0.5986248, -1.754577)
(-0.5383472, 0.5986456, -1.754572)
(-0.5383472, 0.598647, -1.754571)
(-0.5383925, 0.5985026, -1.754515)
(-0.53842, 0.598551, -1.754452)
(-0.538403, 0.598541, -1.754455)
(-0.5383894, 0.5985445, -1.754496)
(-0.5383863, 0.5985332, -1.754518)
(-0.5384419, 0.5985365, -1.754522)
(-0.5384488, 0.5984879, -1.754517)
(-0.5383968, 0.5983838, -1.7546)
(-0.5382862, 0.5983773, -1.754597)
(-0.5382402, 0.5984715, -1.754616)
(-0.53826, 0.5985014, -1.75456)
(-0.5381758, 0.5984905, -1.754552)
(-0.5381279, 0.5985364, -1.754581)
(-0.5381551, 0.5985873, -1.754543)
(-0.5381298, 0.5985829, -1.754534)
(-0.5381479, 0.5984623, -1.754589)
(-0.5381837, 0.5985025, -1.754521)
(-0.5382638, 0.598484, -1.754528)
(-0.5383272, 0.5983597, -1.754451)
(-0.5383606, 0.5984197, -1.754383)
(-0.5383501, 0.59843, -1.754374)
(-0.5383973, 0.5983104, -1.754211)
(-0.5384388, 0.5983472, -1.754137)
(-0.5383613, 0.5983349, -1.754104)
(-0.5382862, 0.5985731, -1.754149)
(-0.5382514, 0.5985602, -1.754145)
(-0.5383959, 0.5985545, -1.75414)
(-0.5383797, 0.5985832, -1.754166)
(-0.5383539, 0.5984977, -1.754225)
(-0.5383227, 0.5984954, -1.75422)
(-0.5382795, 0.5986037, -1.754254)
(-0.5382113, 0.5985245, -1.754373)
(-0.5382686, 0.5985147, -1.754364)
(-0.5382524, 0.5985779, -1.75458)
(-0.5382686, 0.5985951, -1.75456)
(-0.5383782, 0.5985955, -1.754611)
(-0.5384243, 0.5984638, -1.754583)
(-0.5384834, 0.5985619, -1.75449)
(-0.5384068, 0.5985595, -1.754479)
(-0.5383632, 0.5986401, -1.754503)
(-0.5383174, 0.5985875, -1.754571)
(-0.5383339, 0.5985813, -1.754576)
(-0.538357, 0.5985756, -1.754596)
(-0.5383554, 0.5985887, -1.754575)
(-0.5382454, 0.5985962, -1.754554)
(-0.5382388, 0.5985876, -1.754512)
(-0.5382006, 0.5985929, -1.754544)
(-0.5383146, 0.5986072, -1.754561)
(-0.5382824, 0.5986547, -1.754584)
(-0.5383172, 0.5987046, -1.754544)
(-0.5383234, 0.5987238, -1.754553)
(-0.5383158, 0.5986985, -1.754387)
(-0.5383258, 0.5987159, -1.754388)
(-0.5382669, 0.5987352, -1.75437)
(-0.5383182, 0.5985546, -1.754244)
(-0.5383286, 0.5985588, -1.754245)
(-0.5383408, 0.5985579, -1.754228)
(-0.5383594, 0.598515, -1.754305)
(-0.5383244, 0.5984459, -1.754379)
(-0.5383883, 0.5984385, -1.754372)
(-0.5383382, 0.5985399, -1.754452)
(-0.5382895, 0.5984691, -1.754549)
(-0.5384703, 0.5984759, -1.754601)
(-0.5384936, 0.5984241, -1.754618)
(-0.5384965, 0.5983864, -1.754641)
(-0.5384483, 0.5983909, -1.75466)
(-0.5384908, 0.5983289, -1.754705)
(-0.5385499, 0.5984218, -1.7546)
(-0.5384049, 0.5984336, -1.754581)
(-0.5383615, 0.5985047, -1.754635)
(-0.5383387, 0.5984814, -1.754678)
(-0.5383394, 0.5984889, -1.754689)
(-0.5383372, 0.5984603, -1.754638)
(-0.5383906, 0.5985125, -1.754603)
(-0.538506, 0.5985144, -1.754621)
(-0.5385251, 0.5984437, -1.754562)
(-0.5385213, 0.5984182, -1.754587)
(-0.5386014, 0.5984168, -1.754607)
(-0.5386333, 0.5983756, -1.754594)
(-0.5386386, 0.5983363, -1.754621)
(-0.5385771, 0.5983253, -1.754608)
(-0.5385871, 0.5983253, -1.754483)
(-0.5386305, 0.5983782, -1.754411)
(-0.5384955, 0.5983791, -1.75439)
(-0.5384965, 0.5983691, -1.754301)
(-0.5385351, 0.5984216, -1.754225)
(-0.5384264, 0.5984119, -1.754179)
(-0.5383868, 0.5985521, -1.754258)
(-0.5383143, 0.5984982, -1.754316)
(-0.5382648, 0.5984864, -1.754281)
(-0.5382686, 0.5985202, -1.754326)
(-0.5382831, 0.598557, -1.754279)
(-0.5381861, 0.5985556, -1.754244)
(-0.5381727, 0.598555, -1.754355)
(-0.5382013, 0.5985808, -1.754352)
(-0.5383823, 0.5985798, -1.754372)
(-0.5383911, 0.5985638, -1.754466)
(-0.5383954, 0.5985661, -1.754475)
(-0.5384603, 0.5985723, -1.754487)
(-0.538511, 0.5984575, -1.75447)
(-0.538507, 0.5984222, -1.75449)
(-0.5385177, 0.5984198, -1.754501)
(-0.5385067, 0.5984787, -1.754516)
(-0.5384579, 0.5984024, -1.754605)
(-0.5383959, 0.5983893, -1.754599)
(-0.5383778, 0.5984452, -1.754526)
(-0.5383692, 0.5984563, -1.754527)
(-0.5384698, 0.5984732, -1.754553)
(-0.5384395, 0.5985545, -1.754601)
(-0.5384874, 0.5986078, -1.754539)
(-0.5383246, 0.5986124, -1.754491)
(-0.5382869, 0.598662, -1.754538)
(-0.538286, 0.5986586, -1.754535)
(-0.5383377, 0.5986726, -1.754556)
(-0.5383587, 0.5986302, -1.754586)
(-0.5383215, 0.5985906, -1.754645)
(-0.5382953, 0.5985924, -1.754633)
(-0.5383101, 0.5985322, -1.754497)
(-0.5383253, 0.5985297, -1.754511)
