(-0.004290581, -0.1305399, 0.006567478)
(-0.004279137, -0.1305132, 0.006621599)
(-0.004112482, -0.130578, 0.006145239)
(-0.004111528, -0.1305363, 0.006176472)
(-0.004078865, -0.1305075, 0.006228209)
(-0.004135132, -0.1305125, 0.006595254)
(-0.004122972, -0.1304767, 0.006662726)
(-0.004162312, -0.1304736, 0.006719589)
(-0.004061222, -0.1306949, 0.006558895)
(-0.004059792, -0.1306779, 0.006636143)
(-0.004063129, -0.1306641, 0.006643653)
(-0.004165649, -0.1302354, 0.006530762)
(-0.004143476, -0.1302111, 0.00655818)
(-0.004136324, -0.1301858, 0.006579638)
(-0.00436759, -0.1302013, 0.006806135)
(-0.004346132, -0.1301885, 0.00682354)
(-0.004349947, -0.1301451, 0.006878495)
(-0.004401207, -0.1298604, 0.006938577)
(-0.004371643, -0.1298511, 0.006945729)
(-0.004325628, -0.1297951, 0.006980777)
(-0.004291534, -0.1297395, 0.007003427)
(-0.004572392, -0.129746, 0.00696528)
(-0.004615068, -0.1297255, 0.006967306)
(-0.004363537, -0.1296401, 0.007252812)
(-0.004264832, -0.1296346, 0.007269859)
(-0.004255295, -0.1295695, 0.007320642)
(-0.004291296, -0.1296215, 0.006961226)
(-0.004283667, -0.1296184, 0.006989717)
(-0.004277229, -0.1295588, 0.007062674)
(-0.004217386, -0.1293316, 0.007352233)
(-0.004434109, -0.1291139, 0.007796526)
(-0.004481077, -0.1290338, 0.007824183)
(-0.004797459, -0.1289833, 0.007699966)
(-0.004741669, -0.1287904, 0.00767684)
(-0.004758835, -0.1286483, 0.007717729)
(-0.004844189, -0.1287136, 0.007424593)
(-0.004942179, -0.1284549, 0.007682562)
(-0.004942656, -0.1283493, 0.007719874)
(-0.004813671, -0.1282477, 0.007819176)
(-0.004817486, -0.1281049, 0.007748365)
(-0.004813194, -0.1280508, 0.007773519)
(-0.005003214, -0.1277025, 0.008296132)
(-0.004988909, -0.1276035, 0.008343101)
(-0.004990339, -0.1274941, 0.008377433)
(-0.004980564, -0.1277392, 0.007897496)
(-0.005250931, -0.1273894, 0.00835216)
(-0.005336046, -0.127373, 0.008374333)
(-0.00536561, -0.1274457, 0.008265257)
(-0.005586147, -0.1272321, 0.008425713)
(-0.005784512, -0.127233, 0.008460045)
(-0.005808115, -0.1272998, 0.008554935)
(-0.006055593, -0.1274235, 0.008783579)
(-0.006236076, -0.1276731, 0.008847952)
(-0.005933523, -0.1278462, 0.008673906)
(-0.005807877, -0.1278558, 0.008641839)
(-0.006171703, -0.1275055, 0.008773565)
(-0.006315708, -0.1276157, 0.009134173)
(-0.004103184, -0.1313663, 0.004958391)
(-0.003509045, -0.1322331, 0.004152417)
(-0.003583908, -0.1325209, 0.004258633)
(-0.003504992, -0.1326199, 0.004144549)
(-0.003487587, -0.1325421, 0.004315495)
(-0.003432035, -0.1324711, 0.004180789)
(-0.003464222, -0.1326661, 0.003965259)
(-0.003881216, -0.1322339, 0.004526734)
(-0.003962994, -0.1322186, 0.004434586)
(-0.003982782, -0.1323934, 0.004217863)
(-0.004230261, -0.1321678, 0.0044806)
(-0.004596233, -0.1320632, 0.004121542)
(-0.004634142, -0.1320517, 0.004279375)
(-0.004526615, -0.1321387, 0.004374981)
(-0.004595518, -0.1323092, 0.004540682)
(-0.004607677, -0.1323612, 0.004526615)
(-0.004505873, -0.1323502, 0.004573226)
(-0.0044837, -0.132292, 0.004532099)
(-0.004496574, -0.1324079, 0.00454092)
(-0.004481792, -0.1325042, 0.004690886)
(-0.004598141, -0.1327448, 0.004943609)
(-0.004758596, -0.1331394, 0.005285621)
(-0.004657745, -0.1336417, 0.005696774)
(-0.004609108, -0.1336668, 0.00583744)
(-0.004751205, -0.1338482, 0.005872607)
(-0.004896879, -0.1339166, 0.006115794)
(-0.004956245, -0.1340747, 0.006329775)
(-0.005167246, -0.1340773, 0.006956577)
(-0.005882502, -0.1344259, 0.007716417)
(-0.006238222, -0.1345499, 0.007956505)
(-0.007001638, -0.1338637, 0.008680582)
(-0.00774622, -0.1333752, 0.009553909)
(-0.007597208, -0.1330748, 0.01080871)
(-0.008406162, -0.1325796, 0.01301026)
(-0.008758545, -0.1325283, 0.01414967)
(-0.009181261, -0.1321137, 0.01654172)
(-0.01083803, -0.1313002, 0.01908207)
(-0.01245499, -0.1305895, 0.02298331)
(-0.01392913, -0.1298318, 0.02655816)
(-0.01566315, -0.1278274, 0.0304352)
(-0.01702547, -0.1265883, 0.03376055)
(-0.01838708, -0.1181476, 0.03756177)
(-0.01951766, -0.1120093, 0.04312599)
(-0.02310491, -0.1054468, 0.05066645)
(-0.02630162, -0.09667206, 0.05658829)
(-0.02950954, -0.08147955, 0.06244802)
(-0.03316355, -0.05866098, 0.06402731)
(-0.03643227, -0.04234934, 0.07324672)
(-0.03653741, -0.0257175, 0.07927752)
(-0.0340426, -0.009705067, 0.0880127)
(-0.02970958, 0.005966663, 0.09588838)
(-0.02457285, 0.02069926, 0.1058227)
(-0.01924324, 0.03559518, 0.1155645)
(-0.01215172, 0.04968381, 0.1261145)
(-0.005881071, 0.06218553, 0.1374443)
(0.001143456, 0.07312179, 0.1495709)
(0.006883621, 0.08446026, 0.16079)
(0.01372743, 0.09624982, 0.171595)
(0.01947737, 0.1071916, 0.1849132)
(0.02557659, 0.1179912, 0.1967292)
(0.03015757, 0.1263216, 0.2096943)
(0.03469396, 0.1347446, 0.2226137)
(0.0395329, 0.142401, 0.237368)
(0.04418874, 0.1514688, 0.249934)
(0.04763007, 0.1578494, 0.2647965)
(0.05294919, 0.1656243, 0.279881)
(0.05672884, 0.170204, 0.2949057)
(0.06062579, 0.1739283, 0.3111937)
(0.06524658, 0.177893, 0.327116)
(0.06899977, 0.1787629, 0.3429933)
(0.07354116, 0.1804265, 0.3591862)
(0.07843328, 0.1826677, 0.3761401)
(0.08334517, 0.1837932, 0.3922417)
(0.08796, 0.183969, 0.4085112)
(0.0924027, 0.1842064, 0.4247653)
(0.09599781, 0.1840392, 0.4415913)
(0.0999794, 0.1819345, 0.4582341)
(0.1036518, 0.1808406, 0.47334)
(0.1056311, 0.1791034, 0.4890242)
(0.1081727, 0.1774124, 0.5025442)
(0.1087611, 0.1761581, 0.5171411)
(0.1039977, 0.1836823, 0.540117)
(0.1076741, 0.1794343, 0.5487895)
(0.1090395, 0.1757364, 0.5599391)
(0.1120086, 0.1712513, 0.5686963)
(0.1145549, 0.1660399, 0.5782194)
(0.1158388, 0.1578623, 0.5866332)
(0.1172509, 0.1495066, 0.5939064)
(0.1184919, 0.1413412, 0.6007617)
(0.1187687, 0.1324551, 0.606075)
(0.1194463, 0.1245749, 0.6120181)
(0.118942, 0.1164987, 0.6152778)
(0.1207299, 0.1089065, 0.6191366)
