(-0.4127159, 0.5992111, -1.774384)
(-0.4127049, 0.599231, -1.774359)
(-0.4126983, 0.5992441, -1.774374)
(-0.4129405, 0.5990846, -1.774347)
(-0.4129276, 0.5990849, -1.774318)
(-0.4129591, 0.599116, -1.77431)
(-0.4129515, 0.5990701, -1.774291)
(-0.4129725, 0.5990676, -1.774251)
(-0.4129467, 0.5990452, -1.774275)
(-0.4129963, 0.5991131, -1.774298)
(-0.4130211, 0.5991132, -1.774362)
(-0.413027, 0.599113, -1.774339)
(-0.4129596, 0.5991436, -1.774344)
(-0.4129875, 0.5991311, -1.774368)
(-0.4129519, 0.5990843, -1.77441)
(-0.4128456, 0.5991167, -1.774394)
(-0.4128265, 0.5991131, -1.774377)
(-0.4127989, 0.5990885, -1.774406)
(-0.4130099, 0.5989846, -1.774432)
(-0.4130414, 0.5989941, -1.774436)
(-0.4130425, 0.5990354, -1.774438)
(-0.4128435, 0.5989535, -1.774338)
(-0.412818, 0.5989392, -1.774305)
(-0.4128418, 0.5989381, -1.774294)
(-0.4129024, 0.5990286, -1.774349)
(-0.4129145, 0.5990268, -1.774317)
(-0.412909, 0.5990294, -1.774314)
(-0.4128861, 0.5991156, -1.774327)
(-0.4128783, 0.5991139, -1.774361)
(-0.4128609, 0.5990999, -1.774387)
(-0.4127877, 0.5989213, -1.774271)
(-0.4127913, 0.5989485, -1.774297)
(-0.4127989, 0.5990018, -1.774271)
(-0.4127672, 0.5990574, -1.774271)
(-0.4127607, 0.5990731, -1.774247)
(-0.4127724, 0.5991316, -1.774197)
(-0.4128058, 0.5991468, -1.774186)
(-0.4128151, 0.5990833, -1.774222)
(-0.4127564, 0.5990224, -1.774271)
(-0.4129224, 0.5988914, -1.774257)
(-0.4129324, 0.5988801, -1.774322)
(-0.4129424, 0.5988621, -1.774301)
(-0.4130259, 0.59873, -1.774265)
(-0.4130173, 0.5987197, -1.774256)
(-0.4130592, 0.5987285, -1.774219)
(-0.4131279, 0.5989714, -1.774365)
(-0.4131565, 0.5989535, -1.77436)
(-0.4131751, 0.5989507, -1.774357)
(-0.4129801, 0.5990014, -1.774338)
(-0.4129927, 0.5989895, -1.774345)
(-0.4130073, 0.5989966, -1.774321)
(-0.4128518, 0.5989372, -1.774266)
(-0.4128492, 0.5989164, -1.774241)
(-0.4128509, 0.5989258, -1.774248)
(-0.4126427, 0.5989695, -1.774209)
(-0.4126472, 0.5989913, -1.774149)
(-0.4126003, 0.5989621, -1.774159)
(-0.4126949, 0.5989867, -1.774184)
(-0.4126906, 0.5989857, -1.774118)
(-0.4126725, 0.5989989, -1.774125)
(-0.4126, 0.5990895, -1.774148)
(-0.4126186, 0.5991008, -1.77425)
(-0.4125834, 0.5990949, -1.774252)
(-0.4126673, 0.5990155, -1.774222)
(-0.4126625, 0.599044, -1.774182)
(-0.4126592, 0.5990719, -1.774119)
(-0.4125497, 0.5991738, -1.774157)
(-0.412539, 0.599179, -1.774124)
(-0.4125276, 0.5992006, -1.774096)
(-0.4126568, 0.5991875, -1.7741)
(-0.4126511, 0.5991954, -1.77412)
(-0.4126296, 0.5991614, -1.774156)
(-0.4128819, 0.5991457, -1.774231)
(-0.4128985, 0.5991603, -1.774288)
(-0.4128954, 0.5991559, -1.774288)
(-0.4130845, 0.5991377, -1.774363)
(-0.4131145, 0.5991364, -1.774312)
(-0.4131145, 0.5991364, -1.774312)
(-0.4130445, 0.5989523, -1.774324)
(-0.413064, 0.5989672, -1.774387)
(-0.4130876, 0.5989913, -1.774364)
(-0.412971, 0.5989629, -1.774327)
(-0.4129596, 0.5989641, -1.77428)
(-0.4129591, 0.5989569, -1.7743)
(-0.4130073, 0.599115, -1.774382)
