(-0.01828349, 0.1417464, 0.2891904)
(-0.01820803, 0.1417872, 0.289223)
(-0.0180372, 0.1415954, 0.2890152)
(-0.01800239, 0.1415679, 0.2890303)
(-0.01794434, 0.1415623, 0.2890422)
(-0.01796234, 0.1416235, 0.2891245)
(-0.01789498, 0.1416172, 0.2891461)
(-0.01781559, 0.1417392, 0.288883)
(-0.01786268, 0.1419209, 0.2889646)
(-0.01777458, 0.1419709, 0.2889755)
(-0.01774573, 0.1419951, 0.2890999)
(-0.01770306, 0.1420751, 0.2891257)
(-0.01770306, 0.1420751, 0.2891257)
(-0.01736331, 0.1422058, 0.2894126)
(-0.01721799, 0.1422967, 0.28958)
(-0.0171206, 0.1423901, 0.2897317)
(-0.01702678, 0.1425084, 0.2899129)
(-0.01675558, 0.1426103, 0.2900834)
(-0.01648962, 0.142759, 0.2902926)
(-0.01627505, 0.1428845, 0.2905833)
(-0.01618958, 0.1430852, 0.2907728)
(-0.01607621, 0.1432064, 0.2909863)
(-0.01593518, 0.1433786, 0.291158)
(-0.01557398, 0.1432768, 0.2912217)
(-0.01548147, 0.1433566, 0.2913473)
(-0.01528692, 0.1433874, 0.2916219)
(-0.01518977, 0.1437387, 0.2919899)
(-0.0147965, 0.1438742, 0.2921723)
(-0.01441431, 0.1440173, 0.2921609)
(-0.01409304, 0.1441091, 0.2922444)
(-0.01383722, 0.1440902, 0.292294)
(-0.01367819, 0.1439672, 0.2924094)
(-0.01352096, 0.1439259, 0.2925197)
(-0.01350176, 0.1437827, 0.2925535)
(-0.01370835, 0.1437098, 0.2923561)
(-0.01418149, 0.1434098, 0.2922323)
(-0.01481533, 0.1430197, 0.2920829)
(-0.0153451, 0.142584, 0.2920847)
(-0.0159241, 0.1424176, 0.2920667)
(-0.01621759, 0.142212, 0.2919524)
(-0.01636803, 0.1421838, 0.2917588)
(-0.0166111, 0.1422035, 0.2916338)
(-0.01697493, 0.1423278, 0.2913177)
(-0.0173974, 0.142215, 0.2913586)
(-0.01754594, 0.1420549, 0.2912694)
(-0.01787639, 0.1420107, 0.2912779)
(-0.01809609, 0.1419458, 0.2913009)
(-0.01818502, 0.1418236, 0.2912015)
(-0.01852572, 0.1417439, 0.2909828)
(-0.01866865, 0.1417575, 0.2907666)
(-0.01887476, 0.1417208, 0.2906208)
(-0.01896393, 0.1416792, 0.2905393)
(-0.01912677, 0.1415588, 0.2904924)
(-0.01933694, 0.1417124, 0.2907908)
(-0.01948285, 0.1416682, 0.2908529)
(-0.01949871, 0.14183, 0.2907362)
(-0.01970744, 0.1418701, 0.2906734)
(-0.01984787, 0.1419168, 0.2906581)
(-0.02004361, 0.141946, 0.290611)
(-0.02036643, 0.1419661, 0.290573)
(-0.020625, 0.1419543, 0.2905877)
(-0.02091992, 0.1417984, 0.2907871)
(-0.02103233, 0.141717, 0.2907135)
(-0.02114379, 0.1417274, 0.2906568)
(-0.02114141, 0.1418301, 0.2904627)
(-0.02112949, 0.1417041, 0.2903447)
(-0.02115536, 0.1416762, 0.2903738)
(-0.0211215, 0.1418308, 0.2903047)
(-0.02128673, 0.1418327, 0.2903373)
(-0.0212903, 0.141853, 0.2905108)
(-0.02132344, 0.1418267, 0.290647)
(-0.02127266, 0.1418474, 0.2908158)
(-0.02141476, 0.1418297, 0.2908695)
(-0.02152014, 0.1418341, 0.2909209)
(-0.02169681, 0.1418439, 0.2909737)
(-0.02163577, 0.1418555, 0.291152)
(-0.021685, 0.1418115, 0.2912781)
(-0.02178204, 0.1418703, 0.2914064)
(-0.02195728, 0.1419187, 0.2914438)
(-0.02200007, 0.1419263, 0.2914381)
(-0.02201807, 0.1419879, 0.2916873)
(-0.02204871, 0.1420391, 0.2918086)
(-0.02203774, 0.1419538, 0.2919992)
(-0.02204275, 0.1419182, 0.2920284)
(-0.02205086, 0.1419104, 0.2920531)
(-0.02202475, 0.1419079, 0.292104)
(-0.02211034, 0.1419051, 0.292039)
(-0.02204013, 0.1419239, 0.2920984)
(-0.0220741, 0.141938, 0.2920824)
(-0.02197373, 0.1417776, 0.2919824)
(-0.02200389, 0.1417445, 0.2920331)
(-0.02179003, 0.1414279, 0.2918823)
(-0.02186465, 0.1413925, 0.291919)
(-0.02192771, 0.1413362, 0.291918)
(-0.0219723, 0.1414447, 0.2919294)
(-0.02206373, 0.1413811, 0.2918986)
(-0.02200353, 0.1413958, 0.2918034)
(-0.02194548, 0.1413616, 0.2917119)
(-0.022053, 0.1415215, 0.2915701)
(-0.02196312, 0.1415534, 0.2916707)
(-0.02195573, 0.1414112, 0.2917725)
