(-0.1650519, 1.365391, -0.01665568)
(-0.1652339, 1.364107, -0.01652312)
(-0.1661739, 1.364792, -0.01667285)
(-0.1683726, 1.364727, -0.01758122)
(-0.1694, 1.364645, -0.01710606)
(-0.1705287, 1.364267, -0.01772809)
(-0.1721315, 1.364243, -0.01756334)
(-0.1737733, 1.364134, -0.01770353)
(-0.1754186, 1.364084, -0.01797199)
(-0.1772559, 1.364103, -0.0181849)
(-0.1790545, 1.363958, -0.01850915)
(-0.180984, 1.363761, -0.01884151)
(-0.1829555, 1.363486, -0.01924992)
(-0.1850266, 1.363275, -0.0195725)
(-0.1872275, 1.363094, -0.01973987)
(-0.1893814, 1.362696, -0.02003837)
(-0.1916084, 1.362343, -0.02032018)
(-0.1937952, 1.362046, -0.02010036)
(-0.1960573, 1.361643, -0.02021217)
(-0.1986346, 1.361001, -0.02028179)
(-0.2008717, 1.36052, -0.0205183)
(-0.2033978, 1.359749, -0.02061749)
(-0.205565, 1.359109, -0.0206213)
(-0.2079389, 1.358383, -0.02058029)
(-0.2101142, 1.358076, -0.02020192)
(-0.2120752, 1.357889, -0.02024913)
(-0.2135909, 1.357817, -0.02020788)
(-0.214942, 1.357648, -0.01984239)
(-0.2159011, 1.357367, -0.01911712)
(-0.2174308, 1.357074, -0.01875854)
(-0.2176437, 1.3568, -0.01843381)
(-0.21843, 1.356713, -0.01763391)
(-0.2190771, 1.356877, -0.01693106)
(-0.2198722, 1.357245, -0.01609492)
(-0.2204902, 1.357273, -0.01521754)
(-0.2209294, 1.357402, -0.01411963)
(-0.2212634, 1.357432, -0.01318932)
(-0.2216253, 1.357343, -0.01182556)
(-0.2219727, 1.357437, -0.01073265)
(-0.2219357, 1.357392, -0.009580851)
(-0.2218151, 1.357389, -0.008101225)
(-0.2216849, 1.357292, -0.006597757)
(-0.2216969, 1.357124, -0.004693985)
(-0.2214968, 1.356893, -0.002996445)
(-0.22123, 1.356433, -0.001194954)
(-0.2211411, 1.356181, 0.0009813309)
(-0.220885, 1.355793, 0.003044367)
(-0.2203217, 1.355511, 0.004949808)
(-0.2199845, 1.355186, 0.007302046)
(-0.2195516, 1.354747, 0.009450912)
(-0.219157, 1.354091, 0.01168084)
(-0.2188754, 1.353486, 0.01454115)
(-0.2186003, 1.352699, 0.01711655)
(-0.2183533, 1.352018, 0.01943922)
(-0.2182379, 1.351489, 0.02216411)
(-0.2177422, 1.350926, 0.02499962)
(-0.2176123, 1.350223, 0.02769661)
(-0.2170043, 1.349414, 0.03053379)
(-0.2163236, 1.34891, 0.03360248)
(-0.2159324, 1.348224, 0.03666139)
(-0.2151999, 1.347394, 0.0402782)
(-0.2147343, 1.346727, 0.04352307)
(-0.2142744, 1.346036, 0.04688358)
(-0.213568, 1.345282, 0.05027485)
(-0.212745, 1.344713, 0.05408502)
(-0.2118824, 1.344193, 0.05762124)
(-0.2108641, 1.343615, 0.06173229)
(-0.2099209, 1.342998, 0.06564021)
(-0.2090883, 1.342258, 0.06955576)
(-0.2078917, 1.341333, 0.07451773)
(-0.2070479, 1.340525, 0.07905102)
(-0.2058911, 1.339886, 0.0839715)
(-0.2050171, 1.339383, 0.08897591)
(-0.2040052, 1.338468, 0.09442878)
(-0.2027678, 1.337778, 0.09987283)
(-0.2015769, 1.337322, 0.1056683)
(-0.200449, 1.336712, 0.1114557)
(-0.1990576, 1.336565, 0.1175048)
(-0.197367, 1.336675, 0.1245716)
(-0.1958709, 1.336622, 0.1315367)
(-0.1942482, 1.336671, 0.1379888)
(-0.1922898, 1.336907, 0.1448355)
(-0.190537, 1.337271, 0.151751)
(-0.1887405, 1.338087, 0.1582723)
(-0.1867766, 1.340389, 0.1652091)
(-0.1844881, 1.343617, 0.1720831)
(-0.1822448, 1.347353, 0.1791923)
(-0.1794958, 1.351164, 0.1862717)
(-0.1761827, 1.356647, 0.1944737)
(-0.1729412, 1.362947, 0.2017167)
(-0.1691172, 1.369947, 0.2086526)
(-0.16593, 1.377591, 0.2161772)
(-0.1627252, 1.385482, 0.2231463)
(-0.1588111, 1.392802, 0.2298863)
(-0.1554878, 1.400071, 0.2369802)
(-0.1523817, 1.407255, 0.2438123)
(-0.1499171, 1.414084, 0.2500666)
(-0.1467295, 1.421769, 0.2566922)
(-0.144666, 1.428648, 0.2623928)
(-0.1429768, 1.435665, 0.2681704)
(-0.1416709, 1.442055, 0.2730769)
(-0.1395955, 1.448764, 0.277804)
(-0.1384914, 1.454319, 0.2818651)
(-0.1379533, 1.459813, 0.2857442)
(-0.1364541, 1.46591, 0.2905259)
(-0.1349566, 1.472001, 0.2953045)
(-0.1338363, 1.478035, 0.2996905)
(-0.1347442, 1.483897, 0.2998179)
(-0.1340671, 1.488208, 0.3034016)
(-0.1339154, 1.494085, 0.3056691)
(-0.1335394, 1.498917, 0.308797)
(-0.1332026, 1.503818, 0.3119348)
(-0.1329246, 1.508692, 0.3151506)
(-0.1333523, 1.513439, 0.3177156)
(-0.1331813, 1.518169, 0.3209182)
(-0.1337306, 1.522027, 0.324338)
(-0.1338108, 1.525988, 0.3277485)
(-0.1340446, 1.529692, 0.3312435)
(-0.134264, 1.533555, 0.3347391)
(-0.1345284, 1.537364, 0.3382535)
(-0.1355813, 1.540204, 0.3413768)
(-0.1357906, 1.544028, 0.3448101)
(-0.1365051, 1.546485, 0.3482448)
(-0.1366954, 1.548746, 0.3520643)
(-0.1363962, 1.551361, 0.355523)
(-0.1367035, 1.554047, 0.3592587)
(-0.1369534, 1.555952, 0.3629868)
(-0.1372299, 1.557898, 0.3666658)
(-0.1385424, 1.559782, 0.3706964)
(-0.1388338, 1.561841, 0.374339)
(-0.1390045, 1.563098, 0.3780798)
(-0.1396713, 1.564918, 0.3821068)
(-0.1399276, 1.566862, 0.3858161)
(-0.1407788, 1.568609, 0.3899498)
(-0.141212, 1.568953, 0.394711)
(-0.1416693, 1.56928, 0.3990247)
(-0.1420305, 1.570313, 0.4030479)
(-0.1423802, 1.571565, 0.4070394)
(-0.1427283, 1.57281, 0.4110098)
(-0.1448503, 1.571884, 0.4159939)
(-0.1455951, 1.57223, 0.4201996)
(-0.1463194, 1.572654, 0.4243979)
(-0.1490653, 1.57215, 0.4301045)
(-0.1500616, 1.572508, 0.4348164)
(-0.1508832, 1.571871, 0.4388665)
(-0.1523943, 1.571717, 0.443398)
(-0.1551518, 1.572241, 0.4496288)
(-0.157335, 1.57248, 0.4542977)
(-0.1593194, 1.572439, 0.459116)
(-0.1615901, 1.572717, 0.4640461)
(-0.1640575, 1.573243, 0.4691164)
(-0.1665754, 1.574154, 0.4742187)
(-0.1697221, 1.575659, 0.4797139)
(-0.1726639, 1.577787, 0.4850771)
(-0.1755631, 1.580012, 0.4904342)
(-0.1786797, 1.582653, 0.4960492)
(-0.1820869, 1.586443, 0.5018169)
(-0.1855326, 1.590499, 0.5076706)
(-0.1893392, 1.595678, 0.5137101)
(-0.1933944, 1.602521, 0.5202794)
(-0.1975276, 1.609982, 0.5271373)
(-0.2016935, 1.617419, 0.534373)
(-0.2057378, 1.62542, 0.5408008)
(-0.2096636, 1.633253, 0.5468756)
(-0.2121174, 1.640704, 0.5513449)
(-0.2158489, 1.649866, 0.5568846)
(-0.2194188, 1.658595, 0.5623865)
(-0.2222593, 1.667104, 0.5672132)
(-0.225189, 1.674724, 0.5724069)
(-0.2279494, 1.68157, 0.5776725)
(-0.2318406, 1.689902, 0.5841329)
(-0.233839, 1.695552, 0.5887966)
(-0.2354558, 1.700807, 0.593112)
(-0.2392216, 1.708027, 0.5982795)
(-0.240196, 1.712757, 0.6020857)
(-0.2409286, 1.71704, 0.605476)
(-0.2425601, 1.723188, 0.6089799)
(-0.2434297, 1.727585, 0.6122495)
(-0.2442648, 1.731919, 0.6153567)
(-0.2438922, 1.736617, 0.6174408)
(-0.2444274, 1.740983, 0.6202019)
(-0.2450271, 1.74506, 0.6229578)
(-0.2439885, 1.748404, 0.6244642)
(-0.2442992, 1.75214, 0.6269246)
(-0.2446597, 1.756043, 0.6294322)
(-0.2440743, 1.759386, 0.6311767)
(-0.2442253, 1.762965, 0.6334493)
(-0.244333, 1.766386, 0.6356533)
(-0.2430422, 1.768898, 0.6368868)
(-0.2429698, 1.772271, 0.639075)
(-0.2428839, 1.775426, 0.6410469)
(-0.2422819, 1.777791, 0.6426355)
(-0.241919, 1.780611, 0.6444553)
(-0.2415328, 1.783547, 0.646347)
(-0.2403934, 1.785954, 0.6475463)
(-0.2399011, 1.788878, 0.649273)
(-0.2394009, 1.791849, 0.6509829)
(-0.2379205, 1.794272, 0.6521219)
(-0.2372713, 1.797427, 0.6538385)
(-0.2365618, 1.800235, 0.6552224)
(-0.2350736, 1.802568, 0.6558495)
(-0.2343957, 1.80542, 0.6570606)
(-0.2337458, 1.808298, 0.6582817)
(-0.2317965, 1.810979, 0.6586579)
(-0.2311027, 1.813839, 0.6597822)
(-0.2303731, 1.816612, 0.6607877)
(-0.2289834, 1.819253, 0.6615077)
(-0.2280664, 1.821963, 0.6626537)
(-0.2271924, 1.824403, 0.6636502)
(-0.2258487, 1.826958, 0.6643174)
(-0.2248836, 1.829126, 0.665234)
(-0.2238832, 1.831362, 0.6661766)
(-0.2218904, 1.833318, 0.6663908)
(-0.2207448, 1.835469, 0.6673822)
(-0.2195241, 1.837528, 0.6683384)
(-0.2181509, 1.839514, 0.6689324)
(-0.2167897, 1.841441, 0.6697786)
(-0.2153904, 1.842575, 0.670535)
(-0.2130458, 1.843627, 0.670351)
(-0.2116165, 1.844549, 0.6711352)
(-0.2096696, 1.845088, 0.6711943)
(-0.2078979, 1.845832, 0.6716582)
(-0.2062609, 1.846231, 0.672254)
(-0.2045166, 1.846469, 0.6727998)
(-0.2016425, 1.846593, 0.6725962)
(-0.1998079, 1.847495, 0.6736405)
(-0.1971853, 1.84847, 0.6739866)
(-0.1950312, 1.849413, 0.6746883)
(-0.1931045, 1.850153, 0.6754973)
(-0.1913285, 1.850853, 0.6763123)
(-0.1894314, 1.851191, 0.6759467)
(-0.1880436, 1.852229, 0.6765207)
(-0.186837, 1.853546, 0.6768576)
(-0.1848524, 1.854511, 0.676512)
(-0.1837313, 1.855735, 0.6768688)
(-0.1828647, 1.856969, 0.6771455)
(-0.1809571, 1.85776, 0.6769329)
(-0.1802897, 1.858847, 0.6772262)
(-0.1795864, 1.859943, 0.6775577)
(-0.1783669, 1.860923, 0.6775924)
(-0.1777539, 1.861824, 0.6780038)
(-0.1772962, 1.862448, 0.6785334)
(-0.1756825, 1.863064, 0.6781207)
(-0.1755538, 1.863369, 0.6787874)
(-0.1754653, 1.863857, 0.6794574)
(-0.1743731, 1.864375, 0.6792172)
(-0.174531, 1.864873, 0.6798339)
(-0.1742425, 1.865124, 0.6798058)
(-0.174233, 1.865647, 0.680269)
(-0.1745875, 1.865915, 0.680959)
(-0.1750159, 1.866142, 0.6816776)
(-0.1743822, 1.866233, 0.6814289)
(-0.1750116, 1.866529, 0.6821396)
(-0.1756072, 1.866862, 0.6828893)
(-0.1754525, 1.866932, 0.6827674)
(-0.176131, 1.867216, 0.6834804)
(-0.1767766, 1.867394, 0.6841819)
(-0.1771221, 1.867252, 0.684332)
(-0.177757, 1.86739, 0.6849443)
(-0.1786418, 1.867125, 0.6855145)
(-0.1792185, 1.866948, 0.6857946)
(-0.1801953, 1.866584, 0.6865115)
(-0.180984, 1.866343, 0.6871743)
(-0.1811466, 1.866253, 0.6872063)
(-0.1818597, 1.866215, 0.6877288)
(-0.182585, 1.866263, 0.688283)
(-0.182332, 1.866134, 0.6880517)
(-0.1830366, 1.866323, 0.6886091)
(-0.1837742, 1.866542, 0.68918)
(-0.1841869, 1.866593, 0.68944)
