(-0.2251779, 1.708832, -0.7732975)
(-0.2252224, 1.708441, -0.7714865)
(-0.2254143, 1.708153, -0.7695565)
(-0.2255177, 1.70797, -0.7672839)
(-0.225487, 1.707809, -0.7652608)
(-0.2255425, 1.707654, -0.7630559)
(-0.2255971, 1.707599, -0.7606496)
(-0.2260186, 1.70753, -0.7577446)
(-0.2264352, 1.707903, -0.7549351)
(-0.2267677, 1.707687, -0.7520159)
(-0.2272742, 1.707577, -0.7488443)
(-0.2278399, 1.70713, -0.74576)
(-0.2287425, 1.70653, -0.7424201)
(-0.2295241, 1.706244, -0.7389764)
(-0.2303336, 1.705913, -0.7353884)
(-0.2313116, 1.705777, -0.7316338)
(-0.2322979, 1.705516, -0.7275397)
(-0.2335113, 1.704943, -0.7234873)
(-0.2350261, 1.704439, -0.719283)
(-0.2367772, 1.70413, -0.7145776)
(-0.2385288, 1.703771, -0.7100035)
(-0.2406268, 1.703268, -0.7051048)
(-0.2424317, 1.702867, -0.7004848)
(-0.244993, 1.702371, -0.6949327)
(-0.2477822, 1.70202, -0.6896322)
(-0.2503661, 1.701636, -0.6843552)
(-0.253249, 1.701454, -0.678914)
(-0.2563075, 1.701169, -0.6733568)
(-0.2596393, 1.701072, -0.6677337)
(-0.2636675, 1.700679, -0.6615978)
(-0.2675751, 1.700483, -0.6557928)
(-0.2718352, 1.7002, -0.6501408)
(-0.2760665, 1.700207, -0.6445822)
(-0.2806157, 1.700167, -0.6391232)
(-0.2851805, 1.700677, -0.6337333)
(-0.2900159, 1.701863, -0.6283816)
(-0.295029, 1.702846, -0.6229925)
(-0.2997773, 1.704044, -0.6179853)
(-0.3046319, 1.704959, -0.6127557)
(-0.3089488, 1.70584, -0.6081744)
(-0.3129658, 1.70753, -0.6036043)
(-0.317003, 1.709161, -0.599076)
(-0.3210448, 1.711462, -0.5947549)
(-0.3248315, 1.713169, -0.5903509)
(-0.3281063, 1.715078, -0.586188)
(-0.3313056, 1.716929, -0.5820054)
(-0.333939, 1.71952, -0.5780095)
(-0.3370258, 1.723472, -0.5738444)
(-0.3401213, 1.729283, -0.5701996)
(-0.3430283, 1.73647, -0.566481)
(-0.345889, 1.744213, -0.562743)
(-0.348413, 1.761519, -0.5589445)
(-0.3507933, 1.770817, -0.5553386)
(-0.3532096, 1.781944, -0.5520667)
(-0.3556649, 1.799666, -0.5489555)
(-0.3582204, 1.818941, -0.5458173)
(-0.3610323, 1.837214, -0.5425867)
(-0.3638437, 1.857242, -0.5393895)
(-0.3664045, 1.875235, -0.5366544)
(-0.3687645, 1.894897, -0.533862)
(-0.3709687, 1.914071, -0.5313817)
(-0.3729507, 1.932484, -0.5287009)
(-0.3748344, 1.951086, -0.5263734)
(-0.3768737, 1.968824, -0.5239794)
(-0.3786961, 1.983339, -0.5216922)
(-0.3802269, 1.991832, -0.5193971)
(-0.3818713, 1.998109, -0.5170445)
(-0.3828201, 2.020181, -0.5148705)
(-0.3836998, 2.040197, -0.5129074)
(-0.3847964, 2.06065, -0.5108401)
(-0.3857922, 2.084105, -0.5087501)
(-0.386645, 2.085082, -0.5069418)
(-0.3878037, 2.08753, -0.5051513)
(-0.3885301, 2.090526, -0.5030887)
(-0.3893511, 2.093383, -0.5007566)
(-0.3899807, 2.095214, -0.4987648)
(-0.3906751, 2.095906, -0.4969592)
(-0.3913825, 2.095963, -0.4952596)
(-0.3922216, 2.095363, -0.493815)
(-0.3929102, 2.094472, -0.4922369)
(-0.3935661, 2.093487, -0.4908507)
(-0.3943831, 2.093237, -0.4891324)
(-0.3951108, 2.093367, -0.4874222)
(-0.3959874, 2.093732, -0.4855271)
(-0.3964035, 2.094121, -0.4842641)
(-0.3967315, 2.094263, -0.4829996)
(-0.3970199, 2.094402, -0.4818624)
(-0.3973621, 2.094749, -0.4808788)
(-0.3975669, 2.095054, -0.4797392)
(-0.3975775, 2.095451, -0.4787894)
(-0.3978328, 2.095868, -0.4774325)
(-0.3981885, 2.096343, -0.4761524)
(-0.3983603, 2.096603, -0.4750483)
(-0.3988272, 2.096775, -0.4740341)
(-0.3989332, 2.096656, -0.4732468)
(-0.3987865, 2.096889, -0.472681)
(-0.3984939, 2.097104, -0.4723052)
(-0.3980742, 2.09767, -0.4720693)
(-0.3976901, 2.09839, -0.4718583)
(-0.3975743, 2.099198, -0.4715093)
(-0.3974323, 2.099783, -0.4710849)
(-0.3972037, 2.099971, -0.4706117)
(-0.3967699, 2.099884, -0.4703013)
(-0.3961727, 2.099737, -0.4702381)
(-0.3954835, 2.099539, -0.4701206)
(-0.3947742, 2.099216, -0.4702718)
(-0.3942801, 2.098832, -0.4703788)
(-0.3936418, 2.098199, -0.4707734)
(-0.3928601, 2.096294, -0.4711987)
(-0.3919144, 2.095513, -0.4716965)
(-0.3904767, 2.094641, -0.4723451)
(-0.3888779, 2.093409, -0.473121)
(-0.3868827, 2.092259, -0.4743368)
(-0.3855053, 2.092038, -0.475201)
(-0.3838224, 2.091379, -0.4761808)
(-0.3824577, 2.090739, -0.4770517)
(-0.3811572, 2.090231, -0.4778022)
(-0.3798136, 2.0894, -0.478487)
(-0.377761, 2.0861, -0.4793205)
(-0.3753133, 2.077701, -0.4801623)
(-0.3728551, 2.070731, -0.481402)
(-0.3698111, 2.0626, -0.4824446)
(-0.366934, 2.055576, -0.48341)
(-0.3641085, 2.049279, -0.4842172)
(-0.3616735, 2.044092, -0.4849278)
(-0.3597902, 2.040267, -0.4852162)
(-0.3578275, 2.036936, -0.4852173)
(-0.3558026, 2.042025, -0.4850862)
(-0.3532997, 2.044977, -0.4852273)
