(-71.67359, -4.570103, 11.3307)
(-71.66949, -4.574299, 11.30586)
(-71.66344, -4.578376, 11.28478)
(-71.6955, -4.570746, 11.29799)
(-71.69411, -4.589987, 11.3225)
(-71.68728, -4.5681, 11.34377)
(-71.70494, -4.573989, 11.35962)
(-71.68866, -4.620028, 11.38513)
(-71.67896, -4.613853, 11.37323)
(-71.67942, -4.622245, 11.35883)
(-71.67679, -4.619241, 11.30247)
(-71.6562, -4.620194, 11.28201)
(-71.66923, -4.624057, 11.27951)
(-71.67136, -4.62501, 11.27253)
(-71.67016, -4.619551, 11.26847)
(-71.67252, -4.621768, 11.2613)
(-71.68871, -4.592538, 11.20765)
(-71.68046, -4.588056, 11.19449)
(-71.70235, -4.589629, 11.19103)
(-71.6981, -4.603982, 11.18791)
(-71.68754, -4.590988, 11.18188)
(-71.68265, -4.601026, 11.17074)
(-71.67281, -4.611731, 11.17504)
(-71.67035, -4.610515, 11.17492)
(-71.67254, -4.612541, 11.17804)
(-71.67131, -4.616237, 11.18073)
(-71.66589, -4.598188, 11.18774)
(-71.66695, -4.592252, 11.17706)
(-71.6654, -4.605842, 11.17582)
(-71.6688, -4.599714, 11.17992)
(-71.69915, -4.597878, 11.19623)
(-71.70661, -4.602242, 11.21383)
(-71.7124, -4.593945, 11.2253)
(-71.73014, -4.588103, 11.23083)
(-71.74886, -4.58262, 11.2282)
(-71.74092, -4.5573, 11.21948)
(-71.77267, -4.54433, 11.21597)
(-71.79056, -4.534984, 11.19239)
(-71.82334, -4.542017, 11.1824)
(-71.83369, -4.543257, 11.18097)
(-71.83939, -4.539251, 11.18076)
(-71.8478, -4.523635, 11.20777)
(-71.83705, -4.523206, 11.18636)
(-71.83324, -4.538918, 11.19342)
(-71.82761, -4.528618, 11.20641)
(-71.83097, -4.532886, 11.20031)
(-71.82959, -4.552412, 11.19547)
(-71.81768, -4.549885, 11.19165)
(-71.80183, -4.552722, 11.17275)
(-71.80728, -4.556441, 11.16202)
(-71.81789, -4.549599, 11.18224)
(-71.8311, -4.547858, 11.19525)
(-71.84313, -4.544353, 11.21917)
(-71.84831, -4.543018, 11.23786)
(-71.84509, -4.558945, 11.23552)
(-71.81335, -4.579663, 11.19881)
(-71.80293, -4.591107, 11.18841)
(-71.78033, -4.597425, 11.18455)
(-71.79192, -4.585767, 11.18846)
(-71.80193, -4.587984, 11.21964)
