(-4067.872, 271.3369, 5295.7)
(-3.502383, 0.0760915, -4.035024)
(-1.323213, 1.062909, -3.789428)
(-4.598459, -1.343856, 1.226462)
(-0.8120276, -0.8946248, 2.053132)
(4.677071, -0.8655547, 4.736386)
(5.989781, -1.547578, 2.173148)
(3.073424, -0.4239905, -0.8682676)
(0.9535565, 1.454542, -0.4336261)
(-4.579346, 1.69477, -2.535653)
(-1.812428, -0.1103029, -0.9451442)
(-0.6330653, 2.086199, 2.417315)
(4.255232, -3.402989, 2.903605)
(0.2331691, 0.387189, 1.888883)
(0.8281313, 0.6616287, 0.720781)
(-3.310081, -0.4334373, 1.162302)
(-0.3086512, -0.6735759, -0.2881882)
(0.04553807, -1.26703, -3.827877)
(2.008982, -0.1074897, -1.853122)
(1.99854, 0.01290074, 0.662238)
(0.7331824, 1.779013, 4.753576)
(1.815059, -0.7409793, 2.467665)
(1.33943, -0.5422201, 2.643689)
(0.2942084, -0.1932115, -0.4237479)
(-0.5959294, -0.3649865, 0.1937982)
(0.03563176, 0.7320707, -1.03656)
(1.899228, 0.297374, -0.9119468)
(-0.3370688, -1.291735, -0.6893601)
(1.445066, -0.1038371, -0.1687353)
(0.430788, 0.6982935, 2.298115)
(2.192408, -0.4489772, 2.437305)
(2.08374, 0.09022381, 2.156779)
(1.940437, 1.228453, 2.086641)
(2.927772, -1.312054, 1.117251)
(1.148243, -1.182176, -2.268026)
(-0.1206451, -1.872491, -3.896537)
(-1.414399, 0.1642388, -2.66672)
(-1.205112, -0.2004274, -1.596625)
(-2.353995, 1.04622, 1.4946)
(0.8467888, 0.2597382, 1.043176)
(1.338609, -0.6023422, 1.594285)
(17.47612, 2.704588, 18.36797)
(2.62144, -0.2136463, 0.8823591)
(0.7557122, -0.4534273, 0.5182027)
(-1.222751, -2.096999, -3.389451)
(-0.01208468, 0.271042, -2.157978)
(0.1454263, -0.1209486, -1.722078)
(-0.5208902, 0.7829803, 1.38173)
(1.92519, -0.7683531, 1.412667)
(3.636257, -1.504558, -2.112783)
(0.7881856, 0.2267383, -1.805269)
(-5.215467, 1.645856, -3.171073)
(-3.426854, -0.110404, -4.258132)
(0.5244623, 2.834082, -0.2779485)
(-1.74409, 0.7648265, 0.8911062)
(5.028494, 0.9519666, 4.364816)
(2.873495, 0.5374285, 2.534067)
(8.678597, -4.619631, 6.699871)
(0.08894273, -0.3123842, -0.9436607)
(-4.4549, -0.8980232, -7.226006)
(-1.187718, -0.6383711, -3.75423)
(-1.057416, -0.5077646, -0.02735432)
(1.485855, -2.583983, 1.236044)
(0.5746289, 0.926398, 1.380857)
(-0.3513686, 1.675428, -0.1671143)
(-0.3613634, -0.09885322, -2.849169)
(3.458877, -0.6580541, -1.682785)
