(-6616.031, -180.6774, 5699.209)
(-5.292863, -1.200409, 1.188673)
(-6.407619, 2.42525, -5.031015)
(1.362086, -0.2562464, -1.748322)
(3.50923, 0.5653884, 0.1393801)
(2.926398, 10.64724, 7.191672)
(-1.46795, -0.2612592, 0.6335534)
(-2.025019, -1.544066, 1.209491)
(-1.210739, -1.088233, 3.226517)
(0.6386668, -1.315654, 2.493994)
(3.064122, -0.3059023, 2.089483)
(2.168534, 3.774804, -2.15898)
(0.3633053, 1.657446, -0.6513699)
(-0.1479391, 0.08115514, 0.02197952)
(-3.696676, 2.08949, -1.905473)
(0.3228973, -0.1816981, 0.955557)
(1.301533, -0.3611551, 0.2693042)
(6.674329, -0.1272108, 6.250293)
(-0.8089014, -0.5497388, -0.1390054)
(-1.143535, 0.6153625, -0.08635195)
(-2.569253, 1.875367, -3.785117)
(-3.387001, -4.321494, -4.418389)
(0.8383844, 0.5088959, -0.389866)
(1.174447, 0.5768692, 1.251363)
(0.5387517, 0.1849606, 1.316232)
(1.296688, -1.189577, 1.045952)
(-2.592906, -1.013122, -0.1545441)
(-0.843223, 1.29207, 0.7462633)
(-2.058787, 2.714968, -2.756267)
(-0.3392576, -0.3578108, -0.8163386)
(-1.239368, -0.4571322, -1.242207)
(2.298245, -0.2782667, -0.3257757)
(0.8549969, 0.113601, -0.3662137)
(0.2201504, -0.748943, 0.2309421)
(1.1194, -0.1922374, 0.3045176)
(-1.686955, 3.693099, -3.041531)
(-0.1503325, -2.069795, -0.989144)
(2.124924, -0.5716842, 0.9363792)
(1.291503, 1.663842, 1.654495)
(1.020005, -0.06944715, 0.6467266)
(0.3152525, 0.5808589, -0.478257)
(0.559918, 0.9584764, -0.9746124)
(-0.08756235, 0.1962241, -1.803995)
(-3.038214, 0.02347065, -0.4014717)
