(-114.8828, 2.12388, 90.86645)
(-114.2973, 2.50566, 91.47507)
(-113.5155, 2.888966, 92.11)
(-112.6683, 3.423834, 92.75839)
(-111.8172, 4.167032, 93.50976)
(-111.0457, 4.952431, 94.405)
(-110.0533, 6.196737, 95.80059)
(-108.9568, 8.176327, 97.49419)
(-108.2559, 10.26688, 98.88785)
(-107.8574, 11.96632, 100.3608)
(-106.9718, 13.68546, 101.8783)
(-105.2199, 15.62314, 103.2881)
(-103.7631, 17.21187, 104.8171)
(-102.4304, 18.3394, 106.1276)
(-101.0369, 19.92517, 107.7965)
(-99.91773, 21.38324, 109.378)
(-98.87592, 22.82646, 110.8895)
(-97.59878, 24.36516, 112.5006)
(-96.49223, 25.77038, 114.1283)
(-95.35482, 26.83527, 115.5705)
(-94.06322, 28.09796, 117.0954)
(-92.95247, 28.77846, 118.4683)
(-91.88892, 29.63425, 119.7417)
(-90.65969, 30.2717, 121.0303)
(-89.57278, 30.79478, 122.2535)
(-88.52946, 31.07334, 123.2907)
(-87.36683, 31.37583, 124.3937)
(-86.24351, 31.59047, 125.5829)
(-85.17282, 31.54969, 126.5752)
(-84.08492, 31.48587, 127.6183)
(-83.09843, 30.80698, 128.5941)
(-82.04956, 30.35654, 129.6275)
(-81.04161, 29.55797, 130.6052)
(-80.02697, 28.60943, 131.59)
(-78.97292, 27.70166, 132.6132)
(-77.93539, 26.51062, 133.5802)
(-76.74088, 25.1471, 134.6863)
(-75.69455, 23.82665, 135.6843)
(-74.76595, 22.54691, 136.6298)
(-73.85191, 21.2086, 137.6359)
(-72.84199, 19.85533, 138.6762)
(-71.93217, 18.57619, 139.5862)
(-71.00432, 17.41815, 140.5462)
(-69.90761, 16.02304, 141.6135)
(-68.94419, 14.51304, 142.4573)
(-67.73212, 12.71188, 143.491)
(-66.79139, 11.11207, 144.3871)
(-65.98469, 9.479523, 145.2179)
(-65.31902, 8.304501, 146.1219)
(-64.5621, 7.274652, 147.0087)
(-64.07731, 6.774068, 147.8288)
(-63.29945, 6.168079, 148.5602)
(-62.45352, 5.249619, 149.4115)
(-61.68436, 3.983712, 150.0185)
(-60.70299, 2.604437, 150.7236)
(-60.00979, 1.387405, 151.3207)
(-59.42374, 0.2896309, 151.8366)
