(-4.207599, -3.437805, 178.8618)
(-4.119372, -3.398228, 178.8971)
(-4.114628, -3.420281, 178.9036)
(-4.169953, -3.424692, 178.8933)
(-4.214454, -3.371954, 178.9059)
(-4.199791, -3.350115, 178.9416)
(-4.199791, -3.350115, 178.9416)
(-4.181349, -3.359795, 178.9446)
(-4.180396, -3.379846, 178.9666)
(-4.228067, -3.375006, 178.9718)
(-4.247582, -3.333735, 178.9927)
(-4.269826, -3.323054, 178.9916)
(-4.268241, -3.330088, 178.9908)
(-4.234135, -3.325462, 178.9977)
(-4.254425, -3.305435, 178.9713)
(-4.262722, -3.280234, 178.996)
(-4.292643, -3.271198, 179.0019)
(-4.302752, -3.260183, 178.9966)
(-4.302573, -3.25644, 178.995)
(-4.278111, -3.255939, 178.992)
(-4.284167, -3.245449, 178.9837)
(-4.29951, -3.245473, 178.9823)
(-4.331946, -3.225327, 178.9789)
(-4.365563, -3.203416, 178.9785)
(-4.388666, -3.189659, 178.9762)
(-4.38292, -3.198218, 178.9617)
(-4.337132, -3.220987, 178.9753)
(-4.324591, -3.232098, 178.982)
(-4.316604, -3.253841, 178.9751)
(-4.343343, -3.232265, 178.9542)
(-4.360676, -3.239727, 178.9569)
(-4.362881, -3.246474, 178.9565)
(-4.340863, -3.266025, 178.9639)
(-4.326475, -3.259659, 178.9766)
(-4.328501, -3.270817, 178.9814)
(-4.331315, -3.278875, 178.9849)
(-4.334128, -3.284144, 178.9895)
(-4.330742, -3.285575, 178.9925)
(-4.3414, -3.28908, 178.9915)
(-4.339969, -3.278661, 179.0054)
(-4.346871, -3.276491, 179.0094)
(-4.335451, -3.287911, 179.0105)
(-4.321158, -3.276753, 179.0103)
(-4.311359, -3.275418, 179.0023)
(-4.314184, -3.283954, 179.0097)
(-4.302907, -3.283596, 179.0073)
(-4.295266, -3.28126, 179.02)
(-4.29039, -3.282833, 179.0137)
(-4.288459, -3.286934, 179.0073)
(-4.301882, -3.286123, 179.0043)
(-4.326904, -3.263712, 178.9762)
(-4.308987, -3.252387, 178.9713)
(-4.282916, -3.251863, 178.9619)
(-4.258859, -3.282952, 178.9886)
(-4.241967, -3.289747, 178.993)
(-4.264283, -3.310633, 179.0099)
