(-3327.629, 227.8042, 3879.659)
(-29.58812, 75.84079, 48.99187)
(-24.60433, 75.21241, 23.66803)
(-45.38873, 56.95062, 28.80083)
(-42.95112, 46.69155, 18.55899)
(-26.11089, 23.54816, 13.51393)
(-24.21494, 26.0494, 0.1429176)
(-23.24537, 32.67979, -4.30494)
(-5.297168, 30.49433, -8.258059)
(-7.515871, 44.71673, 9.222352)
(-1.740888, 52.65707, 2.164923)
(-14.65322, 48.419, 16.29975)
(-17.91508, 45.1571, 29.89169)
(-26.035, 50.52687, 24.25264)
(-30.83935, 54.3815, 42.38635)
(-22.60171, 62.73093, 49.12411)
(-29.90321, 62.18884, 48.16193)
(-25.26917, 54.62938, 44.48621)
(-24.83046, 53.59837, 46.63765)
(-29.21772, 57.87335, 39.84313)
(-30.38116, 46.2332, 43.47155)
(-29.23714, 46.26183, 45.55367)
(-45.97747, 50.28016, 45.60238)
(-46.34594, 40.94485, 56.38087)
(-39.96282, 41.89051, 57.33145)
(-52.69712, 37.26442, 50.85396)
(-51.71838, 30.23033, 55.97429)
(-50.1252, 21.18582, 56.3242)
(-62.81264, 12.54514, 52.73611)
(-65.9852, 5.535011, 55.69171)
(-64.49535, 0.510523, 57.66737)
(-68.88484, -4.249019, 53.39177)
(-80.64717, -19.61434, 54.8525)
(-73.73602, -23.2908, 50.48263)
(-75.63721, -26.32804, 51.90118)
(-81.92046, -37.31173, 46.58731)
(-74.03935, -35.86456, 46.46032)
(-83.29236, -46.77442, 42.02359)
(-85.44209, -46.78355, 41.40009)
(-82.47884, -50.965, 39.75473)
(-79.67289, -54.64178, 41.22937)
(-80.41151, -61.32116, 35.99345)
(-84.23275, -72.47217, 32.14891)
(-80.74958, -70.99721, 32.83837)
(-78.56238, -78.80413, 22.92802)
(-73.19158, -74.45426, 17.85317)
(-64.24951, -75.54789, 11.2733)
(-62.3049, -55.49347, 12.83062)
(-67.4741, -59.55668, 14.97365)
(-62.04901, -61.90858, 26.51732)
(-69.4376, -69.6513, 29.29329)
(-75.59975, -83.86877, 22.119)
(-57.06218, -71.04044, 23.60652)
(-56.49988, -69.91122, 21.0656)
(-21.61261, -51.24824, 6.48773)
(-8.440747, -40.32994, 1.715476)
(-4.626953, -41.12452, -6.59242)
