(-57.54583, 2.551198, 26.87583)
(-56.97708, 4.026294, 27.83976)
(-56.47757, 5.076766, 29.55651)
(-56.05354, 5.967975, 31.19206)
(-55.88961, 6.790519, 32.38049)
(-54.85577, 9.480214, 34.7847)
(-54.41978, 11.27386, 35.64861)
(-53.96738, 12.87737, 36.63301)
(-53.53317, 14.58585, 37.50679)
(-53.28808, 16.36116, 38.53202)
(-53.13666, 17.98079, 39.44111)
(-53.00517, 19.31963, 40.54427)
(-52.75323, 20.88737, 41.60085)
(-52.63963, 22.25802, 42.54751)
(-52.46139, 23.56045, 43.48877)
(-52.19114, 24.96369, 44.43116)
(-52.02832, 26.16953, 45.21489)
(-51.80001, 27.31193, 45.98875)
(-51.53561, 28.53106, 46.90599)
(-51.27828, 29.5231, 47.71061)
(-51.04346, 30.44003, 48.51379)
(-50.75786, 31.29753, 49.33665)
(-50.45538, 31.8646, 50.18184)
(-50.19934, 32.47249, 50.97437)
(-49.85609, 32.65711, 51.77414)
(-49.45309, 32.65613, 52.57182)
(-49.04089, 32.531, 53.28448)
(-48.49141, 32.18204, 54.16787)
(-47.92261, 31.66511, 54.9706)
(-47.43953, 31.14966, 55.70507)
(-46.93599, 30.60209, 56.52025)
(-46.49649, 29.92783, 57.20554)
(-46.0081, 29.25799, 57.95662)
(-45.53425, 28.33034, 58.71275)
(-45.03241, 27.31664, 59.54306)
(-44.48123, 26.23112, 60.41327)
(-43.77303, 24.95221, 61.37178)
(-42.99812, 23.69821, 62.3045)
(-42.20483, 22.45193, 63.16521)
(-41.49511, 21.2636, 63.97905)
(-40.70103, 20.04752, 64.8221)
(-39.98133, 18.91267, 65.65182)
(-39.4381, 17.5462, 66.50743)
(-38.85528, 16.26096, 67.49213)
(-38.25967, 14.74864, 68.60595)
(-37.72683, 13.14356, 69.60106)
(-37.14352, 11.78982, 70.47884)
(-36.46681, 10.40952, 71.40536)
(-35.92316, 9.10933, 72.1909)
(-35.31929, 7.919812, 72.96133)
(-34.62751, 6.589317, 73.84109)
(-34.11645, 5.455589, 74.48196)
(-33.62596, 4.457998, 75.12658)
(-33.06667, 3.387475, 75.76379)
(-32.55249, 2.407551, 76.23136)
(-32.27112, 1.477242, 76.54388)
(-31.88667, 0.3871441, 76.93854)
