(-66.95094, 2.022791, 120.1468)
(-66.89148, 2.019286, 120.111)
(-66.86752, 2.030993, 120.0879)
(-66.92488, 2.04215, 120.1023)
(-66.97163, 2.033806, 120.1259)
(-67.0144, 2.017164, 120.1931)
(-67.03892, 2.014828, 120.2173)
(-66.9698, 2.024412, 120.1954)
(-66.94095, 2.028847, 120.1761)
(-66.89239, 2.04494, 120.1289)
(-66.85603, 2.031898, 120.0948)
(-66.84072, 1.996112, 120.0894)
(-66.84291, 1.980281, 120.0829)
(-66.81304, 1.973057, 120.0809)
(-66.79713, 1.947594, 120.0495)
(-66.73515, 1.933527, 120.0265)
(-66.69272, 1.931572, 120.0068)
(-66.6708, 1.924825, 120.0035)
(-66.69566, 1.930737, 120.0204)
(-66.73257, 1.962781, 120.0649)
(-66.75708, 1.947665, 120.0936)
(-66.76364, 1.949811, 120.1007)
(-66.74199, 1.961565, 120.0992)
(-66.71272, 1.962638, 120.0937)
(-66.69824, 1.957798, 120.0923)
(-66.72509, 1.926136, 120.0724)
(-66.73247, 1.951838, 120.0453)
(-66.74564, 1.952028, 120.0481)
(-66.72548, 1.960325, 120.0503)
(-66.70106, 1.974344, 120.0235)
(-66.70541, 1.96867, 120.0256)
(-66.73277, 1.93975, 120.0089)
(-66.7774, 1.940775, 120.0268)
(-66.80133, 1.935124, 120.0223)
(-66.78561, 1.943326, 120.0134)
(-66.76945, 1.960707, 119.9782)
(-66.72005, 1.964593, 119.9493)
(-66.67294, 1.961279, 119.9225)
(-66.63424, 1.922083, 119.9468)
(-66.63718, 1.917076, 119.9364)
(-66.67078, 1.918507, 119.9341)
(-66.70378, 1.934838, 119.918)
(-66.73525, 1.951241, 119.9032)
(-66.7188, 1.974726, 119.8932)
(-66.70238, 1.978064, 119.8764)
(-66.68362, 1.970053, 119.8676)
(-66.63284, 1.971388, 119.8588)
(-66.57512, 1.960254, 119.8389)
(-66.56625, 1.955676, 119.8267)
(-66.58444, 1.943016, 119.8025)
(-66.61359, 1.957393, 119.7559)
(-66.62282, 1.966977, 119.7235)
(-66.62065, 1.967573, 119.6938)
(-66.59853, 1.974511, 119.6521)
(-66.59, 1.975989, 119.6443)
(-66.54377, 1.981211, 119.6374)
(-66.51179, 1.986241, 119.6165)
(-66.5031, 1.996326, 119.5785)
(-66.49507, 2.004433, 119.5476)
(-66.47923, 1.994944, 119.5115)
(-66.49487, 2.001905, 119.4936)
(-66.48515, 2.002859, 119.4952)
(-66.47012, 1.999998, 119.5017)
(-66.43989, 2.001357, 119.5077)
(-66.4239, 2.001333, 119.4929)
(-66.40793, 2.007127, 119.459)
(-66.43276, 2.03464, 119.4237)
(-66.45913, 2.047777, 119.4145)
(-66.46533, 2.036881, 119.4177)
(-66.44283, 2.04041, 119.4125)
