(-80.14047, 2.457142, 27.63136)
(-80.16718, 2.694273, 27.19493)
(-80.34206, 3.040934, 26.15542)
(-80.7277, 3.710198, 25.4648)
(-80.97672, 4.542327, 25.12667)
(-81.24328, 5.115151, 24.80431)
(-81.75187, 8.587074, 24.51298)
(-82.59983, 10.42755, 24.75708)
(-83.58707, 12.24275, 24.09885)
(-84.51951, 13.7984, 24.06883)
(-86.09297, 15.37368, 24.54922)
(-87.07452, 16.62176, 24.83773)
(-88.01715, 18.16726, 25.24779)
(-88.83607, 20.0433, 25.97406)
(-90.00766, 23.33236, 26.8647)
(-90.62917, 24.77636, 27.21436)
(-91.39256, 26.3998, 27.60828)
(-92.03345, 27.19576, 27.85056)
(-93.8447, 28.96395, 28.47969)
(-94.71216, 29.58877, 28.74289)
(-94.94243, 27.74842, 30.19309)
(-95.73302, 28.16604, 30.6329)
(-96.82729, 27.97084, 30.88553)
(-97.9388, 27.98494, 31.14994)
(-98.90855, 27.64368, 31.61724)
(-100.0063, 27.0541, 31.89628)
(-101.2449, 26.43898, 32.09355)
(-102.3129, 25.76363, 32.31718)
(-104.6152, 24.28453, 32.51524)
(-105.7303, 23.26651, 32.56466)
(-106.8215, 22.14642, 32.55649)
(-107.9418, 21.18318, 32.54001)
(-109.1029, 19.786, 32.45499)
(-110.26, 18.53511, 32.46369)
(-111.7027, 16.80968, 32.38618)
(-113.0037, 15.41517, 32.26452)
(-114.27, 13.93938, 32.07719)
(-115.4028, 12.44066, 31.72038)
(-116.7572, 10.87234, 31.35817)
(-117.8762, 9.5191, 30.93879)
(-119.3581, 7.743049, 30.44679)
(-121.1797, 5.594635, 29.14846)
(-121.9594, 4.648352, 28.42305)
(-122.7764, 4.059815, 27.48201)
(-123.488, 3.561854, 26.7791)
(-123.8653, 3.234363, 26.19479)
(-124.647, 2.65131, 25.68924)
(-125.3829, 1.734543, 25.5939)
(-126.0526, 0.6149292, 25.7174)
