(-6066.071, 71.84747, -352.1062)
(-239.3546, 64.67253, -45.06998)
(-77.5175, 13.03884, -13.02739)
(-287.5534, 117.2204, -20.12654)
(-67.93076, 20.88541, -5.104676)
(-262.1078, 82.01831, -26.5332)
(-156.1033, 57.27076, -10.39883)
(-124.1045, 42.81396, -18.88075)
(-143.3181, 29.80729, -16.65401)
(-137.8161, 33.98232, -17.57059)
(-138.6934, 5.416733, -12.24206)
(-123.4356, 11.79944, -14.85655)
(-109.4381, -20.72795, -10.3759)
(-106.6407, -8.405848, -9.243823)
(-99.15965, -28.94442, -4.617679)
(-89.10623, -42.26281, -8.508368)
(-75.09864, -66.88696, -6.050034)
(-70.40293, -80.33631, -12.47897)
(-58.63449, -88.98288, -9.944899)
(-53.00834, -81.97431, -9.223535)
(-33.32512, -88.22251, -1.722935)
(-32.25943, -20.18105, -21.39303)
