(-236.2209, 4.417777, 155.0763)
(-236.267, 6.214571, 154.3695)
(-236.1625, 8.275199, 153.5882)
(-236.1719, 12.65161, 151.8847)
(-236.7409, 14.29315, 150.9029)
(-237.0588, 16.03835, 149.7998)
(-236.7478, 19.91203, 148.1812)
(-236.6297, 22.03368, 147.2257)
(-236.5047, 24.00696, 146.3242)
(-236.4476, 27.68705, 144.3516)
(-236.1477, 31.05388, 142.6781)
(-236.0863, 32.72506, 141.6068)
(-236.0988, 34.01176, 140.7433)
(-235.9402, 35.25925, 139.9436)
(-235.9809, 37.10315, 138.1028)
(-235.8495, 37.98589, 137.331)
(-235.838, 38.42823, 136.3806)
(-235.8509, 38.58979, 135.6119)
(-235.7029, 38.72352, 133.9463)
(-235.6884, 38.14939, 133.2943)
(-235.5177, 37.12188, 131.8831)
(-235.365, 34.83017, 130.7686)
(-235.2395, 33.64466, 130.0797)
(-235.1239, 31.98445, 129.6501)
(-234.9688, 30.11094, 129.1942)
(-234.7725, 26.2007, 128.3586)
(-234.7943, 23.88959, 127.989)
(-234.8071, 21.57115, 127.6241)
(-234.8669, 19.29799, 127.3148)
(-235.0098, 17.07022, 126.9309)
(-235.1425, 12.89039, 126.2429)
(-235.3883, 9.18119, 125.4993)
(-235.4542, 7.907677, 125.083)
(-235.4989, 5.722594, 124.4964)
(-235.4514, 5.013418, 124.3767)
(-235.7628, 3.983188, 124.2802)
(-235.6264, 1.90711, 125.1461)
(-235.61, 0.8271217, 125.4402)
