(-16013.71, 202.175, 4555.66)
(78.41573, 181.4909, -17.14755)
(27.33437, 104.4723, 0.7498559)
(-15.18888, 116.9972, -1.322642)
(33.06101, 117.7374, 1.002829)
(34.76741, 153.7654, -61.29577)
(38.12753, 123.9501, -40.291)
(43.3194, 144.9178, -55.59283)
(39.5792, 129.4786, -46.2053)
(37.63936, 139.4252, -52.48695)
(35.35892, 92.30684, -45.18176)
(40.06273, 97.37472, -53.76341)
(50.21182, 68.94241, -53.44954)
(43.58157, 56.29707, -61.20953)
(50.49987, 28.60118, -50.99287)
(40.31863, 17.86413, -58.19675)
(43.4552, 3.66273, -47.92258)
(32.37511, -28.44308, -56.53549)
(22.13164, -125.7808, -63.60339)
(-1.387309, -120.6473, -29.17688)
(-5.255728, -123.1536, -20.20414)
(-5.385083, -139.0741, -20.59717)
(-12.14102, -143.9757, -12.16248)
(-23.30492, -164.7213, -3.97522)
(-18.27958, -150.3333, 0.5260458)
(-25.99168, -180.1551, -3.562297)
(-23.01036, -142.9859, -6.564581)
(-16.21332, -120.1779, -11.42185)
(-8.985781, -75.59367, -34.97268)
(0.7127091, -94.76749, -39.30656)
(5.248424, -65.59074, -67.2709)
(3.961982, -75.13627, -60.12419)
(-3.161162, -57.25896, -43.77589)
