(-129.5381, 5.739617, -13.23994)
(-128.8859, 9.84838, -13.82079)
(-128.6839, 11.9199, -13.82706)
(-128.1142, 16.22577, -13.97245)
(-127.6537, 18.3026, -14.09529)
(-126.4917, 22.8059, -14.47237)
(-125.8936, 25.01696, -14.67953)
(-124.6117, 29.14695, -14.9627)
(-123.0329, 32.94041, -15.04697)
(-120.7366, 37.9822, -14.8828)
(-120.1094, 39.60669, -14.88323)
(-118.5314, 42.07568, -14.89753)
(-117.8322, 42.6934, -14.87952)
(-116.2143, 43.91272, -14.7321)
(-115.4568, 44.10936, -14.6418)
(-113.8048, 44.10942, -14.57272)
(-112.174, 43.07085, -14.79218)
(-110.7233, 41.23238, -15.17386)
(-109.9706, 40.14035, -15.37991)
(-108.5782, 37.62759, -15.89388)
(-107.921, 36.2286, -16.19458)
(-106.8301, 32.453, -16.89665)
(-106.3357, 30.66479, -17.26975)
(-105.4309, 26.53838, -17.99357)
(-105.0087, 24.52298, -18.34793)
(-104.3442, 18.05788, -19.26191)
(-104.1638, 15.98673, -19.53449)
(-103.9368, 12.15224, -19.91373)
(-103.9776, 10.35898, -20.05793)
(-103.8901, 6.368804, -20.2908)
(-103.6476, 5.66237, -20.13848)
(-103.4837, 3.836823, -19.91268)
(-103.3166, 3.179312, -19.70629)
(-103.0691, 1.569843, -19.292)
(-102.9747, 1.261973, -19.27724)
