(-147.408, 1.781726, -80.94326)
(-148.8094, 2.115321, -80.93103)
(-153.0409, 3.095913, -80.57726)
(-157.3627, 5.476856, -79.40591)
(-164.2514, 8.074737, -78.57744)
(-169.6609, 8.339882, -78.52699)
(-174.6067, 8.532786, -78.57021)
(-179.8448, 8.816171, -78.34405)
(-182.3807, 8.917737, -78.05861)
(-185.2142, 8.744788, -77.51649)
(-190.7525, 8.534503, -76.46996)
(-196.2337, 8.127809, -75.34095)
(-198.9797, 7.888746, -74.91339)
(-204.3689, 7.336736, -74.47659)
(-207.0931, 6.962705, -74.34255)
(-209.7907, 6.625986, -74.27286)
(-217.8083, 5.878901, -74.13548)
(-220.292, 5.814338, -73.97054)
(-227.1065, 5.3581, -72.80244)
(-229.1523, 5.21276, -72.13026)
(-230.9241, 5.168414, -71.27298)
(-234.1445, 5.251694, -69.61189)
(-235.2976, 5.4564, -68.68061)
(-237.1457, 5.780935, -67.07386)
(-238.0159, 5.365252, -64.98621)
(-238.1327, 4.354692, -64.0181)
(-237.6646, 3.875613, -63.62609)
(-237.1118, 3.266191, -63.39787)
(-235.7043, 2.066374, -62.68719)
(-235.2461, 1.063752, -62.16735)
(-235.8503, 0.7856846, -61.34211)
