(-86.99767, 1.848745, 45.2906)
(-88.15998, 2.154446, 45.24882)
(-90.80357, 2.756262, 44.85033)
(-93.44031, 3.516912, 44.42677)
(-93.44031, 3.516912, 44.42677)
(-94.96676, 3.75278, 44.3471)
(-96.63223, 4.060125, 44.27496)
(-98.23769, 4.440689, 44.20364)
(-99.79876, 4.806423, 44.09261)
(-101.431, 5.104423, 43.97289)
(-103.0865, 5.429077, 43.91775)
(-104.7229, 5.780697, 43.7994)
(-106.3863, 6.028056, 43.67486)
(-108.0062, 6.261373, 43.56509)
(-109.6289, 6.517982, 43.42041)
(-112.7446, 6.857443, 43.23678)
(-112.7446, 6.857443, 43.23678)
(-114.2038, 7.089448, 43.07783)
(-115.5731, 7.208323, 42.91196)
(-116.8297, 7.223439, 42.77189)
(-118.1609, 7.305765, 42.56522)
(-119.4347, 7.225966, 42.37224)
(-120.5483, 7.024956, 42.20377)
(-121.6016, 6.782126, 41.97865)
(-122.6696, 6.459069, 41.78475)
(-123.5078, 5.767155, 41.62903)
(-124.4873, 5.277562, 41.45329)
(-125.2526, 4.625273, 41.35587)
(-125.9071, 4.005909, 41.32447)
(-127.0191, 2.737951, 41.15079)
(-127.215, 1.892543, 40.99021)
(-127.5249, 1.109791, 40.82214)
(-127.8109, 0.6762743, 40.23665)
