(-1421.633, 83.86324, -2553.59)
(-87.11547, 14.44761, -31.59899)
(-186.2308, 12.26702, -43.43619)
(-169.6714, 3.791016, -19.58196)
(-88.58482, 59.5976, 39.48383)
(-156.918, 24.62913, -1.609001)
(-163.0017, 20.23859, 7.332375)
(-182.8783, 26.11232, 0.1851376)
(-268.2704, 43.10136, -4.243996)
(-109.7216, 18.43374, -2.759887)
(-380.8123, 57.87103, -18.187)
(-203.1543, 24.01002, -4.393201)
(-201.8007, 20.31122, -0.7169694)
(-104.0708, 1.567551, 0.8500423)
(-190.527, -0.3384255, 10.77321)
(-198.0264, -3.404031, 7.049898)
(-173.9315, -21.27935, 17.02391)
(-169.311, -36.60811, 15.08395)
(-132.1586, -34.70472, 7.404638)
(-137.2143, -48.50792, 10.66795)
(-109.4365, -52.52662, 18.12334)
(-103.2288, -63.89443, 25.36116)
(-70.99363, -61.33834, 37.30976)
(-46.70365, -45.2871, 40.41911)
(-26.76627, -31.04261, 34.50897)
(-36.79253, 26.48092, 7.803027)
(-67.91436, -40.67114, -7.723063)
(-36.31704, -28.88474, 28.6463)
