(-8961.011, 1135.404, 1484.557)
(-57.31994, 48.02645, 2.962074)
(-56.32803, 48.84479, -7.225733)
(-129.7505, 151.3894, -9.802742)
(-72.82509, 59.89141, -10.33904)
(-63.0286, 70.58392, -22.6455)
(-41.05171, 100.0162, -4.417701)
(-52.90218, 117.6189, -0.02458799)
(-10.29586, 93.4166, -2.350126)
(-3.960374, 249.9999, 18.83634)
(-48.03563, 152.1644, 16.53799)
(-90.4894, 174.2471, 17.27153)
(0, 0, 0)
(-56.16361, 128.3404, -13.40793)
(-50.42442, 122.3995, -4.779493)
(-66.29416, 106.9695, -9.425423)
(-64.113, 110.6755, -11.28369)
(-63.03497, 128.6304, -0.0497069)
(-69.16879, 98.92738, -5.065564)
(-95.88152, 100.3803, -14.23054)
(-78.69251, 114.7408, 7.773875)
(-87.9173, 94.24119, -0.08214287)
(-110.8568, 89.02416, 5.782128)
(0, 0, 0)
(-181.2626, 109.7149, 4.168611)
(-113.1523, 70.3032, 3.34124)
(-155.3502, 64.38917, 10.97322)
(0, 0, 0)
(-169.3641, 37.55164, 17.11512)
(-124.2733, 30.87125, 20.22803)
(-152.2364, 26.43541, 19.4767)
(-141.7368, 9.858628, 20.95698)
(-149.782, 1.384947, 24.40857)
(-140.2653, -4.283296, 24.84967)
(-167.2997, 0.7209494, 27.42072)
(-162.3368, -10.57171, 24.0403)
(-103.4661, -3.931592, 12.76451)
(-234.8378, -31.32854, 38.28125)
(-218.2514, -31.89448, 36.11102)
(-119.675, -23.50052, 21.32815)
(0, 0, 0)
(-180.1789, -34.8591, 27.59368)
(-189.8635, -32.71396, 24.65924)
(-122.0614, -21.5628, 19.77998)
(-144.5678, -26.04095, 9.718966)
(-132.2037, -19.26874, 13.11837)
(-90.70181, -25.47211, 8.671603)
(-119.5094, -29.99965, 5.570601)
(-108.7181, -41.79696, 14.27513)
(0, 0, 0)
(-189.2127, -68.02449, 27.53199)
(-46.18433, -29.16537, 13.28937)
(-64.74178, -32.68176, 6.607258)
(-46.70855, -35.31182, 12.18957)
(-50.71661, -36.07685, 10.86442)
(-37.81117, -39.92429, 4.912231)
(-22.00631, -33.51173, 0.3566741)
