(-10606.74, 173.0956, 1329.173)
(19.87992, 52.01387, 25.99807)
(28.75086, 167.4744, 83.10283)
(-0.673336, 86.00121, 34.68581)
(-8.603471, 266.4031, 89.23312)
(-3.842544, 220.2867, 69.2099)
(-57.42148, 157.953, 31.24468)
(-41.76602, 150.9089, 37.36834)
(-38.45047, 133.0079, 51.19768)
(-64.79712, 150.3836, 57.65792)
(-78.6477, 130.9049, 56.2342)
(-76.12264, 126.2129, 55.48957)
(-92.87699, 150.5036, 75.52084)
(-101.0811, 124.0625, 54.50241)
(-127.6343, 83.34634, 49.62929)
(-95.5389, 125.9044, 67.22244)
(-131.5229, 81.39854, 40.76335)
(-133.9885, 84.89266, 51.00365)
(0, 0, 0)
(-369.0354, 85.29457, 66.56227)
(-122.2343, 30.18304, 20.45216)
(-155.8952, 38.50308, 14.51672)
(-158.0014, 10.89352, 7.3285)
(-150.7957, 37.72594, 19.45036)
(-163.7284, 20.14343, 4.291618)
(-148.6758, 8.84154, 4.061978)
(-162.4362, 8.566575, -0.414641)
(-153.9959, -4.064075, -11.96953)
(-153.1412, -5.480619, -14.21608)
(-167.2898, -8.693291, -21.55669)
(-170.2615, -4.536404, -17.31922)
(0, 0, 0)
(-250.3484, -15.14194, -21.10684)
(-138.9446, 0.5784576, -4.129152)
(-142.7968, 9.955926, 0.3298241)
(-154.2922, -2.957818, -7.804376)
(-127.2647, 9.324146, 7.935938)
(-123.6334, 6.378206, -0.7596312)
(-131.1248, -4.823238, -8.388478)
(-75.53615, 2.662273, -3.966881)
(-138.5375, 2.33041, -15.63748)
(-109.2506, -8.796125, -18.24042)
(-77.71359, -16.1819, -11.24342)
(-78.8004, -13.3312, -12.51961)
(-97.86522, -19.01567, -15.56677)
(0, 0, 0)
(-90.64632, -9.380739, 0.6584412)
(-62.51025, -5.872882, 3.473041)
(-63.12482, -10.91029, 3.203352)
(-52.13455, -13.27875, 3.90796)
(-43.10371, -22.30164, -3.975506)
(-44.45256, -22.99011, -4.239166)
(-44.52372, -24.2559, -11.75051)
(-41.79807, -16.98907, -8.398009)
(-25.62616, -22.53571, -16.82543)
(-33.43051, -18.35907, -18.82873)
(-23.44892, -20.88778, -21.27264)
(-23.55119, -25.20282, -14.63473)
(-13.15722, -22.10228, -11.99252)
(-38.17066, -74.465, -15.69711)
(-16.70517, -24.61427, 1.503303)
(0, 0, 0)
