(-4176.595, 890.369, -748.9748)
(0, 0, 0)
(-2.881171, 141.5854, 24.42761)
(-40.89248, 150.6103, 0.03545719)
(-11.34359, 56.1118, 4.04214)
(0, 0, 0)
(-40.77927, 139.3387, 26.00946)
(0, 0, 0)
(-86.59956, 97.74683, -12.48311)
(-68.72832, 82.47255, -1.631459)
(-82.87234, 66.07681, -7.319471)
(-92.03448, 74.71788, -6.73845)
(-144.2926, 98.00096, -4.03342)
(0, 0, 0)
(-117.1941, 73.10529, 4.257744)
(-102.1735, 53.88736, 10.24517)
(0, 0, 0)
(-265.2435, 124.9626, 17.7958)
(-205.5745, 92.19486, -2.404238)
(0, 0, 0)
(-281.8658, 110.8159, -15.56639)
(-247.359, 89.04855, -20.37655)
(-134.5709, 52.82223, -7.457744)
(-178.504, 68.06879, -19.77644)
(-147.0746, 53.84499, -18.09786)
(0, 0, 0)
(-262.8764, 87.10584, -24.70201)
(-238.7199, 61.96087, -15.65442)
(0, 0, 0)
(-182.5934, 38.59937, -9.713662)
(-227.1446, 62.56368, -10.63752)
(-162.3171, 24.65279, -19.61114)
(-132.8038, 25.98045, -17.36066)
(-147.3856, 13.1162, -13.50057)
(-116.5776, 11.87005, -4.039159)
(0, 0, 0)
(-154.5607, 1.134668, -9.687623)
(-94.20291, -7.200464, -3.465142)
(0, 0, 0)
(-158.5798, -34.55358, -13.43289)
(0, 0, 0)
(-151.3009, -71.21548, -24.46569)
(-87.54735, -41.37054, -5.832838)
(-56.89128, -24.87649, 3.995127)
(0, 0, 0)
(-89.33118, -57.68561, 15.79133)
(-46.12141, -32.47617, 7.198979)
(-19.43502, -21.36781, 2.564552)
(-30.12855, -29.56366, 10.91543)
(0, 0, 0)
