(-181.0725, 2.078867, 74.58549)
(-181.093, 2.071786, 74.58401)
(-181.1526, 2.071905, 74.57522)
(-181.1692, 2.065682, 74.56827)
(-181.1554, 2.074313, 74.55264)
(-181.1289, 2.045298, 74.50421)
(-181.1744, 2.028728, 74.47115)
(-181.1879, 2.024007, 74.46333)
(-181.1789, 1.99821, 74.43539)
(-181.1817, 1.98586, 74.4226)
(-181.1463, 2.004528, 74.40913)
(-181.1775, 1.965594, 74.40009)
(-181.132, 1.992226, 74.39944)
(-181.1517, 1.960921, 74.39685)
(-181.1092, 1.97928, 74.37812)
(-181.1722, 1.952672, 74.36073)
(-181.1322, 1.978731, 74.36739)
(-181.2086, 1.956058, 74.34506)
(-181.1847, 1.988077, 74.38838)
(-181.2414, 1.968765, 74.37299)
(-181.1956, 2.017498, 74.38315)
(-181.2172, 1.985669, 74.38339)
(-181.2323, 1.986933, 74.38815)
(-181.2056, 2.004337, 74.40746)
(-181.2106, 2.001429, 74.40263)
(-181.1808, 2.032471, 74.3827)
(-181.116, 2.09868, 74.42364)
(-181.1611, 2.078915, 74.40871)
(-181.0998, 2.120066, 74.41387)
(-180.4939, 2.574682, 74.64952)
(-180.4865, 2.543902, 74.63377)
(-180.4658, 2.516294, 74.63934)
(-180.6816, 2.26593, 74.51143)
(-180.6704, 2.294421, 74.4886)
(-180.6633, 2.274966, 74.49194)
(-180.5391, 2.477956, 74.55431)
(-180.4634, 2.677083, 74.61574)
(-180.3964, 2.816129, 74.70203)
(-180.3936, 3.616643, 74.91896)
(-180.4719, 4.068232, 74.63209)
(-179.9709, 6.605887, 74.58054)
(-179.8385, 9.818196, 75.47298)
(-179.7771, 11.39436, 75.45772)
(-179.2853, 13.53078, 75.23253)
(-178.2017, 17.57248, 74.96648)
(-176.9759, 24.43433, 75.67834)
(-176.5762, 26.61194, 75.99075)
(-175.8714, 30.89448, 76.68639)
(-175.2119, 33.15504, 77.17883)
(-174.8401, 35.32528, 77.52979)
(-173.6271, 39.14486, 78.41178)
(-173.1827, 41.00782, 78.69778)
(-172.6478, 42.7057, 79.05755)
(-171.4645, 45.83349, 79.78632)
