(-13927.6, 35.12504, 1807.363)
(5.35507, 168.0185, -3.139377)
(24.03381, 95.62448, -6.782186)
(27.52022, 101.6562, -0.7126654)
(21.42918, 143.06, -33.00828)
(10.44361, 157.4503, -9.943461)
(38.44088, 214.2477, 12.50225)
(-0.469332, 151.1383, -0.225362)
(2.320038, 180.5002, 0.7178984)
(-14.38829, 155.8973, -6.685749)
(-17.42976, 153.3625, -11.78165)
(-26.92237, 189.9194, -11.67106)
(-14.54481, 119.1821, -2.853249)
(-46.41642, 132.3369, 0.3885836)
(-36.27875, 66.57084, 7.372649)
(-88.56984, 127.1361, 26.11236)
(-55.05874, 69.17993, 17.08151)
(-99.55161, 57.95787, 21.56138)
(-65.71796, 18.18, 14.70346)
(-87.42894, 7.294468, 14.10948)
(-61.6037, -3.680205, 8.701003)
(-74.54513, -22.38451, 13.14321)
(-82.17624, -24.91552, 12.81323)
(-133.5497, -117.6557, 22.20527)
(0, 0, 0)
(-93.81131, -118.5723, 9.42514)
(-107.4227, -153.1271, 7.699004)
(-74.48459, -129.0532, -4.76023)
(-87.23022, -169.5215, -4.804126)
(-109.9747, -223.9162, -12.33553)
(-62.88819, -152.3843, -6.489176)
(-67.73885, -191.5611, -12.75141)
(-88.91402, -242.3011, -17.91065)
(-33.92551, -151.08, -15.45762)
(-29.34837, -157.3891, -9.757693)
(-48.30591, -229.9076, -25.41997)
(-17.47765, -91.79254, -6.393697)
(-14.97477, -119.176, -6.19111)
(-18.14905, -115.5419, -8.256553)
(3.310069, -75.34381, -11.00942)
(1.280378, -71.65536, -25.19204)
(31.28105, -55.84921, 2.84825)
(0, 0, 0)
(10.66888, -41.70646, 14.77958)
(2.956222, -68.82936, -24.87756)
