(-213.8848, 1.374674, -10.50264)
(-214.1048, 3.061056, -10.60469)
(-214.116, 4.249167, -10.83059)
(-214.1009, 9.204412, -12.11634)
(-214.0291, 11.1527, -12.46526)
(-213.8451, 13.31398, -12.79235)
(-213.4136, 17.4371, -12.80001)
(-213.3282, 19.57139, -12.64355)
(-212.9794, 21.77337, -12.35983)
(-212.2301, 26.1645, -12.10918)
(-211.7683, 28.23598, -11.99749)
(-211.1479, 30.21833, -11.93426)
(-209.7663, 33.86881, -12.00452)
(-208.3035, 37.48485, -11.79125)
(-207.3188, 38.93468, -11.54517)
(-205.1404, 41.43472, -11.12943)
(-203.8562, 42.16174, -10.86282)
(-202.5915, 42.69308, -10.59965)
(-201.4117, 43.39515, -10.42418)
(-200.0436, 43.61321, -10.18602)
(-197.3069, 44.113, -9.666657)
(-195.7612, 43.72771, -9.359097)
(-194.2564, 43.36842, -9.05602)
(-191.015, 41.52529, -8.457767)
(-187.7474, 39.01013, -8.018387)
(-186.2241, 37.65193, -7.926011)
(-184.8247, 36.23477, -7.933807)
(-183.4474, 34.82504, -7.934844)
(-180.9206, 31.27079, -8.189333)
(-179.7229, 29.28402, -8.290553)
(-178.5544, 27.38132, -8.362806)
(-176.7359, 23.22022, -8.555496)
(-176.0034, 21.08917, -8.62813)
(-174.9333, 16.99903, -9.040689)
(-174.0534, 13.14619, -9.521103)
(-173.6738, 11.33077, -9.763754)
(-173.5866, 9.706998, -9.806561)
(-173.3175, 8.24492, -9.84993)
(-172.9992, 5.877352, -9.918833)
(-173.0119, 4.869008, -10.00831)
(-172.9813, 4.025936, -10.06154)
(-173.0948, 2.394629, -9.915161)
(-173.2805, 2.111697, -9.737741)
(-173.5685, 1.473308, -9.426618)
(-173.5938, 0.8426905, -9.424103)
(-173.6542, 0.6666422, -9.74822)
